Easting	Northing	Elevation, ft
23.36	22.1	-2961
29.8	10.58	-2240
22.18	16.24	-1872
22.91	3.36	-2584
39.33	21.14	-1119
15.1	18.5	-3062
28.96	10.3	-2540
18.9	16.69	-2300
21.11	12.26	-1505
29.92	4	-1921
41.99	5.31	-2056
21.86	4.01	-2466
41.3	16.38	-1077
22.75	21.67	-2780
35.93	14.53	-707
21.59	21.16	-2677
28.2	6.4	-2801
30.5	19.83	-2678
41.2	3.5	-2586
31.38	17.74	-2190
24.3	23.9	-3367
24.8	21.1	-2959
16.75	8.66	-1709
22.72	11.15	-1431
20.4	21.82	-3022
26.49	6.43	-2431
33.12	17.04	-1792
24.67	15.61	-2146
30.1	12.92	-2131
26.12	0.5	-2295
28.25	14.35	-2421
27.21	10.58	-2204
19.38	17.6	-2348
42	17.9	-885
32.48	2.24	-1618
18.96	14.54	-1834
32.97	11.79	-1884
23.5	1.57	-2308
41.89	15.25	-1108
31.4	12.2	-2058
31.6	22.82	-2711
35.9	9.9	-1537
21.54	14.9	-1667
33.46	12.31	-1694
19.4	16.57	-2300
35.18	19.79	-1465
21.2	3.5	-2349
23.5	13.02	-1564
19.09	24.4	-3657
34.45	19.45	-1257
25.6	17.18	-2337
28.6	26.15	-4373
29.32	11.48	-2109
32.6	24.15	-2923
25.9	19.05	-2607
20.12	19.8	-2751
33.87	23.97	-1626
34.28	1.78	-2305
39.6	19.4	-1135
39.01	9.93	-1971
24.6	20.45	-2483
25.1	22.84	-3095
24.48	24.45	-3589
26.47	13.19	-1490
20.23	17.58	-2307
35.27	19.23	-1037
25	9.2	-1407
22.95	8.42	-2133
35	23.13	-3090
30.07	15.18	-1890
40	16.82	-1366
18.45	9.01	-1651
38.01	26.05	-1857
29.05	21.08	-2998
35.4	20.9	-1902
41.18	20.14	-998
26.7	12.8	-1785
15.58	4.63	-1593
20.7	20.39	-2722
20.8	11.5	-1477
41.11	5.22	-2274
22.11	21	-2598
26.86	21.17	-2951
29.93	16.8	-2435
24.62	23.12	-3177
26.04	16.52	-2241
32.86	13.52	-1775
15.1	25.85	-5400
36.99	25.28	-1852
22.4	13.23	-1500
27.91	16.48	-2481
19.92	11.1	-1599
29.62	20.27	-2875
36.5	10.21	-1353
16.58	5.12	-1608
34.45	6.22	-1499
30.26	22.27	-3029
35.6	20.95	-1860
23.23	11.59	-1412
27.02	17.01	-2407
20.94	22.9	-3044
17.53	10.02	-1657
28.27	8.16	-2540
17.83	0.1	-1647
32.58	19.86	-2140
35.45	17.03	-883
21.21	14.57	-1695
36.2	16.25	-1746
28.52	17.2	-2440
29.8	13.96	-2346
30.4	10.02	-2182
37.45	7.18	-1934
25.02	17.82	-2063
34.2	26.2	-2834
16.6	1.85	-1583
17.4	1.1	-1521
41.12	19.86	-835
29.92	22.02	-3061
17.1	14.05	-2402
21.7	14.21	-1608
20.6	6.28	-1613
30.32	15.55	-2195
39.62	18.03	-1421
