type	description	phi.1	phi.2	phi.3	phi.4	phi.5	phi.6	phi.7
A	beach and foreshore sands	0.60	70.20	29.20	0.00	0.00	0.00	0.00
A	beach and foreshore sands	1.00	69.90	29.10	0.00	0.00	0.00	0.00
A	beach and foreshore sands	0.80	73.70	25.50	0.00	0.00	0.00	0.00
A	beach and foreshore sands	0.90	75.30	23.80	0.00	0.00	0.00	0.00
A	beach and foreshore sands	0.60	62.50	36.90	0.00	0.00	0.00	0.00
A	beach and foreshore sands	1.10	68.80	30.10	0.00	0.00	0.00	0.00
A	beach and foreshore sands	0.80	10.20	79.20	9.80	0.00	0.00	0.00
A	beach and foreshore sands	1.00	16.30	73.80	8.90	0.00	0.00	0.00
A	beach and foreshore sands	1.80	35.70	61.90	0.60	0.00	0.00	0.00
B	silty channel sands	9.91	16.48	61.52	8.76	0.94	0.94	1.46
B	silty channel sands	2.59	15.66	58.21	13.17	5.94	1.73	2.70
B	silty channel sands	2.31	40.71	44.28	8.29	1.47	1.89	1.05
B	silty channel sands	1.78	31.80	46.55	11.72	3.14	1.99	3.03
B	silty channel sands	0.00	44.44	36.11	4.22	5.00	7.22	3.00
B	silty channel sands	0.00	36.78	45.13	7.26	3.78	3.28	3.78
B	silty channel sands	0.30	15.60	54.10	21.30	4.10	2.60	2.00
B	silty channel sands	0.30	24.40	56.00	15.10	4.20	0.00	0.00
B	silty channel sands	10.50	29.20	37.30	15.10	4.20	3.70	0.00
B	silty channel sands	0.30	13.30	63.50	14.20	4.00	3.40	1.30
B	silty channel sands	1.20	26.90	54.70	11.00	3.90	2.30	0.00
C	silty channel margin sands	0.45	4.38	50.79	27.75	4.16	9.10	3.37
C	silty channel margin sands	0.00	15.59	44.41	17.40	10.28	5.08	7.23
C	silty channel margin sands	0.46	4.65	44.37	33.10	6.97	4.99	5.46
C	silty channel margin sands	1.95	11.79	50.77	22.97	5.85	4.62	2.05
C	silty channel margin sands	0.48	6.09	37.95	36.16	6.44	9.31	3.58
C	silty channel margin sands	0.59	7.00	38.20	38.79	5.81	6.41	3.20
C	silty channel margin sands	1.05	4.69	29.79	40.13	13.31	7.47	3.54
C	silty channel margin sands	10.08	10.84	26.79	25.38	11.35	7.53	8.04
C	silty channel margin sands	0.90	13.60	43.90	20.10	7.20	4.80	9.50
C	silty channel margin sands	3.06	16.33	38.99	31.93	5.37	2.00	2.32
C	silty channel margin sands	2.10	16.70	39.60	17.70	8.30	8.30	7.30
C	silty channel margin sands	0.27	18.61	50.05	15.00	5.60	5.51	4.97
D	organic bottom silts	1.42	1.89	18.09	45.39	15.37	11.23	6.62
D	organic bottom silts	2.73	9.36	28.32	30.21	10.90	9.36	9.12
D	organic bottom silts	1.21	3.74	18.36	38.65	17.27	12.08	8.70
D	organic bottom silts	0.00	14.58	35.99	24.21	9.25	9.89	6.08
D	organic bottom silts	0.93	8.14	36.74	24.53	11.86	10.47	7.33
D	organic bottom silts	0.55	2.30	15.35	40.79	21.82	12.50	6.69
D	organic bottom silts	0.00	4.03	23.37	30.13	18.62	12.10	11.74
D	organic bottom silts	1.71	2.32	17.58	49.08	10.38	10.26	8.67
D	organic bottom silts	0.49	4.31	23.12	36.29	13.78	12.79	9.23
D	organic bottom silts	0.98	7.68	22.20	34.15	11.10	11.83	12.07
E	organic muds from lees of islands 	1.59	3.66	10.51	25.80	19.11	18.15	21.18
E	organic muds from lees of islands 	3.77	4.60	12.38	28.42	16.75	18.16	15.92
E	organic muds from lees of islands 	2.64	2.64	13.48	29.72	19.02	17.63	14.86
E	organic muds from lees of islands 	5.83	10.73	11.79	26.36	15.89	15.10	14.30
E	organic muds from lees of islands 	1.01	6.07	7.08	30.02	20.91	18.21	16.69
E	organic muds from lees of islands 	0.65	5.35	12.78	36.38	17.60	17.60	9.65
E	organic muds from lees of islands 	0.93	3.07	6.93	30.93	25.87	18.80	13.47
E	organic muds from lees of islands 	4.69	2.21	6.07	24.83	20.28	21.10	20.83
