Depth, m	Quartz	K Feldspar	Plagioclase	Lithics	Quartz cement	Dolomite cement	Calcite cement	Kaolinite	Detrital clay	Others	Lab por.	Intergranular Por.	Feld. por.
2568	48.7	16.7	3	7.6	2.3	0	18.7	0	0	2.3	3	0	0.7
2573.7	41.3	15	2.3	3	0.3	0	34.6	0.6	0.3	1.3	4	0	1.3
2585.8	49	15	6.6	5.3	7	0	0	3.6	1.3	0.6	4	10	1.6
2587	54	14.3	5.3	3.3	7	0	0	2	4	0.2	18.7	8.6	1.3
2587.4	42.6	18.3	8.3	4.6	6.3	0.3	0	2	2	0.7	17	11.6	3.3
2588.1	50.4	17.5	8	5	8	0	0.2	0.2	1.4	4.1	11.1	4.4	3.8
2595.2	48	18.3	3.6	5.3	5.6	0	0	3	3	0.3	18.2	11.3	1.6
2595.7	44.3	23	6.6	3	5.3	0	0	1	1.3	0.2	18.1	11	4.3
2595.8	47	20.3	5	3.3	5.6	0	0	4	2	0.5	13	9.3	3
2596.5	49	17.6	6.3	4.6	7.6	0	0	0.6	1	1.4	18.4	9.3	2.6
2597.1	49	21.3	7.3	2.6	7.3	0	0	1.3	1.6	0.7	13.8	6.6	2.3
2598	53.6	16.6	5	2	7.6	0	0	3	1.6	0.3	10	8.3	2
2603	45.6	17.6	7	8	7.3	0	1	1.3	1.6	0.7	13	5.3	4.6
2604.2	40.6	19.3	8.3	7	8.6	0	1.3	2.3	1	0.3	12.4	8.3	3
2604.5	48.3	20	8.3	6	6.3	0.3	0	1.6	1.6	0.4	15.3	5.6	1.6
2605.3	44.6	14.3	12.6	5.6	6.6	0	0	1.6	0.6	0.5	17.8	10.3	3.3
2605.5	51.3	13.6	10.6	5.3	6	0	0	2.6	0.3	0.7	13.4	5	4.6
2606.1	43.3	20	8.3	6.3	7	0	0	1.6	2	0.9	13	8	2.6
2606.2	43	17.3	11	7	1.7	0	17	0.7	0.7	1.3	3	0	0.3
2607.9	40.6	16.3	10	7.3	10	0	0.3	3.3	2	1.6	12.7	5	3.6
2610.9	46.3	14.3	11	4.3	7.6	0.3	0.3	3	3	1.7	12.8	6.6	1.6
2612.2	43.6	17.3	11.6	5	6.6	1.6	0	4.6	1.3	1.1	12.6	6.3	1
2628.6	50.6	11.6	9	5.3	9.3	0.6	0	2	1.6	1.7	11.8	7	1.3
2629.6	46	16.6	8.3	6.6	8.6	0.6	0	2	2.6	0.8	12.7	6.3	1.6
2631.1	45	18.3	9.3	5	8	0	0	1.3	1.6	0.5	14.7	7	4
2631.7	48.3	17	9.6	7	5.6	0	0.3	2.6	0.3	0.4	14.5	5.3	3.6
2632.9	45.6	11	10.6	8	8.6	0	0	2.3	2.3	0.3	14.5	8.3	3
2638.7	50.3	14.6	9	5.3	5	0.6	0.3	2.3	0.6	1.7	12.8	5.3	5
2639	35.3	15.3	12.6	7.6	11	0	0	4.6	1.6	1.1	13.8	6.6	4.3
2640.8	46.3	16.3	8.6	9.6	5.3	0	0	3	0.6	0.7	13.2	6	3.6
2644.2	48.3	14.6	10.3	7.6	5.6	0.6	1	1.6	0.6	0.9	13.9	6.6	2.3
2646.3	50.6	14.6	9.3	7	4.3	0	0.3	3	0.6	0.7	12.9	7	2.6
2647.2	42.6	19	11.6	3.3	3.6	2	0	2	2	0.9	14.1	9	4
2648.5	45.3	16.3	8.6	7.3	4.6	0	2.6	2.6	2	1.1	12.4	7.3	2.3
2650	44.3	16	11	9.6	5	0	1.3	0.3	1	0.9	13.6	8	2.6
2650.3	36.3	18	14.3	10	6	0	0	1.3	3.6	1.6	11.5	7.3	1.6
2653.9	38	13.6	12.3	7.3	6.3	1	0.3	3.6	1.6	1.8	14.2	10.6	3.6
2656.4	46	15.6	12.3	4.6	6.6	0	0	3.3	2.3	0.7	13.9	5.3	3.3
2658.5	46.3	14.3	9	4.3	6	0	0	3	2	1.2	13.8	11.6	2.3
2659.1	41.6	15	12	8.6	5	0	0	1.6	0.6	0.6	14	12	3
2661.9	38.3	19	7.3	6	7	0.6	0.3	3.6	2	0.7	14.3	9.6	5.6
2663.4	38.3	17	7.6	11	7.3	2	1	1.6	2	1.2	12.7	7	4
2664	50.3	16.6	6.3	6.3	6	0	1.6	1	1	1.3	13	8	1.6
2664.9	36.8	20.4	10	8.8	5.2	2	0.8	2.8	0.4	0.8	12.5	8	4
2667.3	39	15.3	10	11.6	4.3	0.3	1	3	2.3	1.6	15.3	7	4.6
2667.7	35.3	16.6	15	8	8	0	0	4.6	1.6	1.6	14.6	6.3	3
2669.8	45	16	12.3	5	5.6	0	0	3.6	1	1.3	13.7	8.6	1.6
2613.2	40	14.6	12	6.6	5	0.3	0.3	2.6	2	2	15.4	10	4.6
2675.9	35	18.3	9	6	5.3	9	5.3	2.6	0.6	2.7	10.1	3.6	2.6
2685.7	36	15	14.3	6	7	9	0.6	2.3	1.3	1.6	13.1	5.3	1.6
2690.9	29	23	13	8.6	5.3	0.6	0.3	1.6	6.3	4.7	15	4	3.6
2691.8	32	18.6	12.6	7	7	0.3	0.3	2.6	5.6	4.4	16	6.6	3
2693	48	19.3	7.3	5.3	7	0.3	0	0.3	4	1.5	15.1	6	1
2693.1	32.3	14.3	15	7.6	4.3	0	0	10	10	5.9	11.3	8	2.6
2693.8	37	12	13.3	11.3	2.3	0	0	0	13	3.5	12.2	6.3	1.3
2693.9	58	11.3	6.3	4	8	0.3	0.3	0	2.3	2.5	12.5	6	1
2696.7	43.6	11.3	12	4	5	0	0.3	0.3	13.6	2	15.3	6.3	1.6
2697	41	19.6	9.3	7.3	6.6	0	1.6	0	5.3	1.4	14.2	6.6	1.3
2697.2	43	16	13.3	5	1.3	0.3	0	0.3	15	1.9	13	3.3	0.6
2699.7	43	16.6	12.3	4	4.3	0	0	0	16.3	0.9	10.4	2.3	0.3
2700.4	35.6	21	14.6	8.3	8	0	0	0.3	2	1.3	13.6	5.3	3.6
2701.3	33.3	12.3	20	9	5	0	1	2	3.6	2.6	13.6	7.6	3.6
