Longitude	Latitude	Elev. (m)	Boug. (mgal)
101.049719	37.285841	884.53	-118.3747
101.08534	37.28604	904.95	-120.6167
101.10369	37.28595	909.52	-121.1176
101.12173	37.28587	915.62	-121.9255
101.13993	37.28573	916.53	-122.7514
101.15806	37.28579	920.80	-123.2033
101.17594	37.28587	925.37	-123.4210
101.19397	37.28595	936.35	-123.8356
101.21215	37.28588	931.77	-123.1198
101.23031	37.28601	934.21	-122.7285
101.24839	37.28602	935.74	-122.4626
101.26666	37.28599	938.78	-122.2104
101.28421	37.28608	945.49	-122.4403
101.30259	37.28624	954.02	-123.4035
101.3207	37.28630	947.62	-124.0388
101.33876	37.28630	952.80	-124.9536
101.35687	37.28616	961.95	-125.4577
101.392871	37.286298	959.51	-125.3935
101.410963	37.286307	961.03	-124.8916
101.429098	37.286336	968.04	-124.4802
101.446424	37.286179	973.23	-124.4433
101.465666	37.286107	967.44	-125.3221
101.474591	37.286086	969.26	-125.4246
101.501222	37.28646	949.76	-126.0432
101.53776	37.28648	980.85	-127.7995
101.55567	37.28651	984.81	-128.2837
101.57388	37.28656	991.82	-128.5471
101.59194	37.28669	998.83	-128.8965
101.60981	37.28678	1000.05	-128.9425
101.62794	37.28685	1002.79	-128.8950
101.64617	37.28691	1005.84	-128.8747
101.66423	37.28697	1010.72	-128.3347
101.68258	37.28706	1009.19	-128.3293
101.70047	37.28680	1013.76	-127.9553
101.71865	37.28689	1018.95	-127.8949
101.73663	37.28709	1028.09	-127.3597
101.75509	37.28709	1029.31	-126.6729
101.77346	37.28704	1039.98	-126.3772
101.79174	37.28706	1043.94	-125.8395
101.80979	37.28706	1051.56	-125.9387
101.82746	37.28697	1053.08	-126.2810
101.84571	37.28704	1058.27	-127.0459
101.86378	37.28695	1063.75	-127.6919
101.90007	37.28724	1075.94	-129.8110
101.91832	37.28733	1078.69	-130.3693
101.93605	37.28720	1082.65	-130.8525
101.95407	37.28738	1084.78	-130.6745
101.97213	37.28730	1091.49	-131.1916
101.99041	37.28717	1097.28	-131.4241
101.012436	37.279915	887.27	-116.3005
101.031336	37.278845	887.27	-117.4473
101.374991	37.279088	963.78	-126.2089
101.06733	37.27142	905.56	-119.2818
101.19384	37.27142	931.16	-123.2227
101.375033	37.271728	963.47	-126.3255
101.447364	37.271692	972.01	-125.0406
101.519505	37.271863	954.94	-126.8930
101.53764	37.27185	977.19	-127.5641
101.55592	37.27198	988.47	-127.9291
101.57405	37.26495	992.43	-128.1781
101.82736	37.26515	1057.96	-128.0254
101.013233	37.257514	892.15	-115.5794
101.030933	37.257032	896.11	-116.8850
101.049634	37.257047	902.51	-117.9097
101.06726	37.25701	906.78	-119.1955
101.08526	37.25701	907.39	-119.7466
101.10336	37.25698	911.96	-120.4797
101.12156	37.25701	917.14	-121.6750
101.13977	37.2568	919.28	-122.4281
101.15777	37.25685	921.72	-122.6128
101.17598	37.25703	923.54	-122.9218
101.21231	37.257	931.16	-122.1003
101.23022	37.25689	932.99	-121.4120
101.24832	37.257	936.04	-121.0110
101.26637	37.25715	941.22	-120.7869
101.28427	37.25711	944.58	-121.1249
101.30253	37.25718	949.15	-122.1077
101.32058	37.25715	952.20	-123.6995
101.33866	37.25718	957.38	-124.9709
101.35697	37.25717	958.60	-125.6392
101.392747	37.257269	961.95	-125.9685
101.411016	37.257238	962.86	-125.7939
101.429133	37.257202	969.87	-125.2948
101.465439	37.257171	976.58	-126.1802
101.483588	37.257111	974.75	-126.6467
101.59214	37.25773	997.92	-128.4439
101.60995	37.25776	1002.49	-128.7722
101.62786	37.25779	1007.06	-128.9125
101.64598	37.25766	1014.07	-129.1353
101.66423	37.25782	1017.12	-129.0027
101.68248	37.25782	1032.97	-125.6110
101.70028	37.25775	1020.47	-128.5221
101.71846	37.25787	1030.53	-128.5590
101.73652	37.25793	1031.44	-128.2944
101.75495	37.25782	1030.53	-127.7457
101.77325	37.25793	1023.52	-127.2762
101.79148	37.25782	1039.06	-127.5690
101.8096	37.25802	1054.30	-128.2247
101.84556	37.25793	1063.75	-128.7803
101.86358	37.25804	1067.71	-129.6254
101.88148	37.25801	1069.54	-130.2701
101.90000	37.25817	1075.03	-131.0719
101.91807	37.25808	1081.43	-131.3730
101.93600	37.25801	1084.48	-131.7213
101.95399	37.25811	1093.93	-131.8345
101.97212	37.25799	1095.15	-132.2022
101.99017	37.25804	1100.94	-132.7104
101.505065	37.253652	971.09	-127.3268
101.121477	37.242493	911.96	-121.6158
101.193824	37.242417	935.74	-123.2267
101.229957	37.242472	933.30	-121.6092
101.375457	37.242527	961.64	-126.3642
101.627961	37.243268	990.30	-129.1125
101.157795	37.235206	920.80	-122.6674
101.013201	37.228335	887.88	-115.8151
101.031474	37.227969	890.32	-116.7155
101.049582	37.22805	889.71	-117.7374
101.067315	37.228167	894.89	-118.7244
101.085334	37.22813	901.29	-119.5972
101.103346	37.228104	903.12	-120.2132
101.139653	37.227996	919.28	-121.9272
101.175727	37.227982	921.41	-122.5573
101.211854	37.227679	933.30	-121.5347
101.248077	37.227973	942.14	-121.1846
101.266333	37.227957	946.10	-120.5488
101.284252	37.227845	943.97	-121.5077
101.302414	37.227916	951.28	-122.8260
101.320604	37.227986	956.77	-123.8499
101.338367	37.227966	953.11	-124.4846
101.35658	37.228205	957.99	-125.2002
101.392922	37.228159	963.17	-125.8370
101.411311	37.228201	965.00	-126.5349
101.428974	37.228124	966.52	-126.3004
101.44723	37.22811	967.44	-126.2143
101.465208	37.228149	971.09	-126.5223
101.483403	37.228148	978.10	-126.9962
101.500989	37.228096	976.88	-126.9985
101.519071	37.22815	977.19	-127.6892
101.537158	37.228253	973.53	-128.1097
101.646204	37.228921	1004.62	-129.8555
101.664372	37.22901	1018.95	-130.2174
101.682358	37.228954	1025.04	-130.2195
101.700716	37.229012	1028.4	-129.8810
101.718325	37.228986	1031.14	-129.6601
101.736637	37.22898	1039.06	-129.4358
101.754852	37.228813	1037.54	-129.3150
101.772926	37.228798	1032.05	-129.0189
101.791341	37.228674	1039.06	-129.0841
101.827121	37.22874	1050.95	-129.6697
101.845156	37.228817	1057.96	-130.0894
101.863379	37.228909	1065.89	-130.3956
101.881423	37.229018	1071.07	-131.0119
101.899863	37.229016	1071.07	-131.2637
101.917974	37.228867	1075.64	-131.5724
101.935771	37.228764	1075.33	-131.8474
101.990011	37.228825	1093.93	-133.5925
101.592278	37.222014	991.21	-129.7260
101.609599	37.22174	985.42	-129.2842
101.661348	37.216515	990.60	-130.2289
101.01227	37.21386	880.87	-115.6623
101.555339	37.213917	985.72	-129.3030
101.573235	37.21397	988.77	-129.4251
101.809269	37.214258	1044.55	-130.0185
101.953776	37.21423	1090.27	-132.5738
101.971954	37.214215	1096.06	-133.4214
101.627594	37.208893	998.22	-129.8328

