Label	x1	x2	x3	x4	x5	x6	x7
a	3.76	3.66	0.54	5.275	9.768	13.741	4.782
b	8.59	4.99	1.34	10.022	7.5	10.162	2.13
c	6.22	6.14	4.52	9.842	2.175	2.732	1.089
d	7.57	7.28	7.07	12.662	1.791	2.101	0.822
e	9.03	7.08	2.59	11.762	4.539	6.217	1.276
f	5.51	3.98	1.3	6.924	5.326	7.304	2.403
g	3.27	0.62	0.44	3.357	7.629	8.838	8.389
h	8.74	7	3.31	11.675	3.529	4.757	1.119
i	9.64	9.49	1.03	13.567	13.133	18.519	2.354
j	9.73	1.33	1	9.871	9.871	11.064	3.704
k	8.59	2.98	1.17	9.17	7.851	9.909	2.616
l	7.12	5.49	3.68	9.716	2.642	3.43	1.189
m	4.69	3.01	2.17	5.983	2.76	3.554	2.013
n	5.51	1.34	1.27	5.808	4.566	5.382	3.427
o	1.66	1.61	1.57	2.799	1.783	2.087	3.716
p	5.9	5.76	1.55	8.388	5.395	7.497	1.973
q	9.84	9.27	1.51	13.604	9.017	12.668	1.745
r	8.39	4.92	2.54	10.053	3.956	5.237	1.432
s	4.94	4.38	1.03	6.678	6.494	9.059	2.807
t	7.23	2.3	1.77	7.79	4.393	5.374	2.274
u	9.46	7.31	1.04	11.999	11.579	16.182	2.415
v	9.55	5.35	4.25	11.742	2.766	3.509	1.054
w	4.94	4.52	4.5	8.067	1.793	2.103	1.292
x	8.21	3.08	2.42	9.097	3.753	4.657	1.719
y	9.41	6.44	5.11	12.495	2.446	3.103	0.914
