long,lat,CO2
14.150147,40.827353,259.2
14.149228,40.82846,156.48
14.139872,40.819547,32.88
14.13997,40.819575,28.8
14.13991,40.819553,17.064
14.139323,40.820037,4.416
14.140102,40.819737,21.984
14.14047,40.819668,33.12
14.1391,40.820452,24.48
14.13931,40.820412,18.528
14.141038,40.819753,10.056
14.142025,40.819957,18.36
14.149605,40.828273,45.84
14.139182,40.822118,35.28
14.139025,40.822143,34.08
14.138897,40.821865,49.92
14.142637,40.820857,19.032
14.142683,40.82059,21.72
14.142653,40.820175,53.52
14.144755,40.824887,46.8
14.144262,40.82514,295.2
14.144823,40.825355,271.2
14.145542,40.825875,751.2
14.149243,40.828842,78
14.145663,40.826372,26.64
14.14582,40.82684,16.344
14.14586,40.827443,24.24
14.145507,40.827395,343.2
14.145362,40.827308,1312.8
14.145392,40.8268,720
14.14527,40.825803,244.8
14.14536,40.82527,242.4
14.146247,40.826218,588
14.146205,40.8267,355.2
14.149027,40.828757,77.04
14.146395,40.827208,360
14.146557,40.826405,26.88
14.138415,40.82387,89.52
14.1387,40.82391,46.08
14.136858,40.824057,56.88
14.13728,40.823315,18.984
14.149193,40.828265,39.12
14.147645,40.827383,65.76
14.14833,40.82795,149.76
14.149015,40.828092,108.48
14.145993,40.830807,482.4
14.14595,40.831142,31.44
14.15031,40.827532,29.76
14.145863,40.830958,42.48
14.1457,40.831237,516
14.145925,40.831292,103.68
14.145568,40.830487,188.16
14.1448,40.830303,156
14.144963,40.830493,187.68
14.144868,40.83063,1144.8
14.144588,40.830405,210.72
14.14442,40.830572,936
14.145953,40.830523,1111.2
14.150112,40.827042,65.28
14.146563,40.830793,116.4
14.146578,40.831275,38.64
14.147085,40.830538,249.6
14.147647,40.830618,51.84
14.14749,40.830888,43.68
14.148455,40.830463,156.96
14.148287,40.830803,16.968
14.1492,40.83152,70.56
14.148517,40.831497,172.08
14.147367,40.831313,231.12
14.149528,40.827045,114.24
14.146048,40.83163,96.24
14.147005,40.832195,94.8
14.14718,40.832558,39.36
14.146625,40.832813,73.2
14.146417,40.832543,45.84
14.146438,40.832263,86.16
14.145475,40.832763,36
14.144948,40.833145,51.36
14.145473,40.833322,23.448
14.150058,40.827745,657.6
14.145743,40.833528,45.12
14.146017,40.833322,45.6
14.146248,40.833783,45.6
14.145355,40.832193,33.6
14.145422,40.831893,48.72
14.146655,40.831738,21.384
14.147112,40.8314,28.56
14.146002,40.831923,60.96
14.14186,40.831662,1504.8
14.141878,40.831405,2325.6
14.149445,40.828835,42.48
14.141727,40.831983,84.24
14.141708,40.832383,403.2
14.141617,40.832692,212.16
14.141322,40.83296,242.4
14.141797,40.832175,640.8
14.142125,40.832235,126.24
14.142038,40.832628,116.64
14.141833,40.833008,58.56
14.141978,40.831903,247.2
14.142225,40.831628,69.6
14.148873,40.829213,87.6
14.14319,40.831997,106.56
14.143958,40.831835,41.04
14.143823,40.831618,42.24
14.143535,40.831677,367.2
14.143608,40.832822,110.88
14.143242,40.832507,78.72
14.148468,40.833287,37.44
14.148627,40.832855,57.12
14.148187,40.832207,30.48
14.147947,40.832602,96.24
14.148465,40.82919,1190.4
14.147827,40.833018,39.36
14.147772,40.83354,21.432
14.137807,40.823793,25.68
14.137728,40.824438,393.6
14.137758,40.824923,3120
14.139803,40.832558,21.336
14.140228,40.832352,5.352
14.139798,40.833188,43.2
14.13774,40.831013,49.92
14.137275,40.831378,19.68
14.148837,40.828482,393.6
14.135912,40.83065,13.728
14.137328,40.830593,9.408
14.136593,40.830182,25.44
14.136187,40.829047,13.92
14.13391,40.830043,8.088
14.140458,40.823607,110.4
14.140512,40.823388,63.84
14.14009,40.823375,530.4
14.139678,40.823497,185.76
14.139728,40.823603,34.32
14.1400920320302,40.8239530306309,76.2
14.1404579859227,40.8242830261588,109
14.1407609917223,40.8246590383351,148.4
14.1411980241537,40.8249590266496,98.7
14.1416580229998,40.8251219708472,221.4
14.1420860029757,40.825301008299,50.6
14.1425099596381,40.825308971107,4492.9
14.1430380195379,40.8253389783204,3113.7
14.1430930048227,40.8257170021534,6639.8
14.1426200140268,40.8257030043751,2722.7
14.1420310176909,40.8257090393454,803.3
14.1427729837596,40.8260940201581,2236.5
14.1420150082558,40.8258599974215,831
14.1424760129303,40.8260139729828,1184.4
14.1424200218171,40.8262690342963,7542.6
14.1427910048515,40.8264009654522,2510.2
14.1426190081984,40.826648985967,25.2
14.1427380312234,40.8267659973353,5296.2
14.1426530387253,40.8270079828799,4059.9
14.1428179945797,40.8272369764745,3334.1
14.1431390214711,40.8266079984605,3011.4
14.1434049792588,40.826217988506,3796.2
14.1434939950705,40.8270089887083,40.1
14.1432159673423,40.8275429997593,16.7
14.1430390253663,40.8280449919403,32.6
14.1426969598979,40.8287639915943,34.1
14.1421089693904,40.8292120043188,29.2
14.1415759641677,40.8299500308931,33
14.1405070200562,40.8306469861418,20.5
14.1396929696202,40.8311410155147,21.4
14.1395690012723,40.8312540035695,29.7
14.1427259612828,40.8290789835155,27.7
14.1431120317429,40.8292069751769,17.3
14.1432159673423,40.8285390213132,26.4
14.1433410253376,40.828202990815,26.3
14.1434019617736,40.8278210274875,45.2
14.1435970086604,40.8281709719449,52.7
14.1438379883766,40.8283149730414,41.7
14.1444510407746,40.828150017187,31.9
14.1445379611105,40.8276799600571,43.2
