date	x	y	T	CO2.flux
01/12/1998	427333	4520591	10.4	5.17
01/12/1998	427357	4520611	12.2	2.65
01/12/1998	427349	4520652	12.9	3.71
01/12/1998	427375	4520676	8.5	3.45
01/12/1998	427348	4520720	9.5	4.37
01/12/1998	427304	4520747	9.6	3.18
01/12/1998	427306	4520698	8.7	4.64
01/12/1998	427328	4520650	9.5	2.52
01/12/1998	427264	4520697	12	7.02
01/12/1998	427286	4520656	11.8	8.61
01/12/1998	427245	4520730	10.9	4.11
01/12/1998	427235	4520678	12.8	7.82
01/12/1998	427248	4520614	12.5	10.73
01/12/1998	427396	4520659	11.8	2.78
01/12/1998	427388	4520586	9.7	2.52
01/12/1998	427436	4520650	10.6	4.24
01/12/1998	427432	4520583	9.3	5.96
01/12/1998	427491	4520667	9.9	2.39
01/12/1998	427460	4520714	12.1	2.52
01/12/1998	427546	4520677	10.8	6.23
01/12/1998	427529	4520735	10.2	3.58
01/12/1998	427583	4520711	11.2	12.32
01/12/1998	427601	4520657	8.1	2.78
01/12/1998	427517	4520594	11.4	15.24
01/12/1998	427527	4520566	10.7	15.5
01/12/1998	427556	4520566	10.2	20.01
01/12/1998	427604	4520587	8.9	11.79
01/12/1998	427540	4520704	10.5	4.51
01/12/1998	427561	4520751	10.1	3.84
01/12/1998	427730	4520625	11.5	8.48
01/12/1998	427767	4520602	16.4	559.28
01/12/1998	427709	4520651	14.9	210.54
01/12/1998	427710	4520689	12.2	382
01/12/1998	427704	4520723	9.9	38.03
01/12/1998	427693	4520754	11.2	16.83
01/12/1998	427738	4520688	12.4	23.06
01/12/1998	427742	4520725	10.8	32.99
01/12/1998	427786	4520730	10.6	12.32
01/12/1998	427787	4520692	9.9	14.58
01/12/1998	427785	4520644	11.1	27.96
01/12/1998	427677	4520650	11.9	34.85
01/12/1998	427634	4520601	8.7	13.65
01/12/1998	427641	4520648	9.2	16.03
01/12/1998	427941	4520622	8.4	10.07
01/12/1998	427974	4520589	11.1	13.91
01/12/1998	427928	4520580	11.3	15.64
01/12/1998	427905	4520562	11.4	27.69
01/12/1998	427892	4520580	9.2	11.93
01/12/1998	427909	4520605	10.5	14.97
01/12/1998	427854	4520592	10.9	18.68
01/12/1998	427835	4520615	9.4	14.84
01/12/1998	427826	4520704	9.5	11.66
