Co, ppm	Procedure	Replicate	Laboratory
56.2	1	1	1
27.6	1	1	2
42.2	1	1	3
30.3	1	1	4
35.6	1	1	5
39.8	1	2	1
27.8	1	2	2
25.2	1	2	3
22.5	1	2	4
33.3	1	2	5
44.3	2	1	1
30.5	2	1	2
52.1	2	1	3
36.2	2	1	4
42	2	1	5
61.4	2	2	1
25.9	2	2	2
39.8	2	2	3
36.6	2	2	4
33	2	2	5
39.4	3	1	1
37.1	3	1	2
42.4	3	1	3
45	3	1	4
40.5	3	1	5
50.4	3	2	1
43.1	3	2	2
34.9	3	2	3
33.6	3	2	4
31.2	3	2	5
21.2	4	1	1
29	4	1	2
27.4	4	1	3
31.9	4	1	4
30.2	4	1	5
34.7	4	2	1
35.3	4	2	2
23.4	4	2	3
25.3	4	2	4
38.1	4	2	5
