X Axis	Y Axis
66.79	39.40
71.56	47.28
95.41	50.43
136.75	66.19
157.42	92.98
182.86	113.47
189.22	130.80
197.17	126.07
221.02	107.16
252.83	118.19
219.43	146.56
232.16	162.32
310.07	185.96
316.43	176.50
321.20	181.23
325.97	193.84
353.00	217.48
356.18	225.36
359.36	231.66
403.89	165.47
397.53	192.26
403.89	209.60
456.36	250.57
480.21	296.28
480.21	310.46
462.72	330.95
550.18	330.95
578.80	378.22
618.55	308.88
632.86	307.31
647.17	337.25
667.84	346.70
745.76	422.35
774.38	502.72
803.00	475.93
871.38	532.66
