Formation	Exin%	Vitr%	Inert%	TOC%	EOM ppm	Sats ppm	Arom ppm	Asph ppm	Resins ppm	HC ppm	EOM/TOC	HC/TOC	HC/EOM	Pr/Ph	Pr/C17	VR	Quality
Jurassic	5	74	21	0.94	307	75	27	94	74	102	3.3	1.1	33.2	1.33	0.66	0.73	POOR
Trias	22	42	36	1.82	1126	336	90	198	163	426	6.2	2.3	37.8	3.9	0.64	0.43	FAIR
Trias	5	69	26	2.62	994	120	132	477	238	252	3.8	1	25.4	2.2	0.56	0.57	FAIR
Evergreen	3	46	51	1.28	715	85	60	351	159	145	5.6	1.1	20.3	1.25	0.5	0.52	POOR
Mooga	14	23	63	1.3	1320	159	90	640	346	249	10.2	1.9	18.9	2.45	1.75	0.37	FAIR
Allaru	14	53	33	1.23	610	46	34	164	279	80	5	0.7	13.1	1.1	1.97	0.38	FAIR
Allaru	15	59	26	0.87	359	72	23	110	117	95	4.1	1.1	26.5	1.5	0.6	0.45	POOR
Allaru	10	39	51	0.64	593	100	15	240	138	115	9.2	1.8	19.4	1.7	0.83	0.43	MIGRATED
Toolebuc	99	0	1	16.7	10880	522	609	4613	3275	1131	6.5	0.7	10.4	1.1	2.47	0.47	EXCELLENT
Wallumbilla	2	76	22	2.75	545	88	21	202	121	109	2	0.4	20	2.15	0.89	0.53	EXCELLENT
Birkhead	6	89	5	1.05	782	101	40	391	170	141	7.4	1.3	18	3.1	0.89	0.51	FAIR
Brookwood	1	95	4	3.45	174	80	12	35	41	92	0.5	0.3	52.9	1.45	0.71	0.56	EXCELLENT
Betts Creek	1	5	94	2.2	1172	113	48	357	188	161	5.3	0.7	13.7	2.25	0.71	0.45	POOR
Evergreen	62	21	17	3.6	2947	743	312	846	619	1055	8.2	2.9	35.8	3.5	0.25	0.55	EXCELLENT
Birkhead	7	82	10	16.2	12355	1594	1915	3830	3336	3509	7.6	2.2	28.4	9.3	2.12	0.62	EXCELLENT
Evergreen	5	91	4	39.6	41410	3147	7123	19753	10518	10270	10.5	2.6	24.8	4.6	0.75	0.71	EXCELLENT
Naooanerri	3	93	4	0.76	894	500	89	61	122	589	11.8	7.8	65.9	2	0.14	0.72	MIGRATED
Gidgealpa	1	66	33	31.8	9022	965	1471	3816	1940	2436	2.8	0.8	27	4.1	0.77	0.75	FAIR
Gidgealpa	2	39	59	50.3	8880	1510	1687	2238	2184	3197	1.8	0.6	36	4.3	0.5	0.85	MIGRATED
