Core	Orthoclase	Albite	Anorthite	Diopside	Olivine	Nepheline	Magnetite	Ilmenite	SiO2	TiO2	AL2O3	Fe2O3	FeO	MgO	CaO	Na2O
1	3.17	26.42	26.78	22.53	12.41	2.11	1.11	1.88	46.61	1.31	15.38	5.82	3.99	6.02	12.5	3.24
2	2.91	28.15	26.05	22.79	12.54	2.36	1.07	2.05	47.76	1.43	15.54	5.41	4.15	6.35	11.73	3.49
3	15.68	24.25	13.07	15.13	10.69	6.35	1.24	7.08	44.17	4.9	13.54	6.89	4.37	5.39	9.26	3.74
4	11.73	21.98	13.54	21.08	10.09	7.81	1.28	6.58	44.02	4.57	13.08	6.5	4.79	5.68	10.81	3.82
5	15.24	18.71	14.83	13.81	15.98	8.6	1.52	7.19	42.63	4.92	13.62	4.83	8.13	6.46	8.14	3.61
6	11.04	16.06	12.66	19.08	13.05	15.31	1.52	7.11	41.46	4.86	13.6	5.69	7.3	5.99	9	4.46
7	2.44	34.88	20.31	25.38	11.52	0.29	1.05	3.28	49.24	2.28	13.9	3.44	5.6	6.84	10.6	3.82
8	4.77	31.53	20.3	23.81	13.48	0.51	1.46	3.26	47.86	2.23	13.59	6.63	6.04	5.73	10.08	3.45
9	2.8	34.79	25.25	13.79	17.24	0.06	1.14	2.57	47.42	1.79	15.64	5.83	4.25	6.92	9.43	3.84
10	3.26	35.07	22.18	10.12	20.12	0	1.38	3.23	44.93	2.14	14	7.05	4.67	7.57	7.12	3.64
11	15.31	19.25	21.19	10.9	25.16	5.07	1.26	1.52	46.04	1.04	14.91	6.61	4.39	9.06	6.87	2.98
12	0.79	23.18	27.61	21.8	17.32	5.43	1.42	1.6	45.83	1.11	15.63	4.77	7.47	6.93	10.96	3.48
13	1.84	20.97	25.09	21.25	19.5	7.45	1.43	1.47	45.15	1.02	15.1	4.11	8.15	7.76	10.38	3.59
14	2.99	19.88	25.2	21.71	18.8	7.63	1.45	1.51	45.37	1.05	15.23	4.76	7.76	7.43	10.48	3.52
15	2.23	25.5	26.94	27.89	12.9	0	1.15	1.39	48.94	0.98	14.69	3.89	6.21	7.3	12.75	2.8
16	2.26	26.22	26.87	27.22	14.02	0.004	1.25	1.45	49.44	1.03	14.96	4.19	6.96	7.02	12.56	2.91
17	9.96	46.93	16.68	5.25	10.44	3.44	1.07	3.36	50.78	2.36	17.21	6.76	2.94	2.76	6.32	5.78
18	26.97	32.2	14.44	5.24	2.68	0	1.04	4.24	51.36	2.86	15.16	7.1	1.97	3.54	4.78	3.47
19	12.3	35.77	15.56	6.26	18.96	1.14	1.06	3.97	46.33	2.72	14.2	4.3	4.84	7.12	6.85	4.05
20	12.2	36.32	15.52	6.35	19.1	0.63	1.06	3.95	46.89	2.73	14.23	4.44	4.84	7.21	6.9	4.05
21	3.81	40.12	17.39	12.37	18.1	1.47	1.3	4.2	46.95	2.85	14.05	5.55	5.51	6.83	6.88	4.52
22	2.18	35.72	25.84	2.82	15.64	0	1.13	2.61	44.7	1.73	15.14	6.05	3.57	7.5	7.19	3.71
23	1.26	34.69	23.03	8.58	22.59	0	1.1	2.46	45.42	1.65	14.04	4.19	5.1	9.91	7.04	3.62
24	6.71	28.1	27.96	5.95	16.41	0	1.22	3.75	45.56	2.54	15.67	7.38	3.23	7.96	7.49	2.96
