Index	dihedral angles
1	1
2	2
3	3
4	3
5	3
6	3
7	5
8	6
9	7
10	8
11	8
12	10
13	10
14	10
15	10
16	10
17	10
18	11
19	11
20	11
21	11
22	11
23	12
24	12
25	14
26	14
27	14
28	15
29	15
30	15
31	15
32	17
33	18
34	18
35	18
36	18
37	18
38	18
39	19
40	19
41	20
42	20
43	20
44	22
45	22
46	22
47	22
48	23
49	24
50	24
51	24
52	25
53	25
54	25
55	26
56	26
57	27
58	28
59	28
60	29
61	32
62	32
63	32
64	33
65	34
66	34
67	35
68	36
69	37
70	38
71	39
72	39
73	39
74	40
75	40
76	40
77	40
78	41
79	41
80	42
81	42
82	43
83	43
84	43
85	45
86	47
87	48
88	48
89	49
90	50
91	50
92	51
93	52
94	52
95	53
96	53
97	54
98	60
99	61
100	63
101	65
102	67
103	70
104	72
105	73
106	74
107	78
108	90
109	119
110	135
