Euclidean distance measure between 25 random blocks (a through y), calculated over 7 variables

a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y
0.00	73.26	241.39	339.63	182.00	73.29	54.80	217.64	177.61	70.74	62.41	214.23	165.00	108.03	216.52	85.70	149.69	167.17	40.66	126.92	106.12	259.59	236.83	166.36	294.40
73.26	0.00	101.73	145.37	34.21	33.08	133.58	56.68	135.64	23.75	5.22	77.79	102.28	73.71	212.08	22.10	41.47	38.79	27.66	46.85	63.10	80.31	125.57	50.33	99.96
241.39	101.73	0.00	18.19	33.96	56.61	218.19	17.85	419.88	183.34	113.33	2.67	34.42	68.58	107.09	45.04	192.08	19.73	88.56	40.84	299.73	16.35	8.00	24.88	17.89
339.63	145.37	18.19	0.00	47.75	123.42	330.11	26.72	447.01	238.63	167.44	26.20	99.61	145.40	202.98	97.27	205.64	48.46	162.09	96.33	336.99	19.43	42.47	63.57	9.40
182.00	34.21	33.96	47.75	0.00	50.14	217.19	3.79	238.23	97.47	52.13	22.92	79.77	87.86	196.22	26.86	71.90	9.32	66.54	44.27	152.86	16.55	65.05	27.05	21.65
73.29	33.08	56.61	123.42	50.14	0.00	73.26	57.53	278.35	70.09	28.75	42.02	24.06	13.54	79.02	5.75	134.23	27.60	5.23	11.36	170.43	72.89	52.93	24.02	94.97
54.80	133.58	218.19	330.11	217.19	73.26	0.00	234.37	384.28	116.91	102.72	195.43	109.90	58.18	106.75	107.83	284.87	168.81	60.80	99.79	263.34	252.49	186.45	144.32	292.51
217.64	56.68	17.85	26.72	3.79	57.53	234.37	0.00	298.94	128.40	74.50	11.43	68.86	87.85	177.91	35.22	106.42	8.18	81.62	44.30	202.88	6.41	45.11	23.51	8.63
177.61	135.64	419.88	447.01	238.23	278.35	384.28	298.94	0.00	148.29	164.94	383.30	456.98	390.86	642.70	236.50	51.87	298.55	229.43	340.61	15.12	365.31	488.29	345.59	381.09
70.74	23.75	183.34	238.63	97.47	70.09	116.91	128.40	148.29	0.00	11.14	148.19	154.54	94.89	261.54	72.55	84.39	91.19	58.67	76.54	71.14	144.84	200.00	90.41	176.28
62.41	5.22	113.33	167.44	52.13	28.75	102.72	74.50	164.94	11.14	0.00	86.21	93.04	55.43	189.87	27.98	70.63	44.86	24.11	37.22	80.82	91.90	127.39	46.90	117.66
214.23	77.79	2.67	26.20	22.92	42.02	195.43	11.43	383.30	148.19	86.21	0.00	28.98	53.42	106.09	32.60	167.80	8.40	71.38	25.57	264.96	10.39	11.58	11.99	16.14
165.00	102.28	34.42	99.61	79.77	24.06	109.90	68.86	456.98	154.54	93.04	28.98	0.00	12.90	27.65	37.69	246.51	38.64	48.60	16.43	316.11	67.51	15.68	24.44	86.60
108.03	73.71	68.58	145.40	87.86	13.54	58.18	87.85	390.86	94.89	55.43	53.42	12.90	0.00	42.72	33.70	218.20	45.12	28.00	9.42	256.47	88.87	48.97	26.56	116.68
216.52	212.08	107.09	202.98	196.22	79.02	106.75	177.91	642.70	261.54	189.87	106.09	27.65	42.72	0.00	111.79	410.51	129.67	105.40	76.15	474.57	173.47	61.44	99.93	199.26
85.70	22.10	45.04	97.27	26.86	5.75	107.83	35.22	236.50	72.55	27.98	32.60	37.69	33.70	111.79	0.00	94.96	18.13	10.36	19.75	142.24	55.69	53.80	24.60	71.45
149.69	41.47	192.08	205.64	71.90	134.23	284.87	106.42	51.87	84.39	70.63	167.80	246.51	218.20	410.51	94.96	0.00	115.63	116.64	164.13	26.14	149.87	250.18	154.00	157.74
167.17	38.79	19.73	48.46	9.32	27.60	168.81	8.18	298.55	91.19	44.86	8.40	38.64	45.12	129.67	18.13	115.63	0.00	48.81	14.84	191.76	11.85	34.37	4.81	23.02
40.66	27.66	88.56	162.09	66.54	5.23	60.80	81.62	229.43	58.67	24.11	71.38	48.60	28.00	105.40	10.36	116.64	48.81	0.00	29.63	134.08	105.98	86.77	48.24	130.15
126.92	46.85	40.84	96.33	44.27	11.36	99.79	44.30	340.61	76.54	37.22	25.57	16.43	9.42	76.15	19.75	164.13	14.84	29.63	0.00	216.79	44.07	36.13	4.93	65.98
106.12	63.10	299.73	336.99	152.86	170.43	263.34	202.88	15.12	71.14	80.82	264.96	316.11	256.47	474.57	142.24	26.14	191.76	134.08	216.79	0.00	254.35	350.89	224.34	274.30
259.59	80.31	16.35	19.43	16.55	72.89	252.49	6.41	365.31	144.84	91.90	10.39	67.51	88.87	173.47	55.69	149.87	11.85	105.98	44.07	254.35	0.00	38.49	20.03	2.80
236.83	125.57	8.00	42.47	65.05	52.93	186.45	45.11	488.29	200.00	127.39	11.58	15.68	48.97	61.44	53.80	250.18	34.37	86.77	36.13	350.89	38.49	0.00	28.70	45.22
166.36	50.33	24.88	63.57	27.05	24.02	144.32	23.51	345.59	90.41	46.90	11.99	24.44	26.56	99.93	24.60	154.00	4.81	48.24	4.93	224.34	20.03	28.70	0.00	36.28
294.40	99.96	17.89	9.40	21.65	94.97	292.51	8.63	381.09	176.28	117.66	16.14	86.60	116.68	199.26	71.45	157.74	23.02	130.15	65.98	274.30	2.80	45.22	36.28	0.00
