Name	Date	BH Pressure	Area	Av. Thickness	Av. Porosity	Av. Permeability	Av. Sw	API Gravity
Akron E.	1955	960	1240	12	22	375	13	33
Ambush	1973	960	960	21	8	0.1	46	42
Arroyo	1980	1600	400	24	12	8	42	41
Atwood E.	1954	1055	1180	9	23	80	52	36
Baseline	1980	900	1400	6.2	8.5	0.8	19.2	39
Krauthead	1980	2890	720	6.5	9.6	10.7	18.4	40
Banner E.	1981	.	240	.	.	.	.	40
Fence Post	1980	.	200	6.7	8.5	.	.	40
Horse Creek	1980	.	160	3	8.6	.	.	40
Sloan	1974	600	160	3.2	8.3	.	.	40
Beacon	1955	1492	920	39	19.3	210	32	39
Beall Creek	1956	1080	280	15	17.7	212	42.5	37
Bison	1960	862	840	14	24	450	62	22
Lindon	1959	916	480	14	24	450	62	22
Blackjack	1967	1200	200	26	19.7	367	53.2	41
Blade	1962	864	600	9	28	300	53	24
Border	1956	1450	1400	8	17	.	45	38
Busy Bee	1955	1625	240	11	16.5	.	35	.
Chiefton	1973	.	6240	11	10	.	30	56
Hawkeye	1971	.	2640	11	10	.	30	56
Cimarron	1967	811	280	3	19.8	1065	51.1	23
Comanche Creek	1970	2000	8360	10	14	20	35	37
Darby Creek	1955	1300	560	21	20	.	40	39
Deer Trail	1960	1793	1920	10	15	.	40	39
DeNova	1956	.	80	12	26.1	758	20	20
Divide	1952	1225	1720	6	23	260	44	39
Divide West	1954	1325	160	30	18	.	.	39
Elm Grove	1957	1240	520	15	20	.	37	35
Frasco	1954	1420	280	8	19	350	52	39
Holster-Bugle	1972	.	1850	5	11	275	.	43
Hombre	1970	1897	1620	17.5	12	6	33	38.7
Irondale	1972	2100	1760	42	10	15	.	45
Jackpot	1955	1760	1440	6	15.8	60	27	39
Jamboree	1970	.	960	6	5	0.1	37	35.6
Kiowa Creek	1955	1760	1440	6	18	97	33	57.7
Little Hoot	1953	1425	1280	33	17	20	42	38
Lonetree	1974	1700	960	14	15	.	33	41
Longbranch	1972	2523	3640	13	12.5	.	40	58
Longhorn	1980	1751	40	18	14.3	37.8	37.1	38
Lost Creek	1957	2015	4800	25	12.5	48	30	47
