d18O	d13C	Fe.ppm	Mg.per	Na.ppm	Mn.ppm	Sr.ppm	Ca.per	Porosity	Permeability	Depositional.env
0.27	5.59	4818	10.27	673	761	98	18.2	3.1	0	EB
-7.53	3.95	8461	10.44	388	3214	68	19.09	2.8	0	DB
-7.7	3.98	6907	10.78	590	2837	55	19.22	3.7	0	DB
-6.17	4.92	3300	11.98	1600	1500	50	21.18	22.2	417	DB
-6.37	4.8	4500	10.8	1750	90	20	20.22	19.3	107	DB
-5.24	4.75	1611	11.71	785	1752	81	21.39	8.7	0.2	SM
-4.01	4.74	787	11.86	6658	930	69	21.17	12.5	2.38	SM
-3.2	4.95	3904	11.28	613	635	172	20.88	7.9	0	SM
-3.94	5.11	2666	11.39	288	968	62	20.31	2.8	0	SM
-5.66	5.04	3877	10.35	322	880	239	20.79	3.6	0	SM
-3.63	4.87	2496	11.56	488	844	66	20.48	1.5	0	SM
-4.06	5.28	1000	11.57	3200	500	70	20.35	15.5	40	SM
-4.34	5.74	2000	10.44	1200	320	70	19.64	7.8	13	SM
-3.27	4.86	560	11.93	840	220	80	20.64	14.3	47	SM
-4.34	3.68	1524	10.9	2201	2690	210	20.9	11.1	0	SM
-1.02	3.82	907	11.51	2263	2606	73	20.64	13.2	0.9	EB
-2.38	3.73	950	11.67	2608	2837	97	21.15	21.3	11	SM
-5.65	3.78	1221	11.45	1874	4189	90	21.15	17.2	16	SM
1.52	4.82	1700	11.12	1300	4400	90	19.82	8.4	0.04	EB
2.27	4.85	1800	10.92	460	3800	60	19.27	16.6	0.01	EB
1.75	5.14	1100	12.12	810	4700	70	21.41	1.8	0.01	EB
2.39	4.85	2200	11.5	1500	3000	80	20.55	12.5	1.2	EB
1.48	4.89	2400	11.25	870	3400	120	20.67	11.9	0.3	EB
0.83	5.19	4973	11.01	563	2220	85	20.42	3	0	EB
-2.18	4.7	3485	10.53	792	2299	175	19.41	11.6	11	SM
0.52	4.87	4182	10.88	1239	2648	111	20.32	10.7	2.4	EB
1.41	4.57	2314	10.82	860	2211	88	19.26	7	13.6	EB
0.9	5.1	2582	11.13	554	1729	129	19.92	7.5	0	EB
-1.25	6.31	188	12.27	341	180	91	20.94	12.5	8	SS
-2.96	6.53	720	11.03	325	560	97	19.82	16.7	0.01	SM
1.42	6.11	455	10.19	297	2122	290	20.56	26.3	0.1	EB
-0.77	5.69	627	11.98	300	1410	129	21.33	15.7	820	SS
-2.45	6.29	300	12.76	29	1710	93	21.57	22.6	0.01	SM
-1.55	6.12	200	12.69	29	1610	67	21.68	17.2	0.01	SS
-3.74	6.15	1300	12.09	29	4770	2120	21.42	18.7	0.1	SM
-4.04	6.13	300	12.07	29	1570	1610	21.5	21.6	0.01	SM
-1.89	5.47	1900	12.46	440	1250	85	21.53	12.4	0.01	SS
-3.67	5.22	800	12.27	470	1080	78	21.92	7.3	4	SM
-2.9	5.44	1400	12.01	590	830	79	21.75	9.3	6.8	SM
-1.85	5.47	2400	11.42	5970	830	80	20.47	15.9	839	SS
-1.89	4.62	1200	12.9	900	762	85	21.21	12.2	9.8	SS
-1.88	5.18	8900	12.91	1300	1050	162	18.6	6.4	8.6	SS
-0.87	5.08	6400	12.95	1100	579	120	20.53	17	11	SS
-1.17	5.45	8200	12.93	890	523	126	18.51	20.4	22	SS
-4.55	5.19	4000	12.61	1400	745	171	20.22	14.8	9	SM
-0.39	5.67	869	12.81	27	405	92	20.86	17.1	0.1	EB
-3.69	5.6	448	12.19	30	640	84	20.71	2.6	0.01	SM
-3.95	5.77	750	12.41	30	689	56	21.06	1.3	42	SM
-5.91	3.4	278	0.6	27	350	131	36.32	9.5	4.8	DB
-6.17	-3.29	182	0.449	40	284	337	37.76	0.9	0	DB
-4.25	5.73	754	10.82	138	622	89	22.11	1.5	0	SM
-6.14	-3.83	79	0.111	28	236	366	38.48	1	0	DB
-6.76	2.94	127	2.24	30	436	269	36.14	10.8	9.8	DB
-1.09	6.16	1500	10.99	80	1610	437	22.07	10	229	EB
-2.36	6.17	1900	12.28	30	1670	103	21.05	3	0.75	SM
-3.05	6.2	2300	12.54	145	1800	70	21.52	8.1	1.2	SM
-3.26	6.18	2600	12.44	30	1920	129	21.28	6.2	1.2	SM
-1.95	6.29	3100	12.24	64	2240	59	21.06	10	25	SM
0.26	5.99	700	11.62	280	1330	212	22.58	4.4	0.05	EB
0.42	5.99	800	12.35	162	1470	84	21.85	1	0.04	EB
-0.56	6.08	1600	12.22	298	1460	105	22.09	3.7	0.04	EB
-5.29	5.3	370	0.72	31	350	13	38.73	3	0.56	SF
-4.89	5.46	320	0.21	31	236	195	36.89	7.8	0.18	SF
-5.36	5.49	770	0.19	31	258	63	38.36	3.5	0.01	SF
-5.94	1.78	300	0.16	600	267	505	36.13	0	0	SF
-2.68	3.31	300	0.92	1200	188	196	30.21	0.1	0	SF
2.29	6.29	8200	10.7	1200	5500	470	20.92	14.8	41	EB
-7.81	4.87	664	0.238	30	3366	148	36.74	9.6	0.1	DB
-7.85	4.75	655	0.199	239	2024	175	35.56	7	0.1	DB
-7.35	4.78	727	0.231	161	2666	156	35.62	17.7	0.1	DB
1.19	5.64	45300	8.37	140	1980	895	25.21	4.7	0.1	EB
0.54	5.41	12300	9.6	130	1890	297	3.42	3.7	0.1	EB
1.01	5.47	16000	10.2	80	1510	166	22.16	4.5	0.1	EB
0.51	5.47	8200	9.06	120	1540	189	24.41	60	0.1	EB
-0.33	5.68	4700	6.85	120	2190	156	26.53	1.3	0.1	EB
-4.2	5.35	7800	13	1500	1310	862	20.21	4.3	0	SM
-2.36	4.35	2200	1.01	3400	1150	195	30.47	10	4.1	SF
-3.4	4.21	1600	0.47	600	1280	253	35.71	1.6	0	SF
-3.6	4.82	530	0.33	1200	1630	202	33.74	8.5	47	SF
-5.2	4.69	330	0.22	730	2370	193	36.25	9.2	47	SF
-4.67	4.58	880	0.22	2000	2040	194	36.01	15.3	47	SF
-4.57	4.77	770	0.29	1000	1980	215	32.82	14.6	47	SF
-2.86	4.53	2400	0.36	2200	1060	264	36.41	8.5	47	SF
-3.23	4.53	1900	0.33	2000	1240	279	37.05	12.3	47	SF
-4.75	4.65	940	0.23	730	2120	362	36.03	10.9	9.1	SF
-3.3	4.83	620	0.24	810	952	1230	36.51	12.5	9.1	SF
-2.91	4.57	1600	0.34	3000	1180	276	33.18	8.6	9.1	SF
-3.47	4.55	2200	0.27	5200	1190	283	37.07	10.2	9.1	SF
-5.31	4.15	800	0.27	500	1770	212	35.81	7.1	0.1	SF
-5.37	4.26	1100	0.27	900	1730	217	36.44	5.2	0.1	SF
-5.09	4.22	1100	0.25	800	1730	215	35.5	4.3	0.1	SF
-5.09	4.21	700	0.25	600	1760	208	35.43	6.4	0.1	SF
-10.88	4.63	42200	9.07	330	7700	50	21.71	16.8	3100	DB
-10.18	5.05	42500	9.56	570	8100	60	21.89	5.5	0.13	DB
-5.11	4.76	2500	0.3	920	410	270	37.68	4.3	0	SF
-9.19	5.09	38400	9.14	420	7600	80	22.72	0	0	DB
-5.38	4.67	930	0.28	320	600	310	38.77	2.1	0	SF

EB = Reflux of evaporite brines; SS = Seawater seepage; SF = Shallow burial
alteration by fresh water; SM = Shallow burial alteration by mixed water;
DB = Deep burial alteration
