Drawdown, ft	Time, seconds	Time, log seconds
0	10	1
0.0904	15	1.1761
0.181	20	1.301
0.236	25	1.3979
0.25	30	1.4771
0.266	35	1.5441
0.294	40	1.6021
0.308	45	1.6532
0.311	50	1.699
0.328	55	1.7404
0.338	60	1.7782
0.343	65	1.8129
0.353	70	1.8451
0.358	75	1.8751
0.365	80	1.9031
0.371	85	1.9294
0.374	90	1.9542
0.387	95	1.9777
0.383	100	2
0.396	105	2.0212
0.398	110	2.0414
0.401	115	2.0607
0.402	120	2.0792
0.407	125	2.0969
0.411	130	2.1139
0.416	135	2.1303
0.42	140	2.1461
0.421	145	2.1614
0.425	150	2.1761
0.427	155	2.1903
0.43	160	2.2041
0.433	165	2.2175
0.436	170	2.2304
0.439	175	2.243
0.441	180	2.2553
0.443	185	2.2672
0.446	190	2.2788
0.448	195	2.29
