Hour	Fe	CaO	SiO2	MgO	MnO	Al2O3	Tonnes
1	30.79	10.18	2.87	4.73	2.40	0.66	395
2	30.21	10.55	3.19	4.68	2.41	0.83	406
3	32.55	8.65	2.81	4.42	2.36	0.69	306
4	31.29	9.79	2.79	4.69	2.34	0.74	319
5	31.28	9.61	2.71	4.62	2.47	0.73	307
6	31.65	9.54	2.17	4.66	2.62	0.65	431
7	32.23	9.2	2.45	4.44	2.60	0.68	424
8	31.24	9.82	3.16	4.44	2.54	0.87	163
9	30.79	10.19	3.03	4.75	2.47	0.69	246
10	29.97	11.07	2.64	4.7	2.45	0.72	382
11	29.08	12.01	2.72	4.94	2.36	0.63	356
12	31.41	9.7	2.92	4.6	2.41	0.77	216
13	31.41	10.4	2.33	4.34	2.43	0.62	325
14	31.1	10.03	2.54	4.73	2.45	0.69	306
15	33.16	5.48	7.63	3.66	2.49	1.5	365
16	33.38	5.24	7.97	3.58	2.49	1.53	365
17	35.06	6.74	2.88	3.87	2.74	0.7	365
18	33.44	5.41	7.5	3.63	2.52	1.47	365
19	35.15	4.32	5.5	3.69	2.69	1.06	365
20	29.38	11.2	2.8	4.92	2.39	0.84	306
21	30.25	9.81	3	5.36	2.38	0.78	306
22	34.73	5	5.29	3.76	2.58	1.16	306
23	34.51	4.93	5.76	3.68	2.58	1.28	306
24	35.88	3.72	5.44	3.6	2.61	1.26	306
25	35.54	3.95	5.44	3.72	2.60	1.33	306
26	35.24	4.14	6.1	3.65	2.57	1.3	307
27	34.9	4.64	6.04	3.64	2.54	1.11	307
28	34.88	5.34	5.25	3.6	2.62	0.97	312
29	34.69	5.2	5.41	3.64	2.65	1.08	313
30	33.48	7.13	3.69	4.36	2.62	0.72	312
31	30.44	9.86	3.44	4.92	2.41	0.74	313
32	34.42	4.74	6.54	3.53	2.63	1.11	312
33	29.66	11.34	2.48	5.11	2.45	0.57	313
34	33.29	5.26	7.48	3.57	2.53	1.33	312
35	32.56	6.56	6.02	4.12	2.53	1.16	313
36	32.68	6.4	5.96	4.06	2.54	1.22	365
37	35.81	4.43	4.92	3.65	2.71	0.98	365
38	35.71	4.98	3.89	3.84	2.72	0.88	365
39	31.12	9.75	5.38	3.45	2.45	0.91	340
40	31.91	8.69	5.23	3.52	2.57	1.03	340
41	33.36	7.19	5.47	3.36	2.63	0.99	340
42	32.68	8.58	4.24	3.52	2.56	0.72	340
43	32.5	8.16	4.93	3.52	2.57	0.89	340
44	29.59	9.74	3.81	5.34	2.48	0.97	300
45	32.4	8.83	2.04	4.82	2.58	0.58	300
46	30.67	10.34	2.1	5.23	2.54	0.53	300
47	29.96	10.94	1.79	5.56	2.52	0.52	300
48	30.06	10.4	2.02	5.79	2.53	0.5	300
49	32.57	8.68	2.1	4.92	2.63	0.57	300
50	30.23	10.58	1.85	5.5	2.53	0.49	300
51	32.96	7.82	2.46	4.74	2.63	0.65	300
52	33.99	7.54	1.88	4.5	2.69	0.46	332
