Angle	Radius
0	147.23
5	150.66
10	156.18
15	162.74
20	166.79
25	169.13
30	170.39
35	169.6
40	166.41
45	161.99
50	154.75
55	147.48
60	138.7
65	134.13
70	127.59
75	120.5
80	115.06
85	110.19
90	104.09
95	101.92
100	101.54
105	101.77
110	99.02
115	97.15
120	100.97
125	100.29
130	101.59
135	104.11
140	106.7
145	108.84
150	110.88
155	115.39
160	118.04
165	123.63
170	132.21
175	137.44
180	145.88
185	151.18
190	158.39
195	161.12
200	163.29
205	171.75
210	170.57
215	165.76
220	166.49
225	159.83
230	151.71
235	150.55
240	146.19
245	137.49
250	130.45
255	124.14
260	118.86
265	108.53
270	104.67
275	103.94
280	102.84
285	98.57
290	99.95
295	100.84
300	97.89
305	92.56
310	91.37
315	93.69
320	96.85
325	106.37
330	112.13
335	116.28
340	120.07
345	124.04
350	135.25
355	142.12
.	.
0	140.17
5	136.94
10	138.02
15	137.37
20	148.06
25	151.67
30	154.29
35	158.73
40	174.32
45	173.98
50	175.47
55	169.91
60	172.41
65	170.21
70	171.01
75	165.62
80	163.95
85	157.2
90	158.55
95	162.71
100	154.14
105	151.69
110	166.97
115	163.01
120	142.93
125	141.65
130	137.56
135	135.58
140	134.2
145	135.1
150	139.39
155	141.22
160	141.77
165	144.29
170	140.11
175	140.47
180	142.26
185	145.48
190	146.44
195	130.82
200	126.54
205	133.24
210	146.46
215	158.56
220	159.81
225	166.67
230	164.49
235	158.51
240	174.38
245	178.13
250	171.7
255	176.25
260	181.69
265	179.52
270	166.53
275	163.01
280	154.95
285	147.81
290	143.41
295	142.08
300	139.6
305	141.43
310	148.2
315	144.07
320	140.76
325	135.4
330	130.33
335	133.04
340	127.73
345	134.73
350	137.98
355	135.98
.	.
0	229.85
5	224.52
10	233.78
15	239.77
20	241.14
25	238.06
30	248.59
35	240.1
40	237.99
45	237.03
50	241.99
55	236.37
60	232.86
65	228.06
70	223.14
75	219.21
80	214.01
85	205.29
90	194.94
95	192.73
100	200.42
105	207.96
110	207.39
115	198.17
120	199.47
125	203.84
130	203.37
135	200.87
140	196.66
145	196.04
150	201
155	204.26
160	211.26
165	211.42
170	215.07
175	217.82
180	222.04
185	223.43
190	226.04
195	227.8
200	234.26
205	263.94
210	266.09
215	270.74
220	251.45
225	238.14
230	239.16
235	232.32
240	220.92
245	216.01
250	211.84
255	206.99
260	200.72
265	198.23
270	202.93
275	198.93
280	196.83
285	201.09
290	204.75
295	209.17
300	206.15
305	204.97
310	190.15
315	191.26
320	195.18
325	200.18
330	208.2
335	212.24
340	220.88
345	223
350	219.42
355	220.62
.	.
0	233.46
5	231.85
10	232.26
15	231.71
20	227.2
25	223.14
30	212.86
35	206.46
40	205.43
45	198.73
50	193.6
55	188.83
60	185.9
65	178.38
70	173.04
75	170.3
80	165.02
85	160.1
90	160.76
95	164.06
100	166.91
105	166.82
110	167.2
115	165.87
120	168.09
125	165.86
130	160.01
135	176.9
140	176.52
145	181.92
150	185.65
155	197.68
160	204.54
165	216.3
170	222.51
175	227.79
180	230.17
185	236.61
190	233.01
195	237.14
200	226.16
205	225.09
210	217.63
215	210.77
220	205.27
225	200.24
230	203.57
235	194.08
240	185.33
245	174.4
250	170.59
255	166.81
260	155.71
265	154.01
270	151.51
275	151.56
280	160.51
285	160.04
290	161.55
295	166.59
300	170.02
305	166.67
310	172.08
315	178.3
320	181.06
325	188.52
330	194.93
335	201.72
340	210.38
345	217.51
350	223.03
355	228.75
.	.
0	210.46
5	207.4
10	202.08
15	197.49
20	189.47
25	178.82
30	172.27
35	171.16
40	155.65
45	148.07
50	146.39
55	140.44
60	138.26
65	142
70	138.17
75	142.31
80	134.71
85	131.67
90	131.11
95	131.51
100	132.53
105	131.86
110	132.74
115	137.01
