Distance	Elevation
30	2878
60	2880
90	2880
120	2885
150	2880
180	2880
210	2880
240	2880
270	2880
300	2879
330	2880
360	2880
390	2871
420	2878
450	2881
480	2875
510	2874
540	2875
570	2877
600	2873
630	2870
660	2870
690	2870
720	2870
750	2872
780	2871
810	2871
840	2870
870	2870
900	2866
930	2865
960	2870
990	2870
1020	2868
1050	2864
1080	2862
1110	2863
1140	2864
1170	2864
1200	2863
1230	2866
1260	2859
1290	2859
1320	2857
1350	2857
1380	2856
1410	2855
1440	2858
1470	2859
1500	2860
1530	2860
1560	2861
1590	2863
1620	2867
1650	2870
1680	2869
1710	2868
1740	2865
1770	2865
1800	2865
1830	2867
1860	2872
1890	2870
1920	2871
1950	2870
1980	2870
2010	2881
2040	2878
2070	2877
2100	2890
2130	2892
2160	2885
2190	2879
2220	2872
2250	2870
2280	2870
2310	2871
2340	2871
2370	2870
2400	2870
2430	2870
2460	2870
2490	2870
2520	2879
2550	2893
2580	2893
2610	2891
2640	2889
2670	2882
2700	2872
2730	2866
2760	2864
2790	2864
2820	2862
2850	2865
2880	2872
2910	2874
2940	2869
2970	2869
3000	2871
3030	2882
3060	2888
3090	2885
3120	2882
3150	2882
3180	2877
3210	2876
3240	2881
3270	2869
3300	2865
3330	2860
