Depth (cm)	Fe %
0	14.21
3	19.35
10	17.22
14	15.87
23	13.62
30	16.31
36	14.13
48	13.95
59	15
66	14.23
68	16.81
81	15.93
94	16.02
96	17.85
102	17.02
115	15.87
121	19.84
130	16.94
163	16.72
168	19.2
205	20.41
239	16.88
251	18.74
283	16.67
297	18.56
322	18.87
335	20.81
351	24.52
370	25.03
408	25.11
416	23.28
419	22.56
425	19
429	20.53
443	19.08
447	22.83
465	21.06
474	24.96
493	19.12
502	22.24
522	26.88
550	21.15
558	28.92
571	27.96
586	25.03
596	26.27
