d18O,d2H
-21.0967040569254,-156.446561146015
-21.0051885160844,-151.739687718481
-20.8038543262341,-160.232979325499
-20.7763996639818,-154.580327120361
-20.7763996639818,-158.29077471119
-20.6925104182109,-152.240653194394
-20.5171056315989,-159.832206944768
-20.3920343924495,-153.866864200819
-20.349327140057,-157.545749131627
-20.0717299995059,-148.710773379499
-20.0442753372536,-155.472155769789
-19.8978504719079,-151.801345007824
-19.7056678361417,-147.092269534241
-19.7188867475965,-153.383882100964
-19.4660635110306,-150.520554951923
-19.4036665513663,-144.494956220661
-19.1558119615885,-147.693428105337
-19.289272125315,-151.277258048407
-19.0833621584227,-141.533204286142
-18.8545733063201,-145.975832187921
-18.7376367819121,-140.221763528685
-18.6086252903098,-148.936207843659
-18.5088479298095,-145.61677634621
-18.4808848478859,-135.535381362986
-18.4173323889685,-141.761483059782
-18.2805212774082,-132.328151340619
-18.3054800612739,-148.710773379499
-18.1682067500124,-138.307206825867
-18.1052898156841,-141.190510869927
-18.1453278648021,-143.624047008689
-18.0766912091713,-148.238434502209
-18.010134452196,-131.960309557606
-17.9760241142462,-151.277258048407
-17.8373428715871,-137.428082288255
-17.7767236030813,-124.610480407497
-17.8021445866482,-128.301109583894
-17.8021445866482,-142.002974109709
-17.647712111479,-130.89181675933
-17.6648712753867,-143.911414017949
-17.7106290458072,-150.699220960815
-17.51615852152,-135.24636281919
-17.4564192101376,-123.171810322824
-17.4767559969912,-126.948319295092
-17.5733557345456,-140.94966208343
-17.1823347873158,-132.212543923101
-17.2301724563918,-136.017078935979
-17.1558160794584,-122.606618503845
-17.1500963581559,-128.656740020641
-17.1092412059947,-125.645442050043
-16.8869891782379,-131.254053334221
-16.8137767455651,-121.103722076106
-16.8297919652122,-123.242459300196
-16.7954736373968,-127.605263032736
-16.5666847852943,-131.06577839712
-16.6124425557148,-120.294470153477
-16.4751692444532,-124.588459947018
-16.4751692444532,-126.976578886041
-16.3664945397045,-132.462150847288
-16.273835054603,-113.265539168359
-16.1443053660279,-125.416768037369
-16.2921381627712,-127.41588707261
-16.1091070810891,-116.776701591846
-15.926075999407,-113.358025102374
-15.8154947208908,-124.591212504578
-15.9489548846173,-126.537270699471
-15.7596841069688,-115.936420838542
-15.5803506228965,-110.711899768064
-15.6286504916737,-124.803159436695
-15.4593467411177,-112.880181109964
-15.4435395113361,-117.940282742194
-15.3312249839403,-110.121017411859
-15.2625883283095,-114.668242500916
-15.1481939022582,-117.25564660728
-15.1481939022582,-119.931132555562
-14.9651628205762,-118.444751473183
-14.794611130827,-107.283380800044
-14.6651952144861,-103.467168270244
-14.6448584276326,-109.697123547625
-14.5533428867915,-99.4851350001664
-14.3703118051094,-93.0111196191364
-14.3952705889752,-103.415787195792
-14.4618273459505,-108.964943236675
-14.2055838315956,-100.040050604255
-14.0774620744181,-92.4562040150481
-13.885279438652,-95.554482804541
-13.9264614320304,-99.4774278389985
-13.8822289206239,-102.182641408929
-13.7297030192222,-91.1614009388421
-13.5674709240949,-95.2181703172148
-13.6839452488017,-97.5583447081932
-13.6055033566522,-101.775262890055
-13.4818484294444,-105.506354662583
-13.6153085931709,-107.346439391417
-13.4093986262786,-90.6989712687685
-13.3064436428324,-87.3463561607351
-13.2797516100871,-95.5159469987016
-13.2530595773418,-101.334853680461
-13.2067570715592,-106.223395906953
-13.1348520037555,-79.6006591870027
-13.1348520037555,-82.8046361867982
-13.0183776790487,-90.6359126773948
-12.9804195285863,-86.5660060924859
-12.8969115975688,-93.612278190232
-12.9351817328296,-100.164766484972
-12.9975786924939,-102.606535273163
-12.8145476108119,-79.1382295169291
-12.8145476108119,-82.309175826005
-12.7128636765441,-97.378510947609
-12.6772742995503,-75.9012218264141
-12.6772742995503,-85.8764904237155
-12.6772742995503,-88.9153139699133
-12.6406680832139,-92.3637180810334
-12.6315165291298,-101.202730917583
-12.4942432178683,-79.1382295169291
-12.4667885556159,-83.1151246795619
-12.43132628354,-99.0516071844725
-12.3569699066067,-76.4297128779267
-12.3444905146738,-86.7052604817694
-12.2940529722785,-91.6816343176748
-12.1489800410589,-79.6426982479184
-12.1464841626723,-83.8550121516796
