K	Origin
2.08	H
2.85	H
1.57	H
0.29	H
2.00	H
2.91	H
1.01	H
3.08	H
3.80	H
0.08	H
0.53	H
4.86	H
2.95	H
4.30	H
0.71	H
0.84	H
2.19	H
1.22	H
3.94	H
3.25	H
0.77	H
0.39	H
1.38	H
3.31	H
3.49	H
2.52	H
2.78	H
2.66	H
1.70	H
2.46	H
2.60	H
5.53	H
1.84	H
0.65	H
1.94	H
1.47	H
1.60	H
1.26	H
9.19	S
2.33	S
6.11	S
11.15	S
10.72	S
9.53	S
5.74	S
4.84	S
3.35	S
7.69	S
7.54	S
6.43	S
5.89	S
5.46	S
6.32	S
8.73	S
8.41	S
8.16	S
7.86	S
9.85	S
8.85	S
5.00	S
6.61	S
4.03	S
10.50	S
6.99	S
4.31	S
0.91	S
7.28	S
8.54	S
5.23	S
4.44	S
3.87	S
5.37	S
9.29	S
5.13	S
2.72	S
6.78	S
4.63	S
10.00	S
2.63	S
3.17	S
5.71	S
7.45	S
7.19	S
3.03	S
0.36	S
3.62	S
8.02	S
4.11	S
1.64	S
6.23	S
12.09	S
1.87	S
6.87	S

