Rock name	Index	SiO2	Al2O3	Fe2O3	FeO	MgO	CaO	Na2O	K2O
Syenite	1	61.7	15.1	2	2.3	3.7	4.6	4.4	4.5
Syenite	2	58.3	17.9	3.2	1.7	1.5	3.7	5.9	5.3
Syenite	3	51.2	17.6	3.5	4.3	3.2	4.5	5.7	4.4
Monzonite	4	54.4	14.3	3.3	4.1	6.1	7.7	3.4	4.2
Diorite	5	58	15.7	0.7	2.8	5	10.9	3	3.2
Diorite	6	46.9	15.9	2.9	10	7	9.6	2.7	0.7
Diorite	7	58	17.3	2.2	3.8	2.2	4.3	4.3	4.1
Quartz diorite	8	55.5	16.5	1.7	4.6	6.7	6.7	3.2	2.5
Gabbro	9	55.4	15.3	2.7	5.5	5.8	9.9	2.9	1.5
Gabbro	10	55.9	13.5	2.7	5.9	6.5	8.9	2.4	1.7
Norite	11	47.2	14.5	1.6	13.8	5.2	8.1	3.1	1.2
Norite	12	48.2	18.3	1.3	6.1	10.8	9.4	1.3	0.7
Hypersthene gabbro	13	44.8	18.8	2.2	4.7	11.3	14.6	0.9	0.1
Hypersthene gabbro	14	47	14.1	0.8	15	16	2.3	0.4	1.7
Syenite	15	59.8	17.3	3.6	1.6	1.2	3.8	5	5.1
Quartz syenite	16	66.2	16.2	2	0.2	0.8	1.3	6.5	5.8
Altered syenitea	17	50	9.9	3.5	5	11.9	8.3	2.4	5
Monzonite	18	57.4	18.5	3.7	2.1	1.7	6.8	4.5	3.7
Monzonite	19	59.8	15.8	3.8	3.3	2.2	3.9	3	4.4
Diabase	20	52.2	18.2	3.3	4.4	4.7	6.5	4.6	1.9
