  id	cod.reg	cod.pro	prov	reg	area	P4	P3	P2	P1	AA	long	lat
1	4	21	Bolzano	Trentino-Alto Adige	7,398	143	78	63	9	0	11.33	46.50
2	5	25	Belluno	Veneto	3,610	28	56	24	21	219	12.22	46.13
3	6	30	Udine	Friuli Venezia Giulia	4,969	118	30	9	4	7	13.23	46.07
4	3	14	Sondrio	Lombardia	3,196	204	261	220	0	0	9.88	46.18
5	4	22	Trento	Trentino-Alto Adige	6,207	0	1,279	1,536	1,213	0	11.13	46.07
6	1	3	Novara	Piemonte	1,340	2	1	3	0	0	8.63	45.45
7	6	93	Pordenone	Friuli Venezia Giulia	2,275	36	6	2	4	0	12.65	45.95
8	3	17	Brescia	Lombardia	4,785	233	163	143	1	0	10.20	44.53
9	3	13	Como	Lombardia	1,279	41	62	48	0	0	9.08	45.80
10	3	12	Varese	Lombardia	1,198	17	7	23	0	0	8.82	45.83
11	5	26	Treviso	Veneto	2,480	1	1	0	3	5	12.25	45.67
12	3	16	Bergamo	Lombardia	2,755	251	95	51	0	0	9.67	45.70
13	6	31	Gorizia	Friuli Venezia Giulia	475	0	1	0	0	0	13.63	45.95
14	5	24	Vicenza	Veneto	2,722	9	10	5	4	31	11.55	45.55
15	2	7	Aosta	Valle D'Aosta	3,261	1,451	1,220	424	0	0	7.32	45.73
16	1	2	Vercelli	Piemonte	2,082	27	17	13	0	0	8.42	45.33
17	5	27	Venezia	Veneto	2,473	0	0	0	0	0	12.35	45.43
18	5	23	Verona	Veneto	3,096	14	4	2	1	0	11.00	45.45
19	6	32	Trieste	Friuli Venezia Giulia	213	1	0	0	0	0	13.77	45.65
20	3	15	Milano	Lombardia	1,575	0	0	0	0	0	9.18	45.47
21	6	30	Udine	Friuli Venezia Giulia	4,969	118	30	9	4	7	13.23	46.07
22	6	31	Gorizia	Friuli Venezia Giulia	475	0	1	0	0	0	13.63	45.95
23	5	28	Padova	Veneto	2,144	0	2	3	1	6	11.88	45.40
24	10	55	Terni	Umbria	2,127	4	131	97	19	0	12.67	42.57
25	3	19	Cremona	Lombardia	1,770	0	0	0	0	0	10.03	45.13
26	5	27	Venezia	Veneto	2,473	0	0	0	0	0	12.35	45.43
27	5	27	Venezia	Veneto	2,473	0	0	0	0	0	12.35	45.43
28	3	20	Mantova	Lombardia	2,341	0	0	0	0	0	10.78	45.15
29	3	18	Pavia	Lombardia	2,969	62	93	40	0	0	9.17	45.18
30	5	27	Venezia	Veneto	2,473	0	0	0	0	0	12.35	45.43
31	5	27	Venezia	Veneto	2,473	0	0	0	0	0	12.35	45.43
32	1	6	Alessandria	Piemonte	3,559	95	134	0	0	0	8.62	44.92
33	5	29	Rovigo	Veneto	1,820	0	0	0	0	0	11.80	45.07
34	8	33	Piacenza	Emilia-Romagna	2,586	100	354	5	0	0	9.68	45.05
35	1	5	Asti	Piemonte	1,510	34	56	2	0	0	8.20	44.88
36	8	34	Parma	Emilia-Romagna	3,447	215	398	105	0	0	10.35	44.80
37	8	35	Reggio nell'Emilia	Emilia-Romagna	2,291	135	181	3	0	0	10.63	44.70
38	8	38	Ferrara	Emilia-Romagna	2,627	0	0	0	0	0	11.63	44.83
39	8	36	Modena	Emilia-Romagna	2,688	87	276	50	4	13	10.92	44.65
40	1	4	Cuneo	Piemonte	6,895	219	273	34	0	0	7.55	44.40
41	8	37	Bologna	Emilia-Romagna	3,702	34	447	21	87	599	11.35	44.50
42	7	10	Genova	Liguria	1,834	56	400	427	218	2	8.92	44.42
43	8	39	Ravenna	Emilia-Romagna	1,859	28	93	7	4	51	12.20	44.42
44	7	9	Savona	Liguria	1,546	12	100	317	309	0	8.47	44.32
45	9	45	Massa	Toscana	1,155	34	65	181	1	0	10.08	44.33
