Depth, m	% Clay (PSC)	% Clay (PES)	% Clay (AP)	% Silt (PSC)	% Silt (PES)	% Silt (AP)	% Sand
4	24.7	55	51.5	65.1	34.8	38.3	10.2
10	23.2	53.1	57.8	71.7	41.8	37.1	5.1
22	23.3	58.9	55.4	68.2	32.5	36.1	8.5
30	8.4	11.1	6.7	68	65.3	69.7	23.6
40	26	63.7	61.4	70.6	32.9	35.2	3.4
60	22	50.4	53	67.8	39.4	36.8	10.2
70	29.1	54.8	59.1	66.4	40.7	36.3	4.5
80	22.5	60.1	58.5	75.7	38.1	39.7	1.8
90	19.3	43.8	39.4	70.5	45.9	50.4	10.2
95	28.7	56.8	61.6	62.7	34.6	29.8	8.6
100	23.8	58.5	56.4	67.8	33.1	35.2	8.4
110	26.8	63	55.8	69.2	32.9	40.2	4
120	18.9	58.9	54.6	78.4	38.4	42.7	2.7
140	22	55.7	54.4	73.7	40	41.3	4.3
150	21.3	60.5	57.7	73.4	34.2	37	5.3
155	17.2	54.7	50.9	67	29.5	33.3	15.8
157	24.3	48.7	45.7	54.3	29.9	32.9	21.4
170	23.7	45.4	46	56.7	35	34.4	19.6
180	26.7	54.3	53.2	67.3	39.7	40.8	6
190	20.2	47.3	51.5	76.4	49.3	45.1	3.4
198	29.5	59.2	55.5	64.4	34.7	38.4	6.1
210	19	54.3	51.4	78.7	43.4	46.3	2.3
220	21.5	57.7	56.1	66.5	30.3	31.9	12
230	23.1	56.4	51.5	61.2	27.9	32.8	15.7
240	29.5	51.3	50.6	56.1	34.3	35	14.4
250	23.4	54.8	55.1	72.3	40.9	40.6	4.3
260	28	55.5	59.2	63.9	36.4	32.7	8.1
270	23.6	55.5	54.7	70.8	38.9	39.7	5.6
280	29.5	56.6	56.4	65.7	38.6	38.8	4.8
288	31.1	67.2	63.5	63.4	27.3	31	5.5
300	27.2	58.5	59.2	70.2	38.9	38.2	2.6
310	27.3	64.8	63.2	70.4	32.8	34.5	2.3
320	24.9	58	57.3	70.9	37.8	38.5	4.2
330	26.7	60.6	62.2	70.7	36.8	35.2	2.6
340	25.9	60	57.9	70.1	36	38.1	4
350	23.9	59.8	57.8	70.1	34.2	36.2	6
360	26.6	61.8	64.5	72.1	36.9	34.2	1.3
370	24.3	56.3	60	71.3	39.3	35.6	4.4
380	33.6	63	59.9	61.3	31.9	35	5.1
390	30.5	64.5	64.1	68.2	34.2	34.6	1.3
400	23.6	62.6	59.6	74.4	35.2	38.2	2.2
415	30.3	56.6	60	61.6	35.3	31.9	8.1
420	20	60.1	62.1	77.9	37.8	35.8	2.1
430	24.5	55.3	60.8	71.7	40.9	35.4	3.8
440	27.7	52.8	52.3	56.5	31.4	31.9	15.8
446	22	53.6	53.7	61.2	29.6	29.5	16.8
450	27.7	67.1	62.2	66.5	27.1	31	5.8
460	27.5	62.7	62.3	70.9	35.7	36.1	1.6
465	27.5	56.7	58.8	69.3	40.1	38	3.2
470	26.1	54.5	58.4	70.8	42.4	38.5	3.1
478	27.3	61.3	59	70.2	36.2	38.5	2.5
