Y=basin magnitude	X1=outlet elevation	X2=relief	X3=area	X4=stream length	X5=drainage density	X6=shape
14	720	570	7	154	2200	61
6	670	610	3	80	2667	62
5	860	550	11	84	763	62
7	870	610	11	122	1110	63
11	730	570	14	185	1321	52
14	690	590	12	200	1667	50
12	880	640	11	170	1545	41
18	760	690	28	340	1215	57
6	820	600	5	100	2000	41
5	720	480	3	80	2667	60
17	670	670	19	290	1526	51
5	660	600	5	90	1800	53
22	830	660	18	260	1444	57
7	780	620	17	111	652	57
15	750	740	15	184	1227	67
17	770	630	21	227	1080	59
5	750	570	4	60	1500	55
18	750	580	20	259	1295	39
14	740	760	9	62	689	64
21	750	740	6	95	1583	53
22	750	760	11	105	954	64
23	740	770	32	350	1094	55
28	940	510	21	232	1105	52
42	700	600	23	266	1156	34
22	810	580	44	390	886	29
10	920	500	13	142	1092	65
11	920	490	12	145	1208	72
12	790	605	33	253	766	59
13	860	550	23	241	1048	76
31	860	630	87	702	807	55
18	880	520	37	288	778	51
13	780	460	17	162	953	40
4	720	440	8	67	838	60
5	780	300	3	52	1733	57
9	700	460	10	121	1210	50
13	680	520	26	220	846	41
10	820	520	8	123	1537	51
13	710	520	24	238	992	41
13	800	440	19	231	1216	51
11	700	510	16	178	1113	76
12	675	570	18	168	933	42
4	740	510	8	65	812	49
17	740	520	31	334	1078	67
9	770	600	21	184	876	47
8	820	520	11	136	1237	56
13	850	490	22	233	1059	74
22	820	629	34	410	1206	39
10	820	510	11	149	1354	60
19	680	640	46	348	757	55
27	660	789	55	382	695	38
