Easting	Northing	ID	Depth	Type
32000	87015	W1	-7888	1
38600	87030	W2	-8020	1
44000	86400	W3	-7943	1
48200	87060	W4	-8003	1
30650	82200	W5	-7918	1
35030	80901	W6	-7905	1
39476	80970	W7	-7900	1
44198	80910	W8	-7998	1
33530	76230	W9	-7879	1
38024	76170	W10	-7817	1
42440	76650	W11	-8018	1
46955	76620	W12	-7890	1
30350	71700	W13	-7903	1
35195	71745	W14	-7815	1
39650	71760	W15	-7966	1
44180	71766	W16	-7913	1
48800	70215	W17	-7818	1
29240	81960	A610	-7920	2
30800	82800	A612	.	2
32270	83760	A614	-7923	2
33770	84720	A616	-7918	2
35240	85590	A618	-7927	2
36740	86520	A620	-7969	2
38210	87480	A622	.	2
39680	88350	A624	-8043	2
41240	89250	A626	-8059	2
29840	67560	B068	-7932	2
31280	66600	B070	-7883	2
32720	65610	B072	-7842	2
34190	64650	B074	-7842	2
35720	63720	B076	-7874	2
37100	62700	B078	-7871	2
38600	61800	B080	-7861	2
40100	60840	B082	-7875	2
30200	62280	C76	-7678	2
31730	63000	C78	-7740	2
33500	63720	C80	-7799	2
36680	65160	C84	-7902	2
38300	65790	C86	-7943	2
39830	66540	C88	-7962	2
41420	67200	C90	-7967	2
43010	67920	C92	-7931	2
44690	68580	C94	-7876	2
46250	69300	C96	-7854	2
48020	70020	C98	.	2
49400	70680	C100	.	2
30200	76500	D546	-7849	2
31640	75420	D548	-7880	2
33080	74280	D550	-7869	2
34520	73260	D552	-7820	2
35900	72120	D554	.	2
37280	71070	D556	-7892	2
38660	70020	D558	-7965	2
40040	69000	D560	-8008	2
41450	67890	D562	-7986	2
42800	66900	D564	-7922	2
44240	65730	D566	-7852	2
45500	64710	D568	-7773	2
46940	63600	D570	-7693	2
48200	62520	D572	-7632	2
49610	61410	D574	-7567	2
33800	89220	E003	-7896	2
34880	87720	E005	-7915	2
35840	86280	E007	-7943	2
37040	84720	EOIO	-7948	2
37940	83160	E012	-7928	2
38840	81900	E014	.	2
39800	80400	E016	.	2
40784	79260	E018	-7923	2
41780	76800	E020	.	2
42740	75120	E022	-8004	2
43730	74610	E024	-8001	2
44660	73200	E026	-7927	2
45680	71700	E028	-7877	2
46760	70200	E030	-7857	2
47600	68790	E032	-7824	2
48500	67380	E034	-7768	2
49520	65940	E036	-7696	2
42320	89100	F192	-8032	2
43700	88080	F194	-7971	2
45080	87000	F196	-7946	2
46520	86010	F198	-7973	2
47900	85050	F200	-8003	2
49400	84000	F202	-8032	2
