ID	East-West	North-South	Depth, ft
1	3.70045	54.95948	-4947
2	4.51197	55.94062	-4910
3	19.15821	54.51911	-4148
4	18.69117	55.02671	-4174
5	16.29151	57.13354	-4179
6	17.37037	59.33444	-4014
7	12.14015	59.53669	-4411
8	13.27833	62.4611	-4180
9	15.51319	62.61941	-4040
10	19.73414	61.94961	-3760
11	25.12501	53.25984	-3933
12	27.10987	52.93353	-3837
13	31.18312	55.29992	-3537
14	28.07594	59.15095	-3559
15	26.82154	58.44996	-3662
16	26.05104	58.21585	-3721
17	36.26637	57.6016	-3230
18	38.78273	57.77232	-3197
19	43.16822	54.62213	-3190
20	40.81935	59.22731	-3089
21	37.5962	60.05418	-3104
22	37.10011	60.05938	-3103
23	20.53907	63.47488	-3696
24	21.57203	64.42657	-3594
25	22.58229	64.38008	-3569
26	22.35963	65.37796	-3457
27	19.61598	65.46412	-3713
28	26.39234	66.96102	-3297
29	32.60841	66.77209	-2947
30	32.49855	64.26124	-3082
31	39.02589	50.3728	-3538
32	40.7649	50.57241	-3421
33	47.06324	51.6145	-3156
34	54.8047	51.17034	-2928
35	56.57838	52.38601	-2831
36	56.14064	53.37776	-2811
37	54.67506	54.38587	-2842
38	55.68946	55.34957	-2774
39	56.22657	56.36047	-2717
40	54.19361	56.41748	-2780
41	62.40846	54.95188	-2500
42	68.60987	52.58093	-2370
43	69.21852	58.05694	-2154
44	61.24513	57.98678	-2490
45	68.33888	63.51898	-2073
46	64.87232	63.56813	-2191
47	61.88868	64.15599	-2267
48	60.35353	62.94644	-2364
49	61.22779	66.91061	-2206
50	59.55079	69.22761	-2209
51	54.40504	63.89529	-2522
52	51.36671	61.2256	-2706
53	52.58204	59.71464	-2687
54	51.26295	58.00373	-2814
55	50.99	56.28199	-2881
56	48.28541	59.06953	-2888
57	62.63038	72.82398	-1990
58	55.41065	72.25279	-2225
59	55.1255	71.02116	-2354
60	47.7295	72.46392	-2429
61	44.72462	71.55162	-2567
62	37.59327	66.80226	-2864
63	33.50025	70.67608	-2819
64	29.5254	70.78475	-2954
65	28.83644	72.03884	-3010
66	27.51783	70.13059	-3153
67	26.64161	72.90864	-3100
68	25.89991	73.15284	-3123
69	26.69972	74.15823	-3054
70	27.91896	74.11203	-3000
71	28.67237	74.08308	-2962
72	23.69337	74.03468	-3219
73	20.70558	73.37339	-3311
74	16.81935	69.56072	-3696
75	15.65699	71.59747	-3591
76	14.71778	72.36128	-3561
77	14.74024	73.37149	-3492
78	14.78053	74.66264	-3500
79	11.11476	76.00881	-3543
80	13.68676	83.87805	-3171
81	19.0066	79.18095	-3166
82	7.52296	84.88607	-3308
83	6.26197	84.66957	-3353
84	5.55543	85.49351	-3318
85	5.10035	86.24006	-3307
86	3.55397	85.04837	-3428
87	4.13648	87.27854	-3302
88	3.47193	88.35391	-3283
89	3.4712	88.82014	-3274
90	1.28321	88.91873	-3312
91	8.20509	88.83212	-3143
92	9.32569	91.29028	-3019
93	3.09107	96.09963	-2985
94	10.11207	97.76466	-2718
95	12.07228	98.16741	-2627
96	10.52125	95.73861	-2762
97	10.43434	93.76628	-2848
98	11.36256	92.21919	-2870
99	12.82203	91.67131	-2840
100	11.31617	91.23886	-2921
101	13.63941	88.11573	-2954
102	17.13624	87.99476	-2845
103	19.011	84.94291	-2929
104	20.55738	86.12841	-2857
105	21.45655	84.30656	-2827
106	23.1963	84.03375	-2818
107	23.40675	83.03004	-2842
108	23.12135	82.04356	-2925
109	24.36427	82.24217	-2863
110	25.3567	81.92059	-2830
111	25.32789	80.97021	-2862
112	25.16969	83.19976	-2786
113	24.31861	80.26953	-2937
114	26.06446	80.1762	-2853
115	25.27076	79.24891	-2938
116	25.20045	77.97558	-2962
117	28.22462	78.12908	-2869
118	27.17994	77.19526	-2926
119	28.13746	76.12648	-2932
120	28.90333	75.85859	-2896
121	28.09107	75.1341	-2966
122	29.10133	75.11755	-2920
123	35.78443	79.35227	-2505
124	38.28785	79.76777	-2405
125	38.84718	81.74108	-2326
126	36.91969	83.78266	-2311
127	33.42311	83.87371	-2475
128	29.06324	81.33366	-2721
129	27.44606	84.11112	-2698
130	27.13063	87.6732	-2611
131	26.90113	89.35835	-2500
132	25.46583	89.93035	-2504
133	24.74732	90.95164	-2504
134	26.96485	90.87062	-2449
135	25.7859	92.13027	-2419
136	25.82032	93.16459	-2373
137	24.87379	94.68759	-2360
138	23.86427	94.22003	-2461
139	22.87232	94.27856	-2467
140	21.01539	97.3184	-2357
141	21.93238	95.26347	-2422
142	20.42677	94.87298	-2465
143	23.73805	90.2331	-2570
144	22.75636	91.27777	-2569
145	21.55958	92.29225	-2565
146	22.51905	85.30609	-2791
147	22.78761	85.80259	-2780
148	23.55787	86.25779	-2743
149	23.36549	87.27392	-2715
150	20.60353	87.38381	-2778
151	20.13014	88.37551	-2752
152	20.42848	88.88372	-2733
153	20.91285	88.60343	-2728
154	21.1753	89.11782	-2704
155	20.68482	89.36817	-2703
156	19.94337	89.64228	-2706
157	19.45362	89.40852	-2733
158	18.74147	89.93952	-2676
159	19.9253	89.65429	-2688
160	20.70191	90.07958	-2676
161	21.25123	90.34918	-2660
162	20.49781	90.85639	-2639
163	19.9961	90.60475	-2677
164	19.25416	90.93247	-2670
165	18.75782	91.18867	-2670
166	18.76905	91.72096	-2650
167	19.55226	91.64428	-2637
168	28.51002	97.72869	-2136
169	31.16334	98.38369	-2053
170	34.89503	96.76252	-2010
171	28.84352	94.01708	-2273
172	36.72999	92.22218	-2118
173	40.79689	94.54661	-1949
174	44.14552	98.38265	-1723
175	55.16139	98.54032	-1435
176	53.74293	95.11938	-1599
177	50.00148	94.98904	-1689
178	48.70069	93.27195	-1750
179	48.40382	92.03411	-1804
180	46.08766	89.34748	-1982
181	46.05397	87.90093	-2016
182	41.52345	87.32704	-2109
183	42.49903	86.78472	-2087
