DEPTH	RT (Ohm-m)	sqrt(1/RT)	Rhob (g/cc)
9720.0	235.85	0.065115	2.6700
9720.5	242.46	0.064221	2.6500
9721.0	240.20	0.064523	2.6200
9721.5	214.97	0.068204	2.6100
9722.0	178.69	0.074808	2.6000
9722.5	143.15	0.083580	2.6000
9723.0	180.23	0.074488	2.6000
9723.5	178.17	0.074917	2.6100
9724.0	195.91	0.071445	2.6300
9724.5	159.87	0.079089	2.6400
9725.0	147.10	0.082451	2.6300
9725.5	109.98	0.095355	2.6200
9726.0	116.74	0.092553	2.6100
9726.5	167.36	0.077299	2.6000
9727.0	225.88	0.066537	2.6100
9727.5	211.70	0.068729	2.6100
9728.0	205.55	0.069750	2.6100
9728.5	139.48	0.084673	2.6200
9729.0	129.16	0.087991	2.6200
9729.5	84.440	0.10882	2.6200
9730.0	71.500	0.11826	2.6200
9730.5	75.560	0.11504	2.6200
9731.0	61.730	0.12728	2.6300
9731.5	59.040	0.13014	2.6300
9732.0	78.390	0.11295	2.6500
9732.5	95.430	0.10237	2.6500
9733.0	137.69	0.085221	2.6600
9733.5	158.14	0.079521	2.6600
9734.0	158.14	0.079521	2.6400
9734.5	162.55	0.078434	2.6400
9735.0	176.62	0.075245	2.6400
9735.5	184.96	0.073529	2.6500
9736.0	170.19	0.076654	2.6500
9736.5	110.23	0.095247	2.6600
9737.0	52.930	0.13745	2.6500
9737.5	53.400	0.13685	2.6300
9738.0	66.310	0.12280	2.6100
9738.5	71.940	0.11790	2.5800
9739.0	80.020	0.11179	2.5400
9739.5	92.790	0.10381	2.5300
9740.0	110.61	0.095083	2.5400
9740.5	169.41	0.076830	2.6200
9741.0	179.27	0.074687	2.6300
9741.5	134.95	0.086082	2.6200
9742.0	81.940	0.11047	2.6200
9742.5	73.330	0.11678	2.6200
9743.0	66.240	0.12287	2.6100
9743.5	67.670	0.12156	2.6000
9744.0	74.620	0.11576	2.6000
9744.5	73.810	0.11640	2.6000
9745.0	73.630	0.11654	2.6100
9745.5	75.430	0.11514	2.6300
9746.0	84.160	0.10901	2.6400
9746.5	99.120	0.10044	2.6500
9747.0	124.48	0.089629	2.6500
9747.5	189.68	0.072609	2.6500
9748.0	278.50	0.059922	2.6500
9748.5	204.25	0.069971	2.6500
9749.0	243.41	0.064096	2.6400
9749.5	362.20	0.052544	2.6400
9750.0	379.29	0.051347	2.6300
9750.5	347.48	0.053646	2.6300
9751.0	345.94	0.053765	2.6300
9751.5	345.47	0.053802	2.6200
9752.0	292.65	0.058456	2.6200
9752.5	311.53	0.056657	2.6200
9753.0	294.31	0.058290	2.6300
9753.5	283.61	0.059380	2.6400
9754.0	295.74	0.058149	2.6400
9754.5	298.26	0.057903	2.6400
9755.0	327.67	0.055244	2.6400
9755.5	325.10	0.055461	2.6400
9756.0	369.56	0.052018	2.6400
9756.5	377.77	0.051450	2.6300
9757.0	405.88	0.049637	2.6300
9757.5	425.35	0.048487	2.6300
9758.0	488.68	0.045236	2.6400
9758.5	558.21	0.042325	2.6400
9759.0	445.53	0.047376	2.6500
9759.5	296.80	0.058045	2.6500
9760.0	239.06	0.064677	2.6500
9760.5	213.15	0.068495	2.6500
9761.0	277.03	0.060081	2.6500
9761.5	282.38	0.059509	2.6500
9762.0	280.93	0.059662	2.6600
9762.5	264.39	0.061500	2.6400
9763.0	194.68	0.071670	2.6200
9763.5	156.96	0.079819	2.6000
9764.0	112.04	0.094474	2.5200
9764.5	75.980	0.11472	2.5100
9765.0	57.930	0.13139	2.5100
9765.5	65.300	0.12375	2.5300
9766.0	78.400	0.11294	2.6000
9766.5	103.10	0.098485	2.6200
9767.0	123.26	0.090072	2.6300
9767.5	187.56	0.073018	2.6300
9768.0	211.86	0.068703	2.6400
9768.5	219.98	0.067423	2.6400
9769.0	231.11	0.065780	2.6400
9769.5	239.77	0.064581	2.6400
9770.0	244.58	0.063942	2.6400
9770.5	245.88	0.063773	2.6300
9771.0	240.66	0.064461	2.6300
9771.5	243.68	0.064060	2.6300
9772.0	237.82	0.064845	2.6300
9772.5	227.54	0.066294	2.6300
9773.0	256.58	0.062429	2.6300
9773.5	183.66	0.073789	2.6300
9774.0	203.29	0.070136	2.6200
9774.5	231.33	0.065748	2.6200
9775.0	249.06	0.063365	2.6200
9775.5	433.79	0.048013	2.6300
9776.0	509.17	0.044317	2.6300
9776.5	278.20	0.059954	2.6500
9777.0	258.34	0.062216	2.6500
9777.5	479.82	0.045652	2.6500
9778.0	307.56	0.057021	2.6600
9778.5	267.35	0.061159	2.6500
9779.0	220.71	0.067311	2.6500
9779.5	201.21	0.070498	2.6400
9780.0	130.33	0.087595	2.6300
9780.5	115.57	0.093020	2.6200
9781.0	55.170	0.13463	2.6100
9781.5	75.550	0.11505	2.6000
9782.0	61.650	0.12736	2.5900
9782.5	80.590	0.11139	2.6000
9783.0	110.73	0.095031	2.6100
9783.5	112.68	0.094206	2.6400
9784.0	155.23	0.080262	2.6500
9784.5	175.02	0.075589	2.6500
9785.0	129.02	0.088038	2.6500
9785.5	107.56	0.096422	2.6400
9786.0	96.870	0.10160	2.6400
9786.5	69.760	0.11973	2.6300
9787.0	71.450	0.11830	2.6200
9787.5	71.430	0.11832	2.6000
9788.0	103.54	0.098276	2.5800
9788.5	135.30	0.085971	2.5700
9789.0	130.42	0.087564	2.5700
9789.5	124.96	0.089457	2.6100
9790.0	112.43	0.094310	2.6200
9790.5	94.380	0.10293	2.6100
9791.0	87.730	0.10676	2.6100
9791.5	87.560	0.10687	2.6000
9792.0	91.740	0.10440	2.6000
9792.5	100.99	0.099509	2.5900
9793.0	113.30	0.093947	2.5700
9793.5	144.23	0.083267	2.5500
9794.0	150.45	0.081527	2.5500
9794.5	142.47	0.083780	2.5500
9795.0	105.20	0.097497	2.5500
9795.5	99.240	0.10038	2.5400
9796.0	93.340	0.10351	2.5400
9796.5	94.230	0.10302	2.5300
9797.0	97.670	0.10119	2.5500
9797.5	119.21	0.091589	2.5600
9798.0	136.83	0.085489	2.5800
9798.5	132.89	0.086747	2.6000
9799.0	114.12	0.093609	2.6100
9799.5	98.600	0.10071	2.6100
9800.0	95.390	0.10239	2.6100
9800.5	91.550	0.10451	2.6100
9801.0	90.760	0.10497	2.6100
9801.5	89.830	0.10551	2.6200
9802.0	95.430	0.10237	2.6200
9802.5	100.15	0.099925	2.6400
9803.0	114.63	0.093401	2.6500
9803.5	131.29	0.087274	2.6600
9804.0	176.33	0.075307	2.6700
9804.5	233.40	0.065456	2.6700
9805.0	244.99	0.063889	2.6600
9805.5	227.31	0.066327	2.6400
9806.0	216.55	0.067955	2.6300
9806.5	242.17	0.064260	2.6200
9807.0	243.13	0.064133	2.6300
9807.5	166.46	0.077508	2.6300
9808.0	139.98	0.084521	2.6300
9808.5	129.66	0.087821	2.6200
9809.0	129.19	0.087980	2.6200
9809.5	123.21	0.090090	2.6100
9810.0	113.54	0.093848	2.6000
9810.5	110.43	0.095160	2.6100
9811.0	109.99	0.095351	2.6200
9811.5	108.16	0.096154	2.6300
9812.0	101.15	0.099430	2.6200
9812.5	82.020	0.11042	2.6000
9813.0	69.650	0.11982	2.5900
9813.5	58.990	0.13020	2.5600
9814.0	53.330	0.13693	2.5500
9814.5	46.040	0.14738	2.5400
9815.0	44.810	0.14939	2.5600
9815.5	45.560	0.14815	2.5600
9816.0	47.970	0.14438	2.5600
9816.5	45.570	0.14814	2.5400
9817.0	47.160	0.14562	2.5400
9817.5	52.200	0.13841	2.5400
9818.0	54.820	0.13506	2.5500
9818.5	40.040	0.15803	2.5800
9819.0	39.670	0.15877	2.6000
9819.5	37.870	0.16250	2.6000
9820.0	45.660	0.14799	2.5900
9820.5	45.300	0.14858	2.5600
9821.0	49.830	0.14166	2.5600
9821.5	83.590	0.10938	2.5700
9822.0	124.41	0.089655	2.5800
9822.5	121.66	0.090662	2.5800
9823.0	70.280	0.11928	2.5800
9823.5	119.01	0.091666	2.5700
9824.0	66.480	0.12265	2.5500
9824.5	60.600	0.12846	2.5500
9825.0	79.910	0.11187	2.5500
9825.5	64.960	0.12407	2.5500
9826.0	50.850	0.14023	2.5500
9826.5	49.920	0.14153	2.5500
9827.0	70.000	0.11952	2.5500
9827.5	80.100	0.11173	2.6000
9828.0	119.63	0.091428	2.6200
9828.5	219.72	0.067463	2.6400
9829.0	228.35	0.066176	2.6500
9829.5	251.04	0.063114	2.6500
9830.0	255.90	0.062512	2.6400
9830.5	124.44	0.089644	2.6400
9831.0	255.85	0.062518	2.6300
9831.5	135.20	0.086003	2.6200
9832.0	141.58	0.084043	2.6300
9832.5	156.71	0.079882	2.6400
9833.0	161.11	0.078784	2.6400
9833.5	310.48	0.056752	2.6300
9834.0	222.17	0.067090	2.6200
9834.5	224.91	0.066680	2.6200
9835.0	226.52	0.066443	2.6200
9835.5	155.34	0.080234	2.6100
9836.0	146.85	0.082521	2.6000
9836.5	60.330	0.12875	2.5900
9837.0	50.530	0.14068	2.5800
9837.5	42.330	0.15370	2.5600
