Gamma	Sonic	Res	Perm	Por	SO	SW
3.1	64.0	28.8	0.1	3.9	28.2	53.8
3.4	69.0	25.1	0.4	7.0	17.2	55.6
3.4	65.0	38.0	0.1	6.1	24.6	54.2
2.8	62.0	15.1	0.4	6.2	19.3	63.0
2.5	56.0	58.9	0.1	5.9	15.3	73.0
2.3	56.0	61.7	0.3	4.7	14.9	61.6
2.3	54.0	129.0	0.2	6.2	29.0	37.1
2.6	60.0	110.0	1.6	12.7	26.7	34.6
6.0	97.0	5.2	0.0	3.0	0.0	96.6
5.2	67.0	18.2	18.0	18.9	26.4	32.3
3.9	82.0	26.9	6.5	18.4	19.0	48.3
4.7	80.0	12.9	2.5	17.9	16.8	48.0
5.1	77.0	12.0	0.1	12.3	11.7	72.6
5.0	79.0	11.0	0.0	10.4	0.0	91.4
6.1	81.0	70.8	0.0	5.2	0.0	97.8
