Distance, meters	Depth, meters below sea level
0.0000	1885.4
300.00	1877.7
600.00	1866.0
900.00	1847.6
1200.0	1835.9
1500.0	1819.4
1800.0	1807.8
2100.0	1800.0
2400.0	1756.3
2700.0	1739.8
3000.0	1732.0
3300.0	1715.5
3600.0	1686.4
3900.0	1678.6
4200.0	1661.2
4500.0	1656.3
4800.0	1636.9
5100.0	1725.2
5400.0	1773.8
5700.0	1807.8
6000.0	1836.9
6300.0	1854.4
6600.0	1866.0
6900.0	1866.0
7200.0	1873.8
7500.0	1886.4
7800.0	1883.5
8100.0	1883.5
8400.0	1875.7
8700.0	1858.3
9000.0	1833.0
9300.0	1797.1
9600.0	1778.6
9900.0	1781.6
10200	1771.8
10500	1767.0
10800	1730.1
11100	1707.8
11400	1697.1
11700	1675.7
12000	1694.2
12300	1686.4
12600	1695.1
12900	1692.2
13200	1673.8
13500	1657.3
13800	1662.1
14100	1695.1
14400	1729.1
14700	1763.1
15000	1753.4
15300	1748.5
15600	1737.9
15900	1731.1
16200	1717.5
16500	1705.8
16800	1684.5
17100	1682.5
17400	1627.2
17700	1625.2
18000	1614.6
18300	1607.8
18600	1613.6
18900	1593.2
19200	1592.2
19500	1585.4
19800	1589.3
20100	1598.1
20400	1589.3
20700	1561.2
21000	1592.2
