Site	Sample	X-Coord	Y-Coord	Li	Ti	V	Cr	Mn	Ni	Ge	As	Se	Rb	Sr	Mo	Sb	Ba	W	U	Ga	Ru	Tl
1	1	5.86	19.82	93	1.15	10.3	1.42	0.15	0.12	0.32	13.9	1.78	22.5	148	10.5	0.21	5.15	0.7	8.5	3.1	1.5	108
1	2	5.86	19.82	103	1.87	6.96	0.67	0.09	0.18	0.26	15.1	0.92	23.1	158	9	0.18	5.48	0.76	8.9	3.5	1.5	98.2
1	3	5.86	19.82	104	1.84	7.07	0.67	0.09	0.18	0.27	15.2	0.89	23.6	160	9	0.19	5.41	0.76	8.9	5.5	1.4	85
2	1	14.56	43.3	166	0.47	2.67	0.8	0.34	0.1	1.55	6.4	0.57	18.1	163	12.2	0.19	9.8	0.8	15.4	2.7	3.3	74
2	2	14.56	43.3	179	0.34	2.16	0.37	0.49	0.09	2.36	6.4	0.64	18.4	167	12.8	0.17	10.2	0.81	15.5	2.5	3	136
3	1	61.63	85.69	52	2.78	2.2	0.93	26.6	4.76	0.51	5.8	0.45	11.4	23.7	3.4	0.18	2.89	1.27	2.98	227	3.1	11
3	2	61.63	85.69	51	3.04	2	0.87	26.1	4.33	0.5	5.5	0.51	11.1	23	3.3	0.18	2.85	1.26	3.08	216	2	10.7
4	1	76.75	44.22	63	0.16	4.93	2.43	17	0.67	0.19	7.8	0.57	3.7	6.7	3	0.34	1.18	0.66	1.8	170	0	23.6
5	1	19.28	51.38	175	0.42	1.78	1.47	0.54	1.07	1.12	6.3	0.82	25.3	4.7	9.5	0.16	2.04	0.88	8.5	21	3	43.3
5	2	19.28	51.38	178	0.45	1.77	1.48	0.51	1.04	1.13	6.5	0.82	25.4	4.6	9.6	0.16	1.97	0.87	8.32	20	3.1	41.3
6	1	16.45	43.3	192	0.73	1.54	1.38	0.99	1.91	1.33	5.2	0.79	12.3	44.5	9.7	0.2	3.2	0.64	18.5	7.7	2	22.5
6	2	15.88	35.41	146	0.54	2.71	1.64	0.73	1.58	1.01	8.2	0.84	11.8	76.1	7.5	0.21	4.44	1.45	7.76	19	2.3	20.1
