Area	MMBOE	Log10(Area)	Log10(MMBOE)
293.00	0.50000	2.4669	-0.30103
734.00	4.6000	2.8657	0.66276
954.00	5.5000	2.9795	0.74036
1322.0	4.4000	3.1212	0.64345
1359.0	13.000	3.1332	1.1139
2092.0	10.700	3.3206	1.0294
2167.0	10.500	3.3359	1.0212
2607.0	9.2000	3.4161	0.96379
2671.0	31.800	3.4267	1.5024
2718.0	2.5000	3.4342	0.39794
2820.0	4.2000	3.4502	0.62325
2854.0	2.1000	3.4555	0.32222
2938.0	30.900	3.4681	1.4900
2975.0	4.6000	3.4735	0.66276
3011.0	2.7000	3.4787	0.43136
3011.0	9.5000	3.4787	0.97772
3048.0	4.7000	3.4840	0.67210
3185.0	9.2000	3.5031	0.96379
3195.0	33.900	3.5045	1.5302
3636.0	15.200	3.5606	1.1818
3691.0	9.8000	3.5671	0.99123
3856.0	22.500	3.5861	1.3522
3856.0	8.6000	3.5861	0.93450
3864.0	5.5000	3.5870	0.74036
4040.0	32.400	3.6064	1.5105
4113.0	24.500	3.6142	1.3892
4223.0	25.300	3.6256	1.4031
4334.0	18.900	3.6369	1.2765
4354.0	7.5000	3.6389	0.87506
4554.0	14.900	3.6584	1.1732
4554.0	98.900	3.6584	1.9952
4811.0	12.400	3.6822	1.0934
5285.0	33.400	3.7230	1.5237
5823.0	128.60	3.7651	2.1092
5876.0	9.5000	3.7691	0.97772
6285.0	5.8000	3.7983	0.76343
6387.0	4.0000	3.8053	0.60206
6758.0	32.500	3.8298	1.5119
7272.0	15.900	3.8617	1.2014
7456.0	30.700	3.8725	1.4871
8558.0	12.400	3.9324	1.0934
8998.0	100.90	3.9541	2.0039
9990.0	17.200	3.9996	1.2355
10100	27.100	4.0043	1.4330
10579	143.20	4.0244	2.1559
11569	22.000	4.0633	1.3424
11569	59.100	4.0633	1.7716
11753	27.500	4.0701	1.4393
13416	36.400	4.1276	1.5611
14765	14.800	4.1692	1.1703
15242	132.20	4.1830	2.1212
16234	21.200	4.2104	1.3263
16712	21.000	4.2230	1.3222
16895	22.700	4.2278	1.3560
19466	218.00	4.2893	2.3385
21874	40.700	4.3399	1.6096
25711	18.200	4.4101	1.2601
26629	45.700	4.4254	1.6599
