Interval, ft	Thickness, in
10.000	9.2000
20.000	7.1000
30.000	5.9000
40.000	3.7000
50.000	6.2000
60.000	4.1000
70.000	3.9000
80.000	5.0000
90.000	4.4000
100.00	6.8000
110.00	5.9000
120.00	6.1000
130.00	7.7000
140.00	7.0000
150.00	5.5000
160.00	9.8000
170.00	6.9000
180.00	5.2000
190.00	6.8000
200.00	8.5000
210.00	7.1000
220.00	10.400
230.00	6.7000
240.00	8.6000
250.00	6.4000
260.00	8.5000
270.00	8.9000
280.00	10.700
290.00	14.400
300.00	15.200
310.00	12.100
320.00	15.300
330.00	9.0000
340.00	11.200
350.00	8.9000
360.00	9.0000
370.00	6.5000
380.00	11.000
390.00	13.900
400.00	9.1000
410.00	11.200
420.00	17.300
430.00	15.800
440.00	11.100
450.00	11.800
460.00	18.900
470.00	9.6000
480.00	17.900
490.00	12.800
500.00	15.000
