Block	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
a	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0
b	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0
c	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0
d	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0
e	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0
f	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0
g	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1
h	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0
i	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0
j	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0
k	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0
l	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0
m	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
n	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0
o	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0
p	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0
q	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0
r	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0
s	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0
t	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0
u	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0
v	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0
w	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0
x	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0
y	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0
