Species	a	b	c	d
DH	58	129	26	16
DH	52	126	27	18
DH	50	122	28	22
DH	52	123	29	18
DH	60	138	33	17
DH	61	122	28	17
DH	54	132	30	17
DH	65	131	32	18
DH	55	130	32	17
DH	64	125	26	16
DH	56	124	28	16
MC	45	91	16	7.5
MC	46	93	17	6.5
MC	48	92	19	5
MC	46	91	19	6
MC	45	86	15	6.5
MC	51	93	19	7.5
MC	47	92	16	5
MC	48	89	18	6.5
MC	47	91	18	6
MC	50	91	17	7.2
MC	48	91	19	7.6
MC	49	93	18	7
MC	49	87	17	6.5
MC	49	91	19	7.7
MGL	78	165	35	18
MGL	77	165	37	19
MGL	65	148	30	20
MGL	74	163	31	15
MGL	65	169	31	16
MGL	70	176	34	23
MGL	69	161	28	13
MGL	67	178	31	14
MGL	65	174	34	18
MGL	64	168	28	13
MGL	68	166	32	15
OO	42	81	15	8
OO	48	83	18	8.6
OO	45	87	18	9
OO	48	83	17	8
OO	46	84	16	6.1
OO	51	87	21	7.9
OO	46	80	17	7
OO	50	90	18	8.1
OO	46	85	16	6.5
OO	48	85	15	7.2
OO	47	85	17	8
OO	49	83	18	7.7
OO	43	79	15	7.1
OO	47	87	19	7.5
OO	46	87	18	8
PM	37	88	17	3.9
PM	43	79	14	4
PM	43	84	19	4.2
PM	42	80	17	5.2
PM	39	83	12	4.5
PM	39	87	15	4.5
PM	40	86	18	4.5
PM	34	77	16	4.8
PM	35	82	15	4.6
PM	45	88	17	4.9
PM	33	80	15	3.9
PM	42	85	13	4
P	60	114	27	20
P	60	118	31	19
P	60	111	31	21
P	58	102	30	20
P	55	116	28	20
P	59	117	29	17
P	59	114	24	17
P	60	121	25	19
S	47	99	26	15
S	42	93	26	16
S	40	90	22	13
S	46	100	22	11
S	46	96	24	16
S	42	88	26	15
S	43	89	23	14
S	44	78	23	13
S	44	90	25	11
S	47	99	27	15
S	47	92	27	13
