Delta t	Porosity
63.81	6.78
66.57	9.3
68.13	8.52
68.28	10.93
69.87	10.25
70.51	10.37
71.61	10.17
72.2	10.12
72.65	10.14
72.17	8.62
72.66	11.04
72.27	10.96
71.6	10.93
71.06	10.95
69.97	11.05
70.94	11.71
71.64	11.84
73.32	11.76
73.86	11.84
74.81	11.81
75.64	12.6
73.78	12.67
75.06	13.41
74.42	13.43
72.06	13.35
69.9	13.51
72.8	14.34
72.93	15.08
74.53	15.13
75.09	15.11
77.87	15.31
78.46	15.22
80	15.24
81.04	15.24
83.82	16.93
81.08	17.64
79.48	17.62
76.02	16.88
77.29	17.82
76.69	18.63
79.05	18.54
82.31	20.05
83.51	20.29
84.45	19.62
