Well No.	Test No.	Depth	Porosity, %	Pressure, psi	Buildup Time (min.)
4	1	5767	17	1619	0.5
4	2	5768	18	1618	3.5
4	1	6055	15.5	2625	2
4	2	6055	15.5	2625	2.5
4	1	6063	16	2627	2
4	2	6064	16	2629	1
4	1	6465	15.5	2535	2
4	2	6165	14	2533	1.5
8	1	6135	15.5	2909	3
8	2	6135	15	2908	3.5
8	1	6276	17	2809	1
8	2	6276	17	2810	1
9	1	6520	14.5	3236	3.9
9	2	6520	14.5	3147	8.3
16	1	6551	14.5	1436	0.9
16	2	6551	14.5	1437	0.8
18	1	5785	15	2876	1
18	2	5785	15	2864	1.3
18	1	6100	16	3018	1.3
18	2	6100	16	3020	3.1
18	1	6276	8	3060	3
18	2	6276	8	2810	11.4
21	1	5980	13.5	2913	2
21	2	5980	13.5	2909	1.8
22	1	5967	14	2035	1.8
22	2	5968	14	2037	1.9
23	1	5995	13	3010	0.9
23	2	5997	13	2953	4.6
24	1	6104	12	892	4.6
24	2	6104	12	870	4
