Easting	Northing	Time, ms
21280	17960	4334
21470	18330	4110
21650	18700	3790
22010	19440	3062
8010	28590	5926
22200	19800	2978
8400	28410	5763
9140	28060	5478
8770	28230	5633
22750	20890	2849
11490	5730	5423
11660	6100	5464
11780	6470	5504
10310	27550	5074
11940	6850	5438
10700	27350	5015
23480	22350	2824
12080	7250	5365
11070	27190	4904
23660	22720	3068
12240	7600	5366
11450	27020	4804
23840	23080	3192
19130	5820	5999
12400	7980	5366
11840	26830	4741
24020	23440	3368
12540	8360	5431
19290	6170	6039
12210	26650	4711
24220	23820	3595
12700	8740	5508
19460	6510	6086
12580	26480	4600
24380	24190	3773
12850	9100	5622
19660	6840	6186
12950	26280	4575
24560	24570	3931
13010	9500	5737
19870	7190	6269
13340	26100	4502
24750	24940	4126
13180	9860	5790
20070	7530	6332
13700	25950	4418
24940	25310	4411
13330	10220	5844
20290	7880	6398
14070	25760	4350
25110	25700	4671
13510	10590	5948
20510	8230	6511
14440	25580	4285
25300	26060	4838
20740	8570	6619
13680	10980	6053
14810	25390	4233
25480	26450	4956
20990	8930	6708
15180	25230	4150
25660	26820	5031
21220	9290	6790
13840	11340	6241
15550	25050	4091
21470	9640	6843
14150	12080	6295
15930	24860	4024
26030	27560	5359
14300	12450	6349
16300	24680	3969
26210	27940	5458
21930	10340	6890
14490	12810	6434
16680	24510	3926
26380	28300	5489
22150	10680	6930
14660	13200	6519
26560	28680	5526
22380	11040	6927
14840	13580	6546
17430	24160	3924
22580	11390	6923
14980	13970	6572
17800	23970	3865
22780	11740	6874
15140	14340	6569
18170	23800	3792
22960	12080	6826
15300	14730	6565
18540	23620	3688
23160	12420	6735
15470	15130	6533
18930	23450	3553
23340	12770	6634
15620	15500	6501
23530	13120	6451
15770	15880	6371
23720	13480	6275
15930	16260	6238
23910	13840	6075
16090	16640	6127
24100	14180	5878
16250	17030	6015
24290	14540	5654
16410	17400	5814
24500	14900	5428
16570	17770	5621
24690	15250	5201
16720	18150	5452
24900	15630	4976
16880	18530	5291
25110	15970	4735
17040	18920	5100
25330	16330	4492
17200	19310	4911
25540	16660	4266
17370	19680	4708
17510	20050	4505
25960	17380	3773
17680	20420	4329
26190	17730	3806
17830	20780	4154
26410	18070	3330
18000	21150	3944
26780	18770	3349
27010	19110	3289
27620	20160	3395
27190	19640	3381
27840	20500	3462
27570	19460	3467
27940	19280	3544
28310	19100	3613
28700	18930	3779
28690	21900	3766
29070	18750	3871
29450	18570	3953
29120	22600	4131
29840	18430	4012
29350	22950	4299
30210	18250	4057
29550	23300	4463
30580	18070	4117
29780	23660	4608
30970	17890	4211
29990	24020	4753
31350	17720	4255
30200	24370	4834
31730	17540	4287
30400	24720	4921
32100	17360	4324
30610	25070	4978
32470	17190	4373
30820	25430	5036
32840	17000	4424
31040	25770	5093
33240	16830	4435
31250	26140	5151
33580	16660	4489
31470	26500	5312
33960	16480	4518
31680	26860	5209
34350	16310	4540
31890	27220	5293
34730	16120	4557
32110	27570	5371
35100	15940	4574
32330	27920	5225
36670	6640	4829
36340	6890	4832
36020	7140	4839
35680	7400	4867
35360	7640	4891
35010	7880	4907
34700	8120	4927
34390	8380	4959
34050	8610	4990
33720	8870	5033
33390	9130	5071
33060	9370	5119
32740	9600	5167
32410	9860	5195
32090	10110	5223
31760	10350	5279
31430	10590	5329
31110	10830	5353
30790	11070	5370
30460	11300	5370
30100	11560	5370
29800	11810	5391
29480	12030	5420
29100	12280	5437
28800	12540	5453
28470	12790	5469
28150	13040	5485
27780	13290	5439
27480	13520	5392
27140	13790	5336
26800	14020	5274
26490	14280	5234
26130	14520	5193
25810	14790	5145
25470	15060	5093
25150	15310	5011
24840	15570	4919
24520	15830	4850
24210	16070	4777
23880	16330	4727
23550	16600	4677
23230	16840	4610
22890	17090	4546
22590	17340	4449
22240	17580	4353
21930	17850	4309
21610	18080	4264
21270	18330	4172
20920	18570	4133
20610	18830	4137
20260	19080	4141
19910	19330	4119
19590	19570	4096
19260	19810	4127
18920	20050	4158
18600	20290	4121
18260	20540	4084
17940	20790	4098
17620	21040	4114
17260	21290	4125
16970	21540	4136
16640	21780	4125
16330	22030	4114
16000	22290	4083
15670	22530	4053
15350	22790	4049
15050	23040	4044
14750	23280	4024
14410	23540	4005
14100	23790	4096
13790	24030	4193
13480	24250	4092
13140	24510	4144
12830	24770	4204
12520	25010	4258
12160	25280	4265
11820	25510	4278
11500	25760	4433
11150	26030	4596
10830	26270	4655
10140	26780	4855
9810	27020	5004
9450	27280	5114
9140	27530	5218
8800	27770	5361
8460	28050	5498
8130	28280	5685
7820	28540	5867
7470	28790	5978
