Number	Y (km)	X (km)	25	5	1	0.2	Lab	Pb (g/t)	Log Pb	Fe (%)	Log Fe
1	5393	5125.19	1	1	1	1	1	10	1	2.92	0.465383
2	5393	5125.19	1	1	1	1	2	11	1.041393	3	0.477121
3	5388.23	5131.48	1	2	1	1	1	16	1.20412	3.26	0.513218
4	5389.87	5131.76	1	2	2	1	1	14	1.146128	3.01	0.478566
5	5389.95	5131.89	1	2	2	2	1	9	0.954243	3.52	0.546543
6	5393.27	5101.69	2	1	1	1	1	39	1.591065	1.52	0.181844
7	5391.55	5096.06	2	2	1	1	1	16	1.20412	2.82	0.450249
8	5390.82	5096.53	2	2	2	1	1	12	1.079181	1.83	0.262451
9	5390.55	5096.64	2	2	2	2	1	21	1.322219	2.31	0.363612
10	5402.13	5082.18	3	2	1	1	1	19	1.278754	3.15	0.498311
11	5405.13	5079.72	3	2	2	1	1	23	1.361728	3.23	0.509203
12	5404.68	5079.57	3	2	2	2	1	31	1.491362	3.63	0.559907
13	5404.68	5079.57	3	2	2	2	2	30	1.477121	3.52	0.546543
14	5417.36	5126.4	4	1	1	1	1	16	1.20412	3.38	0.528917
15	5417.36	5126.4	4	1	1	1	2	17	1.230449	3.32	0.521138
16	5427.63	5137.45	4	2	1	1	1	19	1.278754	1.07	0.029384
17	5429.39	5139.1	4	2	2	1	1	6	0.778151	0.52	-0.284
18	5429.29	5139.06	4	2	2	2	1	4	0.60206	0.48	-0.31876
19	5417.57	5100.45	5	1	1	1	1	17	1.230449	1.82	0.260071
20	5422.16	5110.82	5	2	1	1	1	25	1.39794	2.13	0.32838
21	5423.72	5111.69	5	2	2	1	1	33	1.518514	2.68	0.428135
22	5423.95	5111.82	5	2	2	2	1	28	1.447158	2.69	0.429752
23	5417.67	5075.48	6	1	1	1	1	33	1.518514	2.96	0.471292
24	5407.36	5084.83	6	2	1	1	1	15	1.176091	2.17	0.33646
25	5407.6	5084.18	6	2	2	1	1	26	1.414973	3.67	0.564666
26	5408.14	5084.19	6	2	2	2	1	90	1.954243	2.73	0.436163
27	5416.1	5051.32	7	1	1	1	1	20	1.30103	2.84	0.453318
28	5427.02	5050.72	7	2	1	1	1	22	1.342423	3.27	0.514548
29	5427.02	5050.72	7	2	1	1	2	11	1.041393	2.53	0.403121
30	5426.27	5051	7	2	2	1	1	18	1.255273	2.43	0.385606
31	5426.27	5051	7	2	2	1	2	18	1.255273	2.55	0.40654
32	5426.27	5051	7	2	2	1	3	23	1.361728	2.62	0.418301
33	5426.81	5051.19	7	2	2	2	1	24	1.380211	3.04	0.482874
34	5426.81	5051.19	7	2	2	2	2	19	1.278754	2.72	0.434569
35	5442.6	5126.08	8	1	1	1	1	14	1.146128	3.09	0.489958
36	5437.22	5115.57	8	2	1	1	1	21	1.322219	2.56	0.40824
37	5435.9	5117.07	8	2	2	1	1	30	1.477121	3.69	0.567026
38	5435.83	5117.16	8	2	2	2	1	34	1.531479	4.45	0.64836
39	5442.4	5106.075	9	1	1	1	1	37	1.568202	3.65	0.562293
40	5437.17	5105.41	9	2	1	1	1	35	1.544068	4.09	0.611723
41	5435.56	5108.2	9	2	2	1	1	28	1.447158	3.75	0.574031
42	5436.05	5107.98	9	2	2	2	1	16	1.20412	2.81	0.448706
43	5440.85	5076.088	10	1	1	1	1	13	1.113943	0.83	-0.08092
44	5452.71	5080.3	10	2	1	1	1	6	0.778151	0.8	-0.09691
45	5453.49	5079.5	10	2	2	1	1	15	1.176091	1.01	0.004321
46	5453.49	5079.5	10	2	2	1	2	10	1	1	0
47	5453.14	5079.53	10	2	2	2	1	14	1.146128	1.02	0.0086
48	5442.8	5060.69	11	2	1	1	1	38	1.579784	4.49	0.652246
49	5440.32	5062.8	11	2	2	1	1	34	1.531479	2.06	0.313867
50	5440.15	5062.56	11	2	2	2	1	30	1.477121	1.9	0.278754
51	5467.59	5125.37	12	1	1	1	1	26	1.414973	1.25	0.09691
52	5477.48	5129.54	12	2	1	1	1	8	0.90309	0.88	-0.05552
