Cd	Ni	Cu	Pb	Mn	Fe	Zn	Co	Cr	Depth, cm
1	26	32	26	350	35600	83	38	15.5	2
1	32	28	18	300	34250	120	41	28	4
1.5	29.5	24	15	250	32750	117	36	15.5	6
1	28	31	22	300	31150	75	38	13.5	8
0.5	21.5	26	14	400	33250	75	35	10.5	10
2.5	26.5	25	22	300	33250	77	35	14.5	12
2	35	29	30	450	38250	94	48	31	14
2	33	33	28	500	37100	88	42	24.5	16
1.5	39	31	20	550	36450	92	51	28	18
2	42	30	25	450	36600	84	38	21.5	20
2.5	37	32	19	600	38450	90	49	27	22
2.5	39	33	20	550	38250	97	51	28	24
4.5	40.5	38	34	550	37550	0	71	32.5	26
4.5	35.5	39	115	700	37100	0	82	29.5	28
3.5	40.5	47	40	800	38000	104	49	21	30
2	39	42	32	1100	40550	111	40	21	32
4.5	45	49	52	1100	38800	0	61	22.5	34
2.5	42	43	34	900	38950	120	48	22	36

Heavy metal contents in ppm.
