Depth, m	Lithology	Organic carbon %	Rock-Eval hydrogen index	Ethane	Propane	n-Butane	n-Pentane	n-Hexane	n-Heptane	Benzene	Toluene	iso-Butane/n-Butane	iso-Pentane/n-Pentane
40	Siltstone	0.57	19	388	1250	10400	17200	10500	4930	227	3570	0.49	0.65
50	Siltstone	0.55	48	771	1830	18500	27500	22000	16600	376	5670	0.53	0.74
51	Siltstone	0.34	49	311	375	260	2210	3100	2600	80	1040	0.64	0.36
52	Siltstone	0.27	38	329	376	382	2480	3380	2490	79	935	0.42	0.55
53	Siltstone	0.31	41	787	694	399	2160	2930	2030	98	881	0.47	0.5
54	Siltstone	0.24	32	562	541	259	393	1130	1660	84	289	0.62	0.79
55	Siltstone	0.21	49	261	324	250	161	138	113	65	176	0.9	0.98
56.5	Sandstone	0.21	24	863	131	542	308	198	273	235	719	0.64	1.1
58	Sandstone	0.14	19	162	174	120	128	216	139	128	288	0.71	0.52
61.5	Sandstone	0.15	43	272	239	125	84	73	46	50	124	1.15	0.99
73	Sandstone	0.56	30	133	90	40	35	23	20	16	42	0.87	0.72
80	Sandstone	0.26	70	606	405	274	208	199	517	121	107	0.73	0.95
