x1	x2	ranked x2	randomized x2
3.0000	2.0000	2.0000	5.0000
4.0000	10.000	2.0000	10.000
6.0000	5.0000	5.0000	17.000
6.0000	8.0000	5.0000	14.000
6.0000	10.000	6.0000	13.000
7.0000	2.0000	7.0000	7.0000
7.0000	13.000	7.0000	2.0000
8.0000	9.0000	8.0000	20.000
9.0000	5.0000	8.0000	19.000
9.0000	8.0000	9.0000	8.0000
9.0000	14.000	10.000	14.000
10.000	7.0000	10.000	8.0000
11.000	12.000	10.000	12.000
12.000	10.000	11.000	2.0000
12.000	11.000	12.000	7.0000
13.000	6.0000	13.000	5.0000
13.000	14.000	13.000	6.0000
13.000	15.000	13.000	10.000
13.000	17.000	14.000	15.000
14.000	7.0000	14.000	11.000
15.000	13.000	15.000	17.000
17.000	13.000	17.000	13.000
17.000	17.000	17.000	9.0000
18.000	19.000	19.000	13.000
20.000	20.000	20.000	10.000
