TM2	TM5	TM4/TM5	TOC	HI	OI	S1	S2	S3	S2/S3	Vit. refl.
11.69	12.12	0.88	0.36	77.	88.	0.01	0.28	0.32	0.87	0.49
7.51	7.45	1.05	0.18	11.	177.	0.	0.02	0.32	0.06	1.09
7.5	9.8	0.84	0.23	60.	95.	0.02	0.14	0.22	0.63	0.74
7.24	13.12	0.62	0.33	15.	112.	0.01	0.05	0.37	0.13	1.37
5.97	4.49	1.23	0.12	16.	175.	0.	0.02	0.21	0.09	4.22
8.21	6.5	1.17	0.24	0.	108.	0.	0.	0.26	0.	2.54
7.65	6.57	1.16	0.19	5.	168.	0.	0.01	0.32	0.03	3.66
6.24	4.05	1.25	1.2	0.	20.	0.	0.	0.24	0.	2.9
7.9	4.98	1.33	0.83	0.	14.	0.	0.	0.12	0.	4.66
6.12	4.57	1.23	0.62	0.	46.	0.	0.	0.29	0.	3.65
7.87	5.3	1.32	1.57	8.	7.	0.01	0.14	0.11	1.27	3.71
7.81	6.51	1.13	0.53	1.	41.	0.	0.01	0.22	0.04	1.22
10.13	8.87	1.12	0.1	20.	190.	0.02	0.02	0.19	0.1	1.19
10.53	8.87	1.13	0.05	80.	720.	0.01	0.04	0.36	0.11	1.22
8.68	8.68	1.08	0.07	0.	585.	0.01	0.	0.41	0.	1.23
7.81	10.38	0.84	0.19	152.	105.	0.12	0.29	0.2	1.45	0.57
9.6	15.62	0.77	0.23	126.	256.	0.04	0.29	0.59	0.49	0.41
8.84	17.03	0.58	0.34	41.	9.1	0.01	0.14	0.31	0.45	1.28
