Clay, %	Distance, 10 m
69.9	0
68.7	1
65.6	2
65.0	3
64.1	4
65.8	5
68.7	6
71.0	7
76.2	8
79.7	9
74.2	10
64.7	11
69.9	12
69.3	13
66.7	14
64.7	15
64.4	16
37.3	17
43.0	18
35.2	19
36.4	20
28.9	21
30.3	22
23.1	23
21.4	24
23.4	25
25.7	26
27.1	27
27.1	28
29.5	29
31.5	30
32.1	31
37.8	32
35.5	33
43.0	34
47.9	35
44.8	36
31.8	37
33.2	38
29.2	39
26.0	40
22.8	41
21.7	42
26.9	43
19.4	44
16.5	45
27.1	46
11.0	47
11.6	48
10.4	49
7.5	50
5.2	51
10.4	52
17.3	53
24.5	54
26.9	55
25.4	56
15.9	57
21.7	58
16.2	59
24.3	60
30.3	61
37.8	62
11.0	63
19.9	64
21.9	65
17.6	66
14.7	67
10.7	68
13.9	69
16.5	70
18.5	71
19.4	72
22.5	73
26.3	74
27.4	75
33.5	76
37.8	77
16.2	78
36.7	79
37.8	80
23.4	81
21.4	82
26.9	83
22.5	84
21.4	85
28.9	86
35.2	87
37.8	88
34.4	89
27.1	90
17.9	91
16.5	92
22.2	93
26.9	94
27.1	95
26.6	96
17.6	97
19.6	98
10.1	99
6.9	100
3.5	101
0.0	102
1.4	103
5.5	104
5.2	105
8.9	106
10.7	107
10.7	108
12.7	109
17.6	110
21.9	111
14.4	112
15.6	113
10.7	114
4.3	115
5.8	116
6.4	117
10.4	118
12.1	119
13.6	120
15.3	121
16.5	122
13.3	123
11.8	124
15.3	125
18.5	126
19.4	127
18.5	128
20.5	129
19.6	130
17.0	131
13.9	132
18.5	133
16.2	134
17.0	135
11.8	136
10.1	137
11.6	138
12.1	139
13.6	140
11.8	141
10.7	142
10.7	143
13.3	144
16.8	145
14.2	146
18.5	147
15.9	148
8.1	149
3.1	150
5.8	151
4.3	152
7.8	153
5.5	154
9.5	155
11.3	156
9.8	157
8.1	158
7.8	159
9.2	160
10.7	161
8.4	162
8.4	163
7.5	164
9.2	165
10.1	166
8.9	167
10.1	168
9.8	169
11.0	170
13.3	171
16.2	172
7.5	173
16.2	174
17.3	175
18.8	176
20.2	177
21.7	178
18.8	179
15.6	180
14.2	181
14.2	182
10.1	183
8.1	184
6.6	185
5.2	186
11.0	187
8.9	188
7.2	189
3.9	190
2.0	191
0.9	192
4.9	193
6.9	194
7.5	195
7.8	196
4.6	197
1.4	198
3.2	199
1.4	200
2.9	201
3.2	202
2.0	203
5.8	204
3.2	205
8.7	206
11.8	207
3.5	208
3.2	209
7.5	210
7.2	211
7.5	212
7.8	213
7.2	214
7.5	215
10.7	216
14.2	217
16.2	218
6.9 	219
11.0	220
17.6	221
24.0	222
27.1	223
24.8	224
32.1	225
35.2	226
32.1	227
42.2	228
51.4	229
53.7	230
17.6	231
43.3	232
31.2	233
34.7	234
36.7	235
38.7	236
31.8	237
36.7	238
31.5	239
37.5	240
29.2	241
18.2	242
31.8	243
32.9	244
35.5	245
34.1	246
35.8	247
20.5	248
18.5	249
17.9	250
7.5	251
5.5	252
5.2	253
10.7	254
16.5	255
10.7	256
29.2	257
43.0	258
57.8	259
64.4	260
56.3	261
46.5	262
39.0	263
29.5	264
15.6	265
47.1	266
48.2	267
32.1	268
31.8	269
34.7	270
37.0	271
34.7	272
31.5	273
26.9	274
31.5	275
21.7	276
31.8	277
28.3	278
26.9	279
31.5	280
27.4	281
32.1	282
32.1	283
27.4	284
21.7	285
26.9	286
21.7	287
32.1	288
16.2	289
21.7	290
16.2	291
21.4	292
21.4	293
21.4	294
10.7	295
48.8	296
27.4	297
23.1	298
10.7	299
25.4	300
31.8	301
31.5	302
37.3	303
29.7	304
31.5	305
21.4	306
24.5	307
42.7	308
7.51	309
13.9	310
8.7	311
10.4	312
7.2	313
13.3	314
7.22	315
13.3	316
8.09	317
10.7	318
13.9	319
9.8	320
9.8	321
7.5	322
9.8	323
7.8	324
11.6	325
8.4	326
11.6	327
17.3	328
11.8	329
17.9	330
7.8	331
17.3	332
14.7	333
11.0	334
7.2	335
11.6	336
7.2	337
9.5	338
9.5	339
20.5	340
14.2	341
11.0	342
8.4	343
7.2	344
24.5	345
10.7	346
9.5	347
20.5	348
9.5	349
9.5	350
7.8	351
24.8	352
7.2	353
20.8	354
12.7	355
9.5	356
19.9	357
26.9	358
26.6	359
43.0	360
46.2	361
61.2	362
32.9	363
64.4	364
57.2	365
58.9	366
54.0	367
56.0	368
47.9	369
59.5	370
66.4	371
48.5	372
63.8	373
57.2	374
64.4	375
65.0	376
73.4	377
