Zeolite	Origin	Group	Na	K	Mg	Ca	Sr	Ba	Fe+++	Al	Si	H2O
1	1	1	3.6	0.9	1.1	7.8	0.1	0.1	0.1	22.2	77.4	75
1	1	1	4.3	0.6	1.1	8.2	0.1	0.1	0.2	22.9	76.7	68.2
1	1	1	3	0.7	0.6	6.6	0.2	0.2	0.4	19.2	80.4	67
1	1	1	3.1	6.9	2.4	4.7	0.1	0.2	0.1	22.3	77	67.3
1	1	1	0.8	3	1	6	0.1	0.7	0.8	18.6	80.7	78.4
1	1	1	4	2.3	0.1	4.3	3.4	1.2	0	25.1	74.9	69.4
1	1	1	2.7	6.7	1.8	4.6	1.6	0.3	1.6	25.2	73.6	71.8
1	1	1	1.6	2.2	0.7	9.4	0	0	0	22.7	76.9	71.9
1	1	1	0.2	2.4	0	9.7	1.1	0	0	25.8	74.4	72.4
1	1	1	2.7	1.1	0.8	6.2	1	0.3	1.1	21	78.3	67.6
1	1	1	3.2	1.3	0.4	6.6	1.2	0.3	0.9	21.1	78.1	66.4
1	1	1	3.4	1.2	0	9.9	0.1	0.1	0	26	74.1	72.2
1	1	1	4.1	1.3	0	8.2	1.5	0	0	25.7	74.6	69
1	1	1	11.1	1.5	0.5	4.9	0	0	0	21.8	77.8	60.1
1	1	1	6.1	1.3	2.1	7.4	0.3	0.4	0.2	25.6	73.7	74.3
1	1	1	1.4	2.4	0	5	2.7	2.6	0	24.2	75.7	58.9
1	1	1	1.1	3.5	0	4.7	2.2	3	0	23.8	76.1	69
1	1	1	1.9	2.3	1.7	5.7	0	1.4	0.1	21.8	78.2	66.7
1	1	1	8	1	2.2	1.9	0.2	0.4	0.1	18.9	81.1	62.1
1	1	1	1.1	2.2	1.2	6	0.2	0.2	0	17.9	82	65.2
1	1	1	0	2.5	2.7	6	0.4	0.1	0.1	21.8	78.4	53.5
1	1	1	1.4	3.8	0.1	5.8	0	0.2	0	19.1	81.3	53.9
1	1	1	1.8	0.7	0.1	10.1	0.1	0	0	25	75.5	57.9
1	1	1	1.2	2.7	1.3	4.6	0.2	0.2	0.1	18	82.3	66.1
1	1	1	8.8	2.7	0.3	3.6	0.4	0.2	0.7	20.6	78.9	60
1	1	1	8.3	1.4	0.1	2.4	0	1.2	0	18.1	82.1	66.6
1	1	1	0.9	2.9	0.9	5.9	0	0	0.2	17.9	82.1	61.9
1	1	1	0.8	2.8	0	10	0.9	0.1	0	26.3	73.9	70.8
1	1	1	6	2.7	0.1	6.3	0	0	0.1	21.2	78.7	60.1
1	1	1	7.5	1.8	0.1	6.4	0	0	0.1	23.1	77.1	66.3
1	1	1	7.9	1.3	0.2	6.6	0	0	0.1	22.8	77.1	66.8
1	1	1	6.4	0.9	0.2	8.2	0	0	0.1	23.4	76.4	70.2
1	1	1	6.9	1.2	0.1	6.9	0	0	0.1	23.2	76.9	67.4
1	1	1	7	1.3	0.1	6.5	0	0	0.1	23.4	77	65.8
1	1	1	5.2	2.5	0.1	6.7	0	0	0.1	21.9	78.3	60.6
1	1	1	8	1.7	0.1	6	0	0	0.1	23	77.2	62.9
1	1	1	1.1	0.6	0.1	5.2	5.8	0.4	0	25.5	74.7	47.6
1	1	1	0.8	3	0.1	4.2	2.2	3.1	0.1	23.1	76.9	50
