Year	Cum n	t(i)-t(i-1)	t(i+1)-t(i)	Ranked t(i)-t(i-1)	RankAvgd t(i)-t(i-1)	Prob t(i)-t(i-1)	Prob  Survivor
1229	1	.	10	.	.	.	.
1239	2	10	1	66	68	0.715789	0.284211
1240	3	1	25	1	17	0.178947	0.821053
1265	4	25	4	91	91	0.957895	0.042105
1269	5	4	1	42	44.5	0.468421	0.531579
1270	6	1	2	2	17	0.178947	0.821053
1272	7	2	1	34	36	0.378947	0.621053
1273	8	1	1	3	17	0.178947	0.821053
1274	9	1	7	4	17	0.178947	0.821053
1281	10	7	5	54	56.5	0.594737	0.405263
1286	11	5	19	48	48.5	0.510526	0.489474
1305	12	19	19	84	85	0.894737	0.105263
1324	13	19	7	85	85	0.894737	0.105263
1331	14	7	4	55	56.5	0.594737	0.405263
1335	15	4	5	43	44.5	0.468421	0.531579
1340	16	5	6	49	48.5	0.510526	0.489474
1346	17	6	23	50	51.5	0.542105	0.457895
1369	18	23	6	88	88	0.926316	0.073684
1375	19	6	1	51	51.5	0.542105	0.457895
1376	20	1	1	5	17	0.178947	0.821053
1377	21	1	10	6	17	0.178947	0.821053
1387	22	10	1	67	68	0.715789	0.284211
1388	23	1	46	7	17	0.178947	0.821053
1434	24	46	4	93	93	0.978947	0.021053
1438	25	4	35	44	44.5	0.468421	0.531579
1473	26	35	12	92	92	0.968421	0.031579
1485	27	12	20	76	77	0.810526	0.189474
1505	28	20	1	87	87	0.915789	0.084211
1506	29	1	16	8	17	0.178947	0.821053
1522	30	16	11	80	80.5	0.847368	0.152632
1533	31	11	9	71	73	0.768421	0.231579
1542	32	9	16	64	64.5	0.678947	0.321053
1558	33	16	4	81	80.5	0.847368	0.152632
1562	34	4	1	45	44.5	0.468421	0.531579
1563	35	1	1	9	17	0.178947	0.821053
1564	36	1	12	10	17	0.178947	0.821053
1576	37	12	6	77	77	0.810526	0.189474
1582	38	6	1	52	51.5	0.542105	0.457895
1583	39	1	1	11	17	0.178947	0.821053
1584	40	1	3	12	17	0.178947	0.821053
1587	41	3	11	39	40	0.421053	0.578947
1598	42	11	13	72	73	0.768421	0.231579
1611	43	13	1	79	79	0.831579	0.168421
1612	44	1	1	13	17	0.178947	0.821053
1613	45	1	7	14	17	0.178947	0.821053
1620	46	7	11	56	56.5	0.594737	0.405263
1631	47	11	6	73	73	0.768421	0.231579
1637	48	6	12	53	51.5	0.542105	0.457895
1649	49	12	19	78	77	0.810526	0.189474
1668	50	19	7	86	85	0.894737	0.105263
1675	51	7	8	57	56.5	0.594737	0.405263
1683	52	8	8	60	61.5	0.647368	0.352632
1691	53	8	17	61	61.5	0.647368	0.352632
1708	54	17	1	82	82	0.863158	0.136842
1709	55	1	56	15	17	0.178947	0.821053
1765	56	56	7	94	94	0.989474	0.010526
1772	57	7	8	58	56.5	0.594737	0.405263
1780	58	8	24	62	61.5	0.647368	0.352632
1804	59	24	2	89	89.5	0.942105	0.057895
1806	60	2	8	35	36	0.378947	0.621053
1814	61	8	1	63	61.5	0.647368	0.352632
1815	62	1	11	16	17	0.178947	0.821053
1826	63	11	1	74	73	0.768421	0.231579
1827	64	1	1	17	17	0.178947	0.821053
1828	65	1	1	18	17	0.178947	0.821053
1829	66	1	1	19	17	0.178947	0.821053
1830	67	1	24	20	17	0.178947	0.821053
1854	68	24	18	90	89.5	0.942105	0.057895
1872	69	18	2	83	83	0.873684	0.126316
1874	70	2	10	36	36	0.378947	0.621053
1884	71	10	10	68	68	0.715789	0.284211
1894	72	10	3	69	68	0.715789	0.284211
1897	73	3	9	40	40	0.421053	0.578947
1906	74	9	10	65	64.5	0.678947	0.321053
1916	75	10	4	70	68	0.715789	0.284211
1920	76	4	7	46	44.5	0.468421	0.531579
1927	77	7	1	59	56.5	0.594737	0.405263
1928	78	1	1	21	17	0.178947	0.821053
1929	79	1	2	22	17	0.178947	0.821053
1931	80	2	1	37	36	0.378947	0.621053
1932	81	1	1	23	17	0.178947	0.821053
1933	82	1	1	24	17	0.178947	0.821053
1934	83	1	1	25	17	0.178947	0.821053
1935	84	1	3	26	17	0.178947	0.821053
1938	85	3	11	41	40	0.421053	0.578947
1949	86	11	1	75	73	0.768421	0.231579
1950	87	1	1	27	17	0.178947	0.821053
1951	88	1	2	28	17	0.178947	0.821053
1953	89	2	1	38	36	0.378947	0.621053
1954	90	1	1	29	17	0.178947	0.821053
1955	91	1	1	30	17	0.178947	0.821053
1956	92	1	1	31	17	0.178947	0.821053
1957	93	1	1	32	17	0.178947	0.821053
1958	94	1	4	33	17	0.178947	0.821053
1962	95	4	.	47	44.5	0.468421	0.531579
