Counts	Sqrt Counts	Cells	Twnsp	Mine	Sample
1.2	1.095	1	1	1	1
1.46	1.208	1	1	1	2
1.63	1.277	1	1	1	3
3.17	1.78	1	1	1	4
1.7	1.304	1	1	2	1
1.34	1.158	1	1	2	2
1.55	1.245	1	1	2	3
2.5	1.581	1	1	2	4
2.33	1.526	1	2	1	1
0.9	0.949	1	2	1	2
2.68	1.637	1	2	1	3
2.48	1.575	1	2	1	4
3.03	1.741	1	2	2	1
3.3	1.817	1	2	2	2
2.93	1.712	1	2	2	3
4.68	2.163	1	2	2	4
2.97	1.723	2	1	1	1
1.76	1.327	2	1	1	2
1.82	1.349	2	1	1	3
2.23	1.493	2	1	1	4
3.47	1.863	2	1	2	1
5.77	2.402	2	1	2	2
2.57	1.603	2	1	2	3
3.15	1.775	2	1	2	4
2.33	1.526	2	2	1	1
1.24	1.114	2	2	1	2
1.52	1.233	2	2	1	3
2	1.414	2	2	1	4
1.98	1.407	2	2	2	1
1.41	1.187	2	2	2	2
1.38	1.175	2	2	2	3
1.96	1.4	2	2	2	4
1.04	1.02	3	1	1	1
1.04	1.02	3	1	1	2
1.59	1.261	3	1	1	3
1.99	1.411	3	1	1	4
3.47	1.863	3	1	2	1
2.71	1.646	3	1	2	2
3.3	1.817	3	1	2	3
3.13	1.769	3	1	2	4
2.62	1.619	3	2	1	1
2.73	1.652	3	2	1	2
2.57	1.603	3	2	1	3
2.62	1.619	3	2	1	4
1.19	1.091	3	2	2	1
3.83	1.957	3	2	2	2
7.47	2.733	3	2	2	3
1.42	1.192	3	2	2	4
2.3	1.517	4	1	1	1
4.38	2.093	4	1	1	2
3.85	1.962	4	1	1	3
3.5	1.871	4	1	1	4
3.87	1.967	4	1	2	1
1.04	1.02	4	1	2	2
3.33	1.825	4	1	2	3
3.37	1.836	4	1	2	4
1.11	1.054	4	2	1	1
1.19	1.091	4	2	1	2
4.37	2.09	4	2	1	3
6.13	2.476	4	2	1	4
5.47	2.339	4	2	2	1
2.22	1.49	4	2	2	2
4	2	4	2	2	3
2.48	1.575	4	2	2	4
1.17	1.082	5	1	1	1
0.92	0.959	5	1	1	2
1.24	1.114	5	1	1	3
1.33	1.153	5	1	1	4
8.67	2.944	5	1	2	1
3.97	1.992	5	1	2	2
1.68	1.296	5	1	2	3
3.4	1.844	5	1	2	4
1.68	1.296	5	2	1	1
1.26	1.122	5	2	1	2
1.53	1.237	5	2	1	3
1.92	1.386	5	2	1	4
1.22	1.105	5	2	2	1
