Mean age (MY)	Mass Percent Cyclostomes
166.8	100.000
166.8	100.000
134.5	100.000
129.5	100.000
96.2	99.823
96.2	67.164
93.5	70.818
91.25	76.823
91.25	32.089
87.4	69.646
87.4	75.920
84.65	28.308
84.65	25.924
82.25	60.838
82.25	29.676
77.4	15.476
68.15	40.748
68.15	31.852
67.25	20.210
67.25	29.574
67.25	33.475
67.25	19.105
68.15	22.568
64.5	84.599
64.5	72.326
64.5	63.515
64.5	88.952
64.5	50.533
63.25	80.730
63.25	83.947
63.25	75.227
63.25	66.545
63.25	65.407
63.25	72.477
63.25	71.448
63.25	55.434
63.25	61.192
61.7	71.028
61.7	52.320
58.2	34.095
58.2	15.385
58.2	13.158
45.15	33.324
39.1	3.521
39.1	31.903
39.1	39.909
35.25	20.120
31	7.602
26.1	7.424
26.1	0.890
26.1	48.666
22.2	13.267
18.5	6.705
18.5	9.180
20.1	17.002
9.15	11.190
4.45	25.453
3.55	2.992
3.55	3.513
3.55	27.380
3.55	3.100
2.7	3.865
2.7	10.891
1.3	24.682
0.91	12.765
0.01	0.000
0.01	2.920
0.01	2.190
0.01	0.102
0.01	0.019
