Distance	Elevation
30	2890
60	2887
90	2886
120	2884
150	2882
180	2878
210	2886
240	2893
270	2900
300	2877
330	2888
360	2896
390	2888
420	2883
450	2880
480	2879
510	2891
540	2901
570	2888
600	2893
630	2899
660	2901
690	2895
720	2889
750	2886
780	2890
810	2898
840	2899
870	2877
900	2878
930	2878
960	2880
990	2886
1020	2890
1050	2889
1080	2878
1110	2879
1140	2884
1170	2878
1200	2892
1230	2886
1260	2879
1290	2878
1320	2880
1350	2888
1380	2888
1410	2878
1440	2874
1470	2867
1500	2860
1530	2861
1560	2859
1590	2860
1620	2859
1650	2861
1680	2869
1710	2864
1740	2864
1770	2869
1800	2865
1830	2860
1860	2864
1890	2867
1920	2873
1950	2881
1980	2870
2010	2860
2040	2860
2070	2860
2100	2867
2130	2868
2160	2868
2190	2865
2220	2864
2250	2862
2280	2863
2310	2862
2340	2863
2370	2858
2400	2853
2430	2851
2460	2849
2490	2846
2520	2854
2550	2853
2580	2845
2610	2850
2640	2857
2670	2858
2700	2849
2730	2851
2760	2855
2790	2859
2820	2861
2850	2861
2880	2861
2910	2861
2940	2864
2970	2851
3000	2848
3030	2850
3060	2855
3090	2860
3120	2860
3150	2860
3180	2865
3210	2860
3240	2860
3270	2865
3300	2873
3330	2866
