ID	X	Y	Depth
747	0.2073	5.53875	-1312
749	0.31324	4.78629	-1312
753	0.15635	3.5407	-1304
754	0.02175	3.16929	-1314
759	0.00239	2.42004	-1289
760	0.25231	2.41357	-1269
761	0.38373	2.6601	-1296
762	0.49575	2.15732	-1265
763	0.36105	1.78592	-1291
764	0.24097	1.97649	-1277
765	0.11763	2.04218	-1290
768	0.04215	1.5443	-1321
772	0.5816	0.65542	-1382
773	0.8825	0.2101	-1352
774	1.26558	0.51249	-1368
775	1.44809	0.3202	-1345
776	0.96955	1.14517	-1326
777	0.85438	1.52312	-1307
778	1.22925	1.51335	-1295
779	1.48242	1.63174	-1288
780	1.23901	1.88806	-1255
781	0.98421	1.70721	-1277
782	0.99234	2.01945	-1258
783	0.61097	1.77942	-1286
784	0.6288	2.4663	-1280
785	0.74566	2.15084	-1270
786	0.87872	2.45983	-1269
787	1.12054	2.14111	-1265
788	1.25521	2.51257	-1274
789	1.49865	2.25629	-1258
790	1.50836	2.63101	-1256
791	0.72347	3.71359	-1289
792	0.9061	3.52143	-1286
793	1.16563	3.88972	-1299
794	1.48123	4.00662	-1288
795	1.35946	4.13473	-1289
796	1.36425	4.32208	-1299
797	0.68176	4.52697	-1305
798	0.82261	5.14825	-1314
799	0.7103	5.65098	-1291
801	1.83179	5.49762	-1278
802	2.08487	5.61622	-1263
803	2.20667	5.48813	-1266
804	2.59417	5.97838	-1275
805	2.06903	4.99161	-1272
806	2.56252	4.72904	-1279
807	2.18445	4.61366	-1279
808	2.05631	4.49192	-1280
809	1.98586	4.18121	-1284
810	1.67186	4.12674	-1296
811	2.28385	3.61105	-1281
812	2.53056	3.4797	-1268
813	2.14604	3.11456	-1271
814	1.63977	2.87761	-1275
815	1.88968	2.87116	-1255
816	2.26617	2.92394	-1241
817	2.51609	2.9175	-1244
818	2.38306	2.60839	-1236
819	2.13315	2.61486	-1245
820	1.88	2.4964	-1254
821	1.87029	2.12165	-1264
822	2.12344	2.24009	-1285
823	2.37336	2.2336	-1273
824	1.61713	2.00322	-1243
825	1.86055	1.74689	-1284
826	2.08108	0.61608	-1350
827	1.57797	0.50428	-1344
828	1.56812	0.12955	-1344
829	1.94299	0.11968	-1348
830	3.08729	0.83974	-1366
831	2.8667	1.97076	-1293
832	2.63298	2.60193	-1240
833	2.88935	2.84535	-1233
834	2.87966	2.47053	-1245
835	3.13927	2.8389	-1228
836	3.38918	2.83245	-1235
837	3.52059	3.07914	-1230
838	3.27067	3.08558	-1250
839	2.34588	3.10168	-1266
840	2.65231	3.35155	-1263
841	2.65873	3.60142	-1271
842	3.0304	3.46685	-1263
843	3.15857	3.58859	-1261
844	2.67154	4.10117	-1277
845	2.68429	4.60092	-1279
846	2.99828	4.65543	-1266
847	3.49175	4.39279	-1257
848	3.07188	5.09115	-1271
849	2.78161	5.97366	-1266
1633	0.94004	0.02111	-1362
1634	1.43987	0.00793	-1350
556	9.85676	5.63881	-1242
557	9.73477	5.76617	-1243
558	9.9847	5.7602	-1235
569	9.97875	5.51144	-1243
570	9.79131	5.51592	-1248
573	9.95487	4.51638	-1260
345	5.34634	0.15112	-1355
346	5.21827	0.02998	-1366
347	5.10572	0.53015	-1365
349	5.4713	0.14799	-1350
350	5.71966	0.07961	-1364
352	5.59936	0.26915	-1361
380	7.47378	0.22234	-1371
401	4.1084	5.7761	-1274
403	3.90459	5.09729	-1297
404	3.88062	4.10344	-1256
405	3.91742	3.04594	-1232
406	3.79549	3.17322	-1236
407	3.92348	3.2944	-1241
408	3.66293	2.86571	-1230
409	3.54101	2.99299	-1234
410	4.1734	3.28831	-1236
411	4.42333	3.28222	-1232
412	4.36388	3.40799	-1253
413	4.16734	3.03983	-1232
414	4.41727	3.03373	-1238
415	4.03934	2.91865	-1239
416	3.53341	2.68243	-1250
417	3.88692	1.80361	-1362
418	4.36214	0.79733	-1366
419	5.11808	1.0272	-1364
420	5.38952	1.89088	-1374
421	4.54526	3.15492	-1237
422	4.67477	3.33825	-1231
423	4.67931	3.52463	-1244
424	4.86373	3.39581	-1240
425	5.43211	3.63066	-1253
426	5.19123	4.00953	-1248
427	5.39219	4.5642	-1263
428	5.43814	3.8792	-1241
429	4.57843	4.52166	-1254
430	5.39818	4.81273	-1255
431	5.41012	5.30981	-1260
432	5.47707	5.49472	-1268
433	4.96828	5.13391	-1267
434	5.08428	4.75812	-1250
436	5.6139	5.98883	-1267
439	6.36369	5.97096	-1254
440	6.42173	5.78303	-1260
441	6.39789	4.78867	-1269
442	5.66005	5.30382	-1254
443	5.7091	4.74308	-1248
444	6.09593	5.2312	-1269
445	5.9799	5.60704	-1263
446	6.40387	5.03726	-1264
447	5.89804	4.8007	-1254
448	6.3919	4.54008	-1252
449	5.56612	4.00044	-1239
450	6.19094	3.9853	-1232
451	6.3859	4.2915	-1253
452	6.37989	4.04291	-1240
453	6.19394	4.10959	-1243
454	5.86797	3.55789	-1284
455	5.52366	2.26062	-1376
456	6.36152	0.74759	-1378
457	7.41941	3.08479	-1372
458	7.45109	4.39015	-1252
459	7.0807	4.58566	-1270
460	6.64183	4.53406	-1253
461	7.0717	4.21273	-1251
462	6.62981	4.03686	-1249
463	6.56281	3.85192	-1257
464	6.56582	3.97622	-1240
465	6.64782	4.78266	-1255
466	6.90969	5.27387	-1260
467	6.60472	5.59211	-1256
471	6.67166	5.77706	-1256
475	6.98258	5.70745	-1260
478	7.83647	4.81625	-1255
479	8.21435	4.93157	-1254
480	7.84245	5.06491	-1255
481	7.72047	5.19223	-1250
482	7.58953	4.94658	-1257
483	7.58355	4.69794	-1250
484	7.97039	5.18624	-1250
485	7.57756	4.44929	-1255
486	7.63553	4.2613	-1260
487	8.48586	0.69476	-1388
488	8.89458	2.05334	-1365
489	9.43093	3.53347	-1305
490	9.32705	4.40707	-1269
491	8.57726	4.42517	-1274
492	9.21406	4.90754	-1264
493	8.97011	5.16227	-1252
494	8.72614	5.41696	-1252
495	9.46698	5.02591	-1258
496	9.48484	5.77213	-1245
548	9.84493	0.03867	-1372
549	9.47315	0.17241	-1360
