Depth	RhoB	DeltaT
980	2.095	67.364
981	2.095	67.071
982	2.108	66.878
983	2.11	66.595
984	2.118	73.323
985	2.091	70.919
986	2.073	68.064
987	2.121	68.262
988	2.165	70.895
989	2.224	77.579
990	2.241	87.753
991	2.234	85.87
992	2.185	77.709
993	2.159	69.217
994	2.14	68.722
995	2.109	67.146
996	2.107	66.904
997	2.123	68.171
998	2.113	67.384
999	2.092	67.143
1000	2.144	67.114
1001	2.184	67.686
1002	2.225	67.837
1003	2.318	71.623
1004	2.43	79.985
1005	2.511	78.447
1006	2.485	98.843
1007	2.459	105.068
1008	2.466	102.012
1009	2.473	101.772
1010	2.48	89.193
1011	2.572	87.931
1012	2.624	77.476
1013	2.583	93.102
1014	2.57	98.464
1015	2.62	88.612
1016	2.647	78.551
1017	2.656	77.329
1018	2.556	88.986
1019	2.456	93.338
1020	2.437	97.78
1021	2.553	94.703
1022	2.593	81.15
1023	2.633	67.598
1024	2.536	84.278
1025	2.396	94.506
1026	2.477	87.758
1027	2.599	81.011
1028	2.544	96.65
1029	2.551	89.957
