Distance, microns	% Fa
52.5	12.18
51.4	12.13
50.3	12.50
49.7	12.18
48.6	11.91
47.5	11.97
46.3	12.18
45.2	12.45
44.7	11.97
43.8	12.02
42.4	12.61
41.5	11.75
40.6	12.07
39.8	12.77
38.7	12.07
37.6	12.77
37.0	12.23
36.2	11.59
35.1	12.23
34.2	11.86
33.4	12.13
32.4	12.56
31.7	12.29
30.7	12.07
29.4	12.18
28.5	12.40
27.6	11.59
26.2	12.34
25.2	12.02
24.1	12.99
22.9	12.45
22.1	12.72
21.2	12.40
20.0	12.88
18.9	12.88
18.1	13.58
17.2	13.20
16.3	13.36
15.5	14.70
14.2	14.70
13.3	15.67
12.4	16.42
11.5	17.87
10.5	19.27
8.67	21.52
7.89	22.86
6.66	23.34
5.88	24.04
4.80	24.15
3.87	23.45
2.63	24.95
1.86	23.08
0.929	21.25
