No.	API Gravity	Sulfur, %	Pr/Ph	SAT/ARO	Oil CIR	Gasoline CIR	C G-R	Group (1 = Carbonate, 2 = Deltaic, 3 = Marine Shale)
1	24.6	1.69	1.1	1.1	-26.23	-26.3	-0.27	1
2	27	1.58	0.95	1.1	-26.62	-26.89	-0.33	1
3	28.1	1.53	1.02	1.2	-26.02	-26.21	-0.39	1
4	29.5	3.1	0.7	0.8	-26.1	-27.16	-1.42	1
5	32.2	2.61	0.65	0.8	-26.24	-27.2	-1.09	1
6	33.6	2.27	0.75	0.7	-26.5	-27.19	-0.93	1
7	31.7	2.52	0.7	0.9	-26.24	-27.07	-1.12	1
8	33	1.71	0.71	1.2	-26.27	-27	-0.97	1
9	34	1.95	0.62	1.2	-26.3	-26.95	-0.96	1
10	28	2.78	0.67	0.7	-26.57	-27.46	-0.83	1
11	25.5	2.26	0.82	0.9	-25.59	-25.8	-0.6	1
12	35.4	1.03	0.85	1.3	-25.25	-25.65	-0.5	1
13	35.1	1.39	0.58	1.1	-25.06	-25.52	-0.54	1
14	36.6	1.34	0.62	1.3	-25.02	-25.43	-0.53	1
15	29	1.9	0.74	0.9	-25	-25.42	-0.59	1
16	38.5	0.98	0.59	1.4	-24.86	-25.19	-0.41	1
17	30.1	1.73	0.6	0.9	-24.71	-25.14	-0.59	1
18	31.9	1.02	0.78	1.3	-24.54	-25.04	-0.72	1
19	24.4	3.87	0.57	0.3	-26.62	-26.96	-0.71	1
20	22.9	3.83	0.57	0.5	-26.13	-26.72	-0.73	1
21	18.7	4.82	0.53	0.4	-25.87	-26.13	-0.35	1
22	54.4	0	1.27	7.8	-25.33	-23.27	4.26	2
23	54.7	0.05	1.73	14.1	-25.54	-23.75	3.66	2
24	58.6	0.01	2.09	14.3	-25.92	-24.45	3.36	2
25	41	0.01	3.95	4.6	-24.54	-22.52	2.82	2
26	46.2	0.16	5.72	3.9	-25.67	-24.69	1.72	2
27	43	0.05	4.36	2	-27.15	-26.09	1.6	2
28	50	0.2	3.71	3.1	-26.63	-25.94	1.48	2
29	34.4	0.02	2.17	3.6	-26.34	-24.4	2.31	2
30	37.2	0.13	1.98	3.9	-26.03	-24.16	2.25	2
31	48.7	0.15	3.93	3.9	-26.06	-25.2	1.95	2
32	49	0.03	2.88	7.4	-26.23	-25.29	1.9	2
33	46	0.18	4.99	3.8	-26.01	-25.07	1.98	2
34	48.6	0.16	3.48	3.2	-26.24	-25.15	2.22	2
35	34.7	0.13	2.34	1.8	-26.31	-25.33	1.34	2
36	34.6	0.12	2.17	1.8	-26.12	-25.43	0.87	2
37	41.7	0.12	2.47	1.8	-25.97	-25.32	0.9	2
38	32.5	0.08	1.95	2	-26.28	-25.27	1.24	2
39	37.6	0.04	3.91	4.1	-27.35	-26.09	1.78	2
40	56.4	0.02	3.45	3.2	-25.69	-25.28	1.38	2
41	54.5	0	3.28	2	-25.66	-25.28	1.31	2
42	58	0.07	3.49	2.6	-25.54	-25.21	1.44	2
43	56	0.09	3.2	1.8	-25.7	-25.22	1.48	2
44	26.5	1.39	1.82	0.7	-29.61	-28.09	1.79	3
45	26.1	1.38	1.52	0.8	-29.41	-28.72	1.09	3
46	21.8	1.63	1.37	0.7	-29.84	-28.65	1.3	3
47	23	1.66	1.48	0.7	-29.58	-28.77	1.1	3
48	20.8	1.57	1.49	1	-29.92	-28.72	1.33	3
49	26.7	1.13	1.79	1	-29.66	-28.4	1.22	3
50	23.1	1.21	1.65	1.3	-29.63	-28.16	1.57	3
51	37.5	0.1	1.64	1.8	-27.59	-27.01	0.54	3
52	29.5	0.23	1.77	1.7	-27.66	-26.83	0.83	3
53	34.9	0.2	1.34	2	-27.72	-27.07	0.76	3
54	30	0.23	1.75	1.7	-27.59	-26.84	0.74	3
55	38.8	0.06	1.5	2.2	-30.98	-30	0.81	3
56	46.3	0.01	1.5	3.9	-30.5	-29.43	1.3	3
57	36	0.28	1.63	1.2	-30.68	-30.38	0.13	3
58	35	0.43	1.34	1.4	-30.49	-30.23	0.06	3
59	34.6	0.41	1.56	2.2	-29.1	-28.4	0.73	3
60	36.4	0.28	1.57	1.8	-29.2	-28.76	0.62	3
61	34.8	0.32	1.52	1.8	-29.2	-28.46	0.83	3
62	36	0.35	1.34	1.5	-29.13	-28.4	1.07	3
63	37.7	0.33	1.58	2	-28.53	-27.7	1.11	3

Pr/Ph = pristane/phytane ratio; SAT/ARO = saturates to aromatics ratio; Oil CIR = whole-oil carbon isotope ratio; Gasoline CIR = carbon isotope ratio of gasoline fraction; C G-R = difference in carbon isotope ratio between gasoline fraction and residuum. From Chung, et al, 1994, Table 1.
