Chord Diameter	Traverse	Thin Section

6	1	1

2	1	1

0	1	1

8	1	1

13	2	1

3	2	1

9	2	1

8	2	1

1	3	1

10	3	1

0	3	1

6	3	1

7	4	1

4	4	1

7	4	1

9	4	1

10	5	2

9	5	2

7	5	2

12	5	2

2	6	2

1	6	2

1	6	2

10	6	2

4	7	2

1	7	2

7	7	2

9	7	2

0	8	2

3	8	2

4	8	2

1	8	2

0	9	3

0	9	3

5	9	3

5	9	3

10	10	3

11	10	3

6	10	3

7	10	3

8	11	3

5	11	3

0	11	3

7	11	3

7	12	3

2	12	3

5	12	3

4	12	3

11	13	4

0	13	4

6	13	4

4	13	4

5	14	4

10	14	4

8	14	4

3	14	4

1	15	4

8	15	4

9	15	4

4	15	4

0	16	4

8	16	4

6	16	4

5	16	4

1	17	5

4	17	5

7	17	5

9	17	5

6	18	5

7	18	5

0	18	5

3	18	5

3	19	5

0	19	5

2	19	5

2	19	5

3	20	5

7	20	5

4	20	5

0	20	5

