Porosity	Permeability	Log Permeability	
17.400	16.700	1.2227	
18.200	32.200	1.5079	
17.400	17.500	1.2430	
20.600	400.96	2.6031	
16.200	17.200	1.2355	
18.000	16.200	1.2095	
21.300	538.02	2.7308	
17.100	15.900	1.2014	
19.600	42.500	1.6284	
17.800	123.00	2.0899	
18.900	47.400	1.6758	
17.500	17.500	1.2430	
18.400	37.700	1.5763	
15.500	3.4000	0.53148	
21.400	393.01	2.5944	
17.500	19.100	1.2810	
17.800	24.000	1.3802	
14.800	3.8000	0.57978	
19.900	33.800	1.5289	
19.200	50.400	1.7024	
17.900	13.500	1.1303	
18.400	20.000	1.3010	
16.800	5.1000	0.70757	
18.100	123.00	2.0899	
17.500	16.100	1.2068	
18.200	39.400	1.5955	
19.200	35.700	1.5527	
19.200	34.002	1.5315	
17.900	27.000	1.4314	
18.700	17.600	1.2455	
20.500	33.700	1.5276	
14.600	16.000	1.2041	
19.500	16.400	1.2148	
18.900	36.800	1.5658	
18.500	55.100	1.7412	
18.300	37.100	1.5694	
22.200	923.00	2.9652	
19.500	14.700	1.1673	
18.100	41.000	1.6128	
17.800	23.500	1.3711	
18.100	23.000	1.3617	
18.000	27.800	1.4440	
20.000	80.002	1.9031	
17.200	12.600	1.1004	
