Distance, ft	Values (Dwt/ton)
3.0000	0.90000
9.2000	1.2000
13.000	0.50000
18.900	1.7000
22.300	1.4000
23.100	1.3000
25.500	1.0000
28.600	1.1000
30.100	12.000
30.900	9.1000
33.000	4.9000
36.400	1.9000
39.800	1.1000
42.900	1.9000
46.000	1.4000
50.100	1.7000
53.900	2.2000
55.800	0.90000
60.000	1.3000
64.900	1.3000
66.000	9.0000
67.000	12.000
68.100	10.400
71.100	5.2000
73.000	1.4000
74.100	1.2000
76.000	1.1000
76.100	1.0000
80.400	6.5000
82.200	11.900
84.000	15.600
86.600	6.9000
87.600	1.1000
90.500	1.1000
92.500	15.900
93.900	9.9000
94.400	3.8000
96.300	1.6000
98.700	2.7000
100.11	0.80000
