UHV	Block	Easting, m	Northing, m
2020	1	220	120
2240	1	240	400
2040	1	780	190
2160	1	70	480
2608	1	330	720
1680	1	700	760
3916	2	1240	350
1600	2	1250	740
2050	2	1770	480
2240	2	1710	820
1680	2	1600	210
2220	3	2250	260
2800	3	2190	850
1960	3	2730	740
2217	4	3720	340
2001	4	3700	800
2194	4	3230	260
1738	5	4750	340
2136	5	4740	740
468	5	4230	720
1407	5	4210	250
2240	6	5230	830
1890	6	5210	390
2070	6	5370	70
2662	6	5810	160
2580	6	5780	460
1558	6	5640	900
1490	7	5230	1180
1835	7	5220	1800
1310	7	5730	1740
2055	7	5760	1270
3600	8	4820	1110
3335	8	4360	1460
3910	8	4810	1400
3200	8	4640	1850
3970	8	4190	1790
3550	8	4230	1180
3780	9	3460	1490
3978	9	3180	1240
3642	9	3810	1700
3863	9	3810	1210
3835	9	3160	1840
3090	10	2770	1750
3535	10	2640	1400
2856	10	2700	1190
3076	10	2200	1160
3380	10	2270	1700
3310	11	1400	1090
2995	11	1830	1330
2815	11	1870	1090
3340	11	1750	1620
2760	11	1410	1510
2895	11	1140	1300
3115	11	1400	1740
3060	11	1810	1870
4110	11	1110	1860
3035	12	830	1290
3230	12	550	1470
3520	12	790	1710
3075	12	240	1220
3780	12	260	1690
4598	13	360	2230
4946	13	760	2170
3587	13	530	2580
4358	13	290	2680
4967	13	890	2660
3305	14	1260	2790
4760	14	1710	2690
4370	14	1710	2300
4804	14	1200	2220
3960	15	2220	2790
5077	15	2760	2500
4705	15	2790	2820
4252	15	2320	2420
5050	15	2740	2120
4608	15	2160	2140
5823	16	3230	2190
5298	16	3220	2720
5450	16	3770	2710
6002	16	3750	2330
5981	17	4310	2180
4928	17	4180	2450
5168	17	4180	2830
5460	17	4640	2520
6540	17	4750	2840
5679	17	4720	2170
5889	18	5150	2730
5780	18	5150	2490
4934	18	5470	2710
6242	18	5720	2730
6513	18	5150	2220
5460	18	5610	2440
4670	18	5720	2280
6043	19	5510	3160
6222	19	5250	3270
5792	19	5790	3280
5338	19	5680	3510
5871	19	5470	3820
5665	19	5790	3750
5639	19	5190	3770
4755	19	5200	3450
5202	20	4760	3240
4999	20	4720	3760
5406	20	4240	3650
5318	20	4250	3240
5278	21	3740	3310
5231	21	3720	3720
5376	21	3230	3730
5230	21	3220	3270
5575	22	2760	3220
4925	22	2720	3700
5300	22	2250	3710
4685	22	2270	3280
4484	23	1750	3770
4622	23	1910	3450
3449	23	1690	3170
4884	23	1400	3560
5409	23	1120	3880
4857	23	1140	3270
4453	24	740	3210
4594	24	790	3720
4043	24	220	3770
4653	24	260	3240
5519	25	280	4130
4581	25	170	4370
4774	25	510	4470
4801	25	607	4250
4445	25	850	4150
4335	25	770	4460
4029	25	780	4820
4857	25	520	4760
4111	25	180	4860
4470	26	1230	4810
4870	26	1790	4750
4843	26	1490	4480
3297	26	1230	4220
4498	26	1770	4180
4484	27	2260	4820
6008	27	2670	4860
5781	27	2200	4470
5240	27	2170	4140
5657	27	2470	4380
5574	27	2740	4140
6223	27	2780	4580
5298	28	3130	4730
6706	28	3490	4680
5275	28	3520	4300
6112	28	3220	4250
5974	28	3770	4790
6181	28	3810	4200
6209	29	4200	4260
6407	29	4190	4690
6541	29	4790	4250
6692	29	4720	4810
6349	29	4740	4800
4912	30	5170	4690
5050	30	5220	4260
5229	30	5670	4290
4801	30	5700	4710
5008	31	5700	5730
4043	31	5250	5680
5077	31	5490	5500
4650	31	5200	5220
5174	31	5770	5220
