Well ID	Easting	Northing	Symbol	Thickness
1	717	27457	3	597
2	966	23294	3	497
3	1040	25061	3	557
4	1435	34569	3	558
5	1576	33444	3	565
7	2050	40123	3	465
8	2091	32148	3	527
9	2281	27206	3	544
10	2309	30943	3	610
11	2352	24967	3	565
12	2445	35912	3	562
13	2520	18700	3	285
14	2599	17867	5	0
15	2623	29182	3	613
16	2695	41521	3	373
17	2834	40014	3	404
18	3422	20362	5	20
19	3541	32684	3	544
20	3807	31351	3	588
21	3865	37999	3	540
22	4107	27114	3	550
23	4167	24425	3	610
24	4216	22339	3	578
25	4255	18775	5	0
26	4660	25352	3	545
27	5010	38796	3	395
28	5072	20104	5	0
29	5126	40635	3	430
30	5661	28738	3	570
31	5727	17598	5	0
32	6180	22262	5	0
33	6184	32183	3	545
34	6242	26489	3	685
35	6663	29982	3	577
36	6787	25162	5	0
37	6809	27727	3	574
38	7139	38788	3	497
39	7192	22201	5	0
41	7658	20904	5	0
42	7713	31727	3	527
43	7788	23505	5	0
44	7801	18993	5	53
45	7888	41342	3	578
46	7937	39591	3	538
47	8049	25973	5	0
48	8148	27310	5	0
49	8239	29125	3	620
52	8950	24788	5	0
53	8961	31017	3	490
55	9187	41510	3	568
56	9387	19575	5	0
57	9451	38420	3	609
58	9603	22497	5	0
59	9728	20886	5	0
60	9947	27126	5	0
62	10500	31915	4	702
63	10526	29591	5	0
65	10864	28352	5	0
66	10955	26275	5	0
67	10963	24451	5	0
68	10989	39189	3	575
69	11040	33848	4	973
71	11174	31235	5	10
72	11287	18891	5	0
73	11388	35955	3	632
77	12208	23628	5	0
78	12379	38301	4	709
79	12426	41371	3	649
80	12463	21007	5	0
81	12593	38216	4	730
83	13024	32092	5	0
84	13107	19535	5	0
85	13121	39679	4	832
86	13159	33656	5	10
87	13258	27602	5	0
88	13584	37587	4	907
89	13860	21921	5	0
90	13931	24527	5	0
91	14104	41416	4	740
93	14603	19008	5	15
94	14758	25592	5	0
95	14768	36158	5	0
97	15084	28350	5	0
98	15159	31552	5	0
99	15198	33330	5	0
103	15415	26853	5	10
106	15507	18590	5	0
107	15646	22251	5	0
109	15833	39811	3	588
110	15892	38062	5	65
111	16023	41293	4	879
112	16071	37042	5	0
113	16148	33981	5	0
116	16459	19846	5	0
117	16516	31718	5	0
118	16583	23680	5	0
119	16631	20487	5	0
121	16746	29652	5	0
126	17138	28258	5	0
127	17290	41451	4	1001
130	17378	25362	5	0
133	17626	35226	5	0
135	17717	37268	5	20
136	17776	17932	5	0
137	17933	41197	4	989
138	18096	34925	5	15
139	18179	35996	5	0
140	18205	22082	5	0
142	18264	38061	5	0
143	18270	40037	3	368
144	18396	31807	5	0
145	18498	33688	5	0
146	18631	27743	5	0
152	19449	26348	5	20
153	19487	23381	5	0
154	19509	35584	5	0
156	19813	29642	5	0
158	20093	37647	5	0
161	20637	32107	5	0
163	21079	41607	4	1018
165	21109	17844	5	0
168	21478	40855	4	919
170	21800	27250	5	30
171	21951	29550	5	0
173	22068	37656	5	50
174	22107	31454	5	0
176	22238	34360	5	0
178	22409	20670	5	0
179	22470	24914	5	0
180	22868	39799	4	993
182	22890	22306	5	0
183	23044	26168	5	0
184	23169	18438	5	0
186	23473	37001	5	30
187	23580	20128	5	0
189	23717	38229	5	70
190	23961	33101	5	0
191	24050	34362	5	0
192	24196	21037	5	0
195	24518	30808	5	30
197	24628	19419	5	0
199	24904	35519	5	0
200	25139	25236	5	0
201	25157	27596	5	0
202	25209	17546	5	0
205	25754	30050	5	0
207	25964	35659	5	0
208	25971	40928	4	757
210	26045	39193	4	898
213	26473	19229	5	0
214	26720	18961	5	0
215	26814	27249	5	0
216	26878	23090	5	0
217	26928	33599	5	0
218	27043	29029	5	0
220	27141	30637	5	0
221	27151	27674	5	0
222	27256	19844	5	0
228	27388	40059	4	865
224	27390	21959	5	0
232	27929	40506	3	633
233	28012	41580	4	727
235	28304	20696	5	0
236	28332	28261	5	40
237	28385	17528	5	0
239	28455	19498	5	0
242	28650	23845	5	15
244	28669	21521	5	0
246	28758	33587	5	0
247	28783	25304	5	0
248	28785	29025	5	0
249	28990	22139	5	0
250	29101	32820	5	0
251	29518	39631	3	661
254	29655	27300	5	30
256	29939	36611	4	777
257	30003	20227	5	0
260	30618	17958	5	0
261	30630	22959	5	0
263	30748	24745	5	0
264	30901	31551	5	0
268	31226	20386	5	15
269	31424	26635	5	0
270	31454	34304	4	944
271	31594	25430	5	0
272	31682	28679	5	0
274	31806	23394	5	0
275	31833	38357	4	830
278	32167	20840	5	0
281	32613	34803	4	962
283	32716	19390	5	0
284	32935	41681	4	831
285	33056	23811	5	0
287	33115	30062	3	636
288	33156	28536	3	592
289	33408	20361	5	0
290	33514	22377	5	0
291	33611	26081	5	15
293	34006	34219	4	895
294	34057	20784	5	0
295	34158	18165	5	0
296	34175	36092	4	981
300	34774	27809	4	957
301	34861	24939	5	68
302	34919	21478	5	0
304	35009	28866	4	778
305	35025	35253	3	590
306	35049	32769	3	568
307	35057	20906	5	0
309	35261	31195	3	521
310	35374	26387	4	882
313	35789	22899	4	1102
314	35846	38425	4	951
315	36082	34418	3	616
317	36368	36174	3	676
319	36493	32222	3	658
320	36697	26337	3	580
321	36967	28198	3	529
322	37247	30056	3	565
323	37282	22723	3	592
324	37451	40509	3	615
326	37853	24764	3	433
327	37876	21464	3	661
328	37963	31284	3	423
329	38008	22568	3	419
330	38055	30448	3	449
331	38000	18500	3	0
332	37000	17500	3	0
