X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	X9	Y9	X10	Y10	X11	Y11
0.519	1.76	2.08	1.73	1.09	1.58	1.57	1.58	1.36	1.89	1	1.32	1.35	0.978	1.64	1.33	0.282	1.17	2.41	1.17	1.28	0.273
0.501	1.8	2.21	1.74	1.05	1.59	1.61	1.59	1.35	1.9	1.03	1.3	1.58	1	1.32	1.33	0.282	1.26	2.36	1.15	1.28	0.317
0.537	1.74	2.17	1.74	1.04	1.6	1.65	1.6	1.37	1.91	1.04	1.32	1.33	1.02	1.57	1.32	0.361	1.2	2.32	1.15	1.31	0.335
0.528	1.74	2.12	1.77	0.985	1.6	1.66	1.61	1.38	1.92	0.941	1.32	1.33	0.863	1.71	1.35	0.22	1.25	2.47	1.17	1.36	0.211
0.669	1.76	1.93	1.74	1.09	1.62	1.57	1.62	1.37	1.92	1.04	1.32	1.32	1.03	1.58	1.34	0.37	1.3	2.32	1.15	1.3	0.335
0.413	1.74	2.3	1.7	0.994	1.56	1.66	1.53	1.37	1.93	1.01	1.24	1.32	0.846	1.6	1.26	0.238	1.15	2.45	1.03	1.22	0.194
0.642	1.81	1.86	1.79	1.16	1.67	1.52	1.68	1.36	1.81	1.13	1.32	1.33	1.08	1.55	1.33	0.449	1.37	2.22	1.45	1.31	0.458
0.475	1.76	2.21	1.7	1.05	1.61	1.65	1.61	1.37	1.89	1.01	1.31	1.31	1	1.6	1.33	0.282	1.26	2.41	1.22	1.28	0.291
0.633	1.81	2.02	1.77	1.13	1.7	1.52	1.73	1.35	1.82	1.02	1.38	1.33	1.1	1.56	1.42	0.466	1.3	2.22	1.27	1.31	0.458
0.686	1.79	1.94	1.77	1.12	1.67	1.55	1.7	1.36	1.82	1.08	1.39	1.33	1.09	1.56	1.41	0.413	1.37	2.3	1.32	1.3	0.414
