Group	Median_grain_size_mm	Sorting_coeff
Beach sands	0.333	1.08
Beach sands	0.34	1.08
Beach sands	0.338	1.09
Beach sands	0.333	1.1
Beach sands	0.323	1.13
Beach sands	0.327	1.12
Beach sands	0.329	1.13
Beach sands	0.331	1.13
Beach sands	0.336	1.12
Beach sands	0.333	1.14
Beach sands	0.341	1.14
Beach sands	0.328	1.15
Beach sands	0.336	1.15
Beach sands	0.327	1.16
Beach sands	0.329	1.16
Beach sands	0.33	1.16
Beach sands	0.323	1.17
Beach sands	0.328	1.17
Beach sands	0.332	1.17
Beach sands	0.331	1.18
Beach sands	0.326	1.18
Beach sands	0.333	1.18
Beach sands	0.33	1.19
Beach sands	0.336	1.19
Beach sands	0.327	1.2
Beach sands	0.324	1.21
Beach sands	0.332	1.21
Beach sands	0.322	1.22
Beach sands	0.329	1.22
Beach sands	0.325	1.24
Beach sands	0.328	1.26
Beach sands	0.322	1.27
Beach sands	0.318	1.22
Beach sands	0.33	1.17
Offshore sands	0.339	1.12
Offshore sands	0.346	1.12
Offshore sands	0.35	1.12
Offshore sands	0.352	1.13
Offshore sands	0.341	1.15
Offshore sands	0.347	1.15
Offshore sands	0.337	1.16
Offshore sands	0.343	1.16
Offshore sands	0.34	1.17
Offshore sands	0.346	1.17
Offshore sands	0.349	1.17
Offshore sands	0.339	1.18
Offshore sands	0.342	1.18
Offshore sands	0.346	1.18
Offshore sands	0.351	1.18
Offshore sands	0.34	1.19
Offshore sands	0.344	1.19
Offshore sands	0.333	1.2
Offshore sands	0.337	1.2
Offshore sands	0.339	1.2
Offshore sands	0.342	1.2
Offshore sands	0.339	1.21
Offshore sands	0.34	1.21
Offshore sands	0.341	1.21
Offshore sands	0.335	1.22
Offshore sands	0.337	1.22
Offshore sands	0.34	1.22
Offshore sands	0.343	1.22
Offshore sands	0.334	1.22
Offshore sands	0.348	1.22
Offshore sands	0.337	1.22
Offshore sands	0.342	1.23
Offshore sands	0.334	1.24
Offshore sands	0.34	1.24
Offshore sands	0.342	1.24
Offshore sands	0.331	1.25
Offshore sands	0.336	1.25
Offshore sands	0.341	1.25
Offshore sands	0.334	1.26
Offshore sands	0.337	1.27
Offshore sands	0.339	1.27
Offshore sands	0.33	1.28
Offshore sands	0.334	1.28
Offshore sands	0.332	1.29
Offshore sands	0.33	1.31
Offshore sands	0.334	1.31
Offshore sands	0.34	1.21
