Class	SiO2	TiO2	Al2O3	Fe2O3	MnO	MgO	CaO	Na2O	K2O	P2O5	LOI	Total	Na	K	Ti	Na/Ti	K/Ti
3	72.99	0.054	14.26	0.92	0.03	0.1	0.6	4.53	4.76	0.028	1.73	100.002	3.360534	3.951519	0.032372	103.8094	122.0654
3	74.42	0.03	13.96	0.57	0.017	0.048	0.68	3.41	4.8	0.022	2.05	100.007	2.529674	3.984725	0.017985	140.6583	221.564
3	72.43	0.052	14.88	0.98	0.06	0.09	0.57	4.52	4.48	0.041	2.23	100.333	3.353116	3.719077	0.031173	107.5641	119.3037
3	72.24	0.05	14.82	1.15	0.082	0.11	0.74	4.23	4.54	0.038	2.15	100.15	3.137982	3.768886	0.029974	104.6894	125.7376
3	72.21	0.053	14.99	1.07	0.047	0.1	0.64	5.06	4.1	0.034	2.2	100.504	3.753709	3.403619	0.031773	118.1427	107.1241
3	74.85	0.057	13.04	1.11	0.023	0.044	0.56	3.57	5.39	0.015	1.26	99.919	2.648368	4.474514	0.034171	77.50426	130.9463
3	71.94	0.07	14.64	1.23	0.032	0.09	0.91	4.13	4.65	0.033	2.93	100.655	3.063798	3.860203	0.041964	73.01031	91.98863
3	72.62	0.056	14.32	1.25	0.027	0.1	0.93	3.79	4.41	0.037	2.85	100.39	2.811573	3.660966	0.033571	83.74972	109.051
3	73.71	0.064	13.75	0.93	0.018	0.061	0.94	3.82	4.73	0.032	2.51	100.565	2.833828	3.926615	0.038367	73.86107	102.3435
3	71.69	0.056	15.12	1.28	0.036	0.14	0.94	3.78	4.33	0.037	2.39	99.799	2.804154	3.594554	0.033571	83.52875	107.0728
3	75.45	0.108	12.35	0.89	0.013	0.13	0.78	3.22	5.3	0.018	1.68	99.939	2.388724	4.399801	0.064744	36.89473	67.95655
3	75.69	0.039	12.58	1.01	0.029	0.026	0.49	3.73	4.86	0.008	1.37	99.832	2.767062	4.034534	0.02338	118.3522	172.5643
3	75.71	0.046	12.62	1.04	0.033	0.037	0.49	3.86	4.57	0.009	1.46	99.875	2.863501	3.79379	0.027576	103.8393	137.5744
3	74.64	0.081	12.92	1.26	0.03	0.1	0.67	3.8	5.06	0.023	1.59	100.174	2.818991	4.200565	0.048558	58.05382	86.5057
3	75.62	0.032	12.84	0.98	0.034	0.016	0.44	4.14	4.41	0.012	1.73	100.254	3.071217	3.660966	0.019184	160.0968	190.8393
3	75.78	0.067	12.72	1.36	0.033	0.046	0.15	2.98	5.31	0.012	1.44	99.898	2.210682	4.408102	0.040165	55.0394	109.7486
3	75.11	0.027	12.87	0.97	0.034	0.027	0.44	4.14	4.35	0.012	2.31	100.29	3.071217	3.611157	0.016186	189.7443	223.1026
3	75.16	0.051	12.67	1.2	0.027	0.043	0.46	3.73	4.85	0.011	2.03	100.232	2.767062	4.026233	0.030574	90.50464	131.6894
3	74.95	0.057	12.91	1.1	0.024	0.037	0.56	4.18	4.45	0.023	1.63	99.921	3.10089	3.694172	0.034171	90.74728	108.1096
3	74.45	0.065	13.23	1.03	0.023	0.07	0.6	4.24	4.72	0.027	1.48	99.935	3.145401	3.918313	0.038966	80.72066	100.556
3	75.66	0.053	12.69	0.89	0.02	0.049	0.5	3.33	5.37	0.018	1.42	100	2.470326	4.457911	0.031773	77.75003	140.3065
3	73.9	0.087	13.26	1.32	0.025	0.15	0.65	3.56	4.81	0.05	1.93	99.742	2.64095	3.993027	0.052155	50.63641	76.56055
3	74.61	0.084	13.37	1.29	0.025	0.17	0.28	3.21	5.12	0.054	1.77	99.983	2.381306	4.250374	0.050357	47.28876	84.40534
3	74.87	0.116	12.81	1.37	0.027	0.15	0.72	3.1	5.13	0.053	1.79	100.136	2.299703	4.258675	0.06954	33.07013	61.24048
3	72.82	0.093	13.76	1.47	0.038	0.2	0.97	3.27	4.83	0.056	2.82	100.327	2.425816	4.00963	0.055752	43.51079	71.91896
3	72.68	0.093	14.13	1.53	0.03	0.17	0.83	3.57	4.86	0.06	2.28	100.233	2.648368	4.034534	0.055752	47.50261	72.36566
3	75.95	0.072	12.38	1.37	0.02	0.07	0.44	3.17	5.07	0.014	1.47	100.026	2.351632	4.208866	0.043163	54.48274	97.51124
3	75.15	0.038	13.17	1.17	0.037	0.03	0.54	4.07	4.55	0.017	1.34	100.112	3.019288	3.777187	0.02278	132.5388	165.8086
3	72.9	0.049	15	1.21	0.053	0.09	1	4.1	3.56	0.036	1.02	99.018	3.041543	2.955338	0.029375	103.5428	100.6081
3	72.7	0.053	15.2	1.28	0.06	0.09	0.57	4.11	3.93	0.047	1.16	99.2	3.048961	3.262494	0.031773	95.96175	102.6824
3	72.4	0.053	15	1.57	0.076	0.14	0.72	3.21	4.21	0.039	2.03	99.448	2.381306	3.494936	0.031773	74.94823	109.9982
3	73.3	0.176	13.9	0.93	0.025	0.28	0.83	3.83	4.99	0.154	1.81	100.225	2.841246	4.142454	0.105509	26.92888	39.26152
3	74.59	0.02	13.6	0.47	0.025	0.022	0.38	4.05	5.37	0.017	1.31	99.854	3.004451	4.457911	0.01199	250.5862	371.8121
3	76.12	0.023	12.95	0.95	0.047	0.008	0.37	4.59	3.75	0.007	1.32	100.135	3.405045	3.113067	0.013788	246.9546	225.7785
3	75.39	0.022	13.01	0.92	0.047	0.007	0.37	4.51	3.84	0.008	1.4	99.524	3.345697	3.18778	0.013189	253.6799	241.7062
3	75.4	0.02	13.25	0.88	0.043	0.008	0.35	4.21	4.54	0.007	1.44	100.148	3.123145	3.768886	0.01199	260.4859	314.3439
