c25	c5	c1	c0.2	Lab	Hg (mg/t)	Log Hg1
1	1	1	1	1	215	2.332438
1	1	1	1	2	65	1.812913
1	2	1	1	1	80	1.90309
1	2	2	1	1	90	1.954243
1	2	2	2	1	90	1.954243
2	1	1	1	1	370	2.568202
2	2	1	1	1	170	2.230449
2	2	2	1	1	100	2
2	2	2	2	1	165	2.217484
3	2	1	1	1	80	1.90309
3	2	2	1	1	90	1.954243
3	2	2	2	1	135	2.130334
3	2	2	2	2	150	2.176091
4	1	1	1	1	155	2.190332
4	1	1	1	2	115	2.060698
4	2	1	1	1	95	1.977724
4	2	2	1	1	20	1.30103
4	2	2	2	1	30	1.477121
5	1	1	1	1	510	2.70757
5	2	1	1	1	1785	3.251638
5	2	2	1	1	185	2.267172
5	2	2	2	1	145	2.161368
6	1	1	1	1	145	2.161368
6	2	1	1	1	65	1.812913
6	2	2	1	1	175	2.243038
6	2	2	2	1	165	2.217484
7	1	1	1	1	85	1.929419
7	2	1	1	1	80	1.90309
7	2	1	1	2	90	1.954243
7	2	2	1	1	100	2
7	2	2	1	2	180	2.255273
7	2	2	1	3	75	1.875061
7	2	2	2	1	75	1.875061
7	2	2	2	2	60	1.778151
8	1	1	1	1	80	1.90309
8	2	1	1	1	580	2.763428
8	2	2	1	1	305	2.4843
8	2	2	2	1	370	2.568202
9	2	1	1	1	370	2.568202
9	2	2	1	1	280	2.447158
9	2	2	2	1	180	2.255273
10	2	1	1	1	45	1.653213
10	2	2	1	1	95	1.977724
10	2	2	1	2	85	1.929419
10	2	2	2	1	70	1.845098
11	2	1	1	1	85	1.929419
11	2	2	1	1	140	2.146128
11	2	2	2	1	115	2.060698
12	1	1	1	1	100	2
12	2	1	1	1	45	1.653213
12	2	2	1	1	110	2.041393
12	2	2	2	1	175	2.243038
13	2	2	1	1	230	2.361728
13	2	2	2	1	225	2.352183
13	2	2	2	2	205	2.311754
14	2	1	1	1	115	2.060698
14	2	2	1	1	65	1.812913
14	2	2	2	1	90	1.954243
15	1	1	1	1	40	1.60206
15	2	1	1	1	45	1.653213
15	2	1	1	2	55	1.740363
15	2	2	1	1	55	1.740363
15	2	2	2	1	70	1.845098
16	1	1	1	1	140	2.146128
16	2	1	1	1	120	2.079181
16	2	1	1	2	95	1.977724
16	2	2	1	1	100	2
16	2	2	2	1	105	2.021189
17	1	1	1	1	130	2.113943
17	1	1	1	2	135	2.130334
17	2	1	1	1	2000	3.30103
17	2	2	1	1	300	2.477121
17	2	2	2	1	480	2.681241
17	2	2	2	2	525	2.720159
19	1	1	1	1	85	1.929419
19	2	1	1	1	95	1.977724
19	2	2	1	1	65	1.812913
19	2	2	2	1	75	1.875061
20	1	1	1	1	105	2.021189
20	2	1	1	1	75	1.875061
20	2	2	1	1	90	1.954243
20	2	2	2	1	160	2.20412
21	1	1	1	1	310	2.491362
21	2	1	1	1	85	1.929419
21	2	2	1	1	160	2.20412
21	2	2	2	1	140	2.146128
22	1	1	1	1	80	1.90309
22	2	1	1	1	40	1.60206
22	2	2	1	1	90	1.954243
22	2	2	2	1	255	2.40654
23	1	1	1	1	105	2.021189
23	1	1	1	2	115	2.060698
23	2	1	1	1	85	1.929419
23	2	2	1	1	40	1.60206
23	2	2	2	1	60	1.778151
24	1	1	1	1	55	1.740363
24	2	1	1	1	65	1.812913
24	2	1	1	1	65	1.812913
24	2	2	1	1	585	2.767156
24	2	2	2	1	55	1.740363
25	1	1	1	1	25	1.39794
25	1	1	1	2	60	1.778151
25	2	1	1	1	325	2.511883
25	2	2	1	1	80	1.90309
25	2	2	2	1	85	1.929419
26	1	1	1	1	85	1.929419
26	2	1	1	1	100	2
26	2	2	1	1	105	2.021189
26	2	2	2	1	75	1.875061
27	1	1	1	1	60	1.778151
27	1	1	1	2	55	1.740363
27	2	1	1	1	55	1.740363
27	2	1	1	2	50	1.69897
27	2	2	1	1	55	1.740363
27	2	2	2	1	75	1.875061
28	1	1	1	1	60	1.778151
28	2	1	1	1	120	2.079181
28	2	2	1	1	70	1.845098
28	2	2	2	1	75	1.875061
29	1	1	1	1	40	1.60206
29	2	1	1	1	90	1.954243
29	2	2	1	1	40	1.60206
29	2	2	2	1	45	1.653213
