Well log porosity	Mercury injection porosity
1.7	1.6
1.8	3.8
3.1	3.6
3.3	2.9
4.5	3.7
4.5	5.7
5.5	4.4
7.2	4.3
6.3	5.6
5.1	6.5
4.8	10.3
6.5	6.6
6.5	7.0
7.6	7.6
8.7	8.0
8.8	9.0
10.0	9.0
10.0	10.0
9.4	10.0
10.1	10.5
7.5	13.4
9.2	13.6
9.7	12.8
11.1	11.1
11.5	10.1
12.7	8.9
14.3	7.7
11.9	11.8
12.7	11.9
13.5	12.3
12.8	13.2
10.0	21.0
12.9	14.0
13.5	13.5
14.3	13.2
15.4	13.0
15.7	10.9
14.7	13.9
14.2	14.3
13.8	15.1
15.4	14.5
16.1	15.4
17.0	16.1
18.8	14.7
15.6	20.2
21.2	20.2
